,,,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,vs Arsenal,28,26.8,41.9,38,418,3420,38,50,32,82,43,7,7,76,2,54.2,48.7,36.8,85.5,683,1279,1.32,0.84,2.16,1.13,1.97,1.43,0.97,2.39,1.28,2.25,/en/squads/18bb7c10/2018-2019/Arsenal-Stats
ENG-Premier League,1819,vs Bournemouth,28,26.8,53.1,38,418,3420,38,67,48,115,62,5,5,91,9,57.2,53.2,39.0,92.2,741,1675,1.76,1.26,3.03,1.63,2.89,1.5,1.03,2.53,1.4,2.43,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
ENG-Premier League,1819,vs Brighton,21,26.8,57.6,38,418,3420,38,60,39,99,50,10,10,52,2,59.1,51.4,38.7,90.1,845,1830,1.58,1.03,2.61,1.32,2.34,1.56,1.02,2.58,1.35,2.37,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1819,vs Burnley,23,26.7,58.8,38,418,3420,38,64,43,107,62,2,3,58,3,62.1,59.7,45.2,104.9,917,1721,1.68,1.13,2.82,1.63,2.76,1.63,1.19,2.82,1.57,2.76,/en/squads/943e8050/2018-2019/Burnley-Stats
ENG-Premier League,1819,vs Cardiff City,25,26.7,64.6,38,418,3420,38,69,53,122,65,4,7,49,3,61.5,56.0,43.4,99.3,872,1723,1.82,1.39,3.21,1.71,3.11,1.62,1.14,2.76,1.47,2.61,/en/squads/75fae011/2018-2019/Cardiff-City-Stats
ENG-Premier League,1819,vs Chelsea,24,26.8,37.1,38,418,3420,38,39,30,69,38,1,2,63,0,36.4,34.7,27.2,62.0,501,1127,1.03,0.79,1.82,1.0,1.79,0.96,0.72,1.67,0.91,1.63,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
ENG-Premier League,1819,vs Crystal Palace,26,26.7,54.8,38,418,3420,38,52,35,87,48,4,5,62,2,50.1,46.6,35.7,82.3,827,1894,1.37,0.92,2.29,1.26,2.18,1.32,0.94,2.26,1.23,2.17,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
ENG-Premier League,1819,vs Everton,23,26.8,48.5,38,418,3420,38,44,24,68,42,2,5,77,2,45.7,41.7,31.2,72.9,598,1360,1.16,0.63,1.79,1.11,1.74,1.2,0.82,2.02,1.1,1.92,/en/squads/d3fd31cc/2018-2019/Everton-Stats
ENG-Premier League,1819,vs Fulham,28,26.8,51.2,38,418,3420,38,79,59,138,74,5,7,43,0,68.2,62.7,48.2,110.9,816,1716,2.08,1.55,3.63,1.95,3.5,1.79,1.27,3.06,1.65,2.92,/en/squads/fd962109/2018-2019/Fulham-Stats
ENG-Premier League,1819,vs Huddersfield,31,26.5,52.8,38,418,3420,38,75,56,131,68,7,8,66,2,60.9,54.7,45.2,99.9,742,1590,1.97,1.47,3.45,1.79,3.26,1.6,1.19,2.79,1.44,2.63,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
ENG-Premier League,1819,vs Leicester City,25,26.8,49.1,38,418,3420,38,48,36,84,43,5,5,70,6,43.7,39.8,30.7,70.5,695,1465,1.26,0.95,2.21,1.13,2.08,1.15,0.81,1.96,1.05,1.86,/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
ENG-Premier League,1819,vs Liverpool,23,26.9,38.2,38,418,3420,38,22,16,38,22,0,1,48,1,28.8,28.0,20.2,48.3,528,1047,0.58,0.42,1.0,0.58,1.0,0.76,0.53,1.29,0.74,1.27,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
ENG-Premier League,1819,vs Manchester City,21,26.6,32.1,38,418,3420,38,23,14,37,19,4,4,54,2,24.7,21.7,17.6,39.3,410,802,0.61,0.37,0.97,0.5,0.87,0.65,0.46,1.11,0.57,1.04,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
ENG-Premier League,1819,vs Manchester Utd,28,26.9,45.3,38,418,3420,38,51,37,88,45,6,6,67,1,50.6,45.9,36.7,82.6,748,1336,1.34,0.97,2.32,1.18,2.16,1.33,0.97,2.3,1.21,2.17,/en/squads/19538871/2018-2019/Manchester-United-Stats
ENG-Premier League,1819,vs Newcastle Utd,24,26.8,59.6,38,418,3420,38,47,32,79,41,6,6,58,1,53.6,49.2,39.5,88.7,811,1868,1.24,0.84,2.08,1.08,1.92,1.41,1.04,2.45,1.29,2.33,/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
ENG-Premier League,1819,vs Southampton,30,26.7,56.6,38,418,3420,38,62,49,111,60,2,3,62,1,55.1,52.9,40.7,93.6,702,1574,1.63,1.29,2.92,1.58,2.87,1.45,1.07,2.52,1.39,2.46,/en/squads/33c895d4/2018-2019/Southampton-Stats
ENG-Premier League,1819,vs Tottenham,28,26.7,41.0,38,418,3420,38,36,28,64,33,3,5,61,2,47.1,43.0,33.6,76.6,597,1198,0.95,0.74,1.68,0.87,1.61,1.24,0.88,2.12,1.13,2.02,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
ENG-Premier League,1819,vs Watford,25,26.8,53.3,38,418,3420,38,56,38,94,52,4,5,50,3,59.2,55.3,39.5,94.8,762,1605,1.47,1.0,2.47,1.37,2.37,1.56,1.04,2.6,1.45,2.49,/en/squads/2abfe087/2018-2019/Watford-Stats
ENG-Premier League,1819,vs West Ham,26,26.7,51.4,38,418,3420,38,54,40,94,50,4,5,57,1,61.9,58.0,46.7,104.7,853,1781,1.42,1.05,2.47,1.32,2.37,1.63,1.23,2.86,1.53,2.76,/en/squads/7c21e445/2018-2019/West-Ham-United-Stats
ENG-Premier League,1819,vs Wolves,21,26.8,53.2,38,418,3420,38,42,32,74,39,3,4,76,4,42.1,39.0,27.7,66.7,750,1573,1.11,0.84,1.95,1.03,1.87,1.11,0.73,1.84,1.03,1.76,/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats
ENG-Premier League,1920,vs Arsenal,29,26.6,46.3,38,418,3420,38,48,30,78,41,7,8,79,1,55.3,48.9,39.1,88.1,759,1369,1.26,0.79,2.05,1.08,1.87,1.46,1.03,2.48,1.29,2.32,/en/squads/18bb7c10/2019-2020/Arsenal-Stats
ENG-Premier League,1920,vs Aston Villa,28,26.6,55.9,38,418,3420,38,66,44,110,61,5,6,90,7,67.8,63.0,46.6,109.6,838,1823,1.74,1.16,2.89,1.61,2.76,1.78,1.23,3.01,1.66,2.88,/en/squads/8602292d/2019-2020/Aston-Villa-Stats
ENG-Premier League,1920,vs Bournemouth,27,26.8,55.9,38,418,3420,38,65,45,110,60,5,6,67,3,62.3,57.6,42.6,100.2,743,1670,1.71,1.18,2.89,1.58,2.76,1.64,1.12,2.76,1.52,2.64,/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
ENG-Premier League,1920,vs Brighton,25,26.5,47.8,38,418,3420,38,52,42,94,50,2,2,61,1,55.0,53.4,43.1,96.5,773,1342,1.37,1.11,2.47,1.32,2.42,1.45,1.13,2.58,1.4,2.54,/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1920,vs Burnley,22,26.5,58.1,38,418,3420,38,49,38,87,45,4,5,42,3,49.8,45.8,36.6,82.4,857,1544,1.29,1.0,2.29,1.18,2.18,1.31,0.96,2.27,1.21,2.17,/en/squads/943e8050/2019-2020/Burnley-Stats
ENG-Premier League,1920,vs Chelsea,27,26.4,39.6,38,418,3420,38,51,36,87,49,2,2,76,3,38.6,37.0,27.4,64.4,464,1151,1.34,0.95,2.29,1.29,2.24,1.01,0.72,1.74,0.97,1.69,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
ENG-Premier League,1920,vs Crystal Palace,25,26.5,55.2,38,418,3420,38,48,36,84,48,0,1,88,5,57.0,56.2,40.0,96.2,769,1690,1.26,0.95,2.21,1.26,2.21,1.5,1.05,2.55,1.48,2.53,/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
ENG-Premier League,1920,vs Everton,24,26.6,51.0,38,418,3420,38,53,39,92,50,3,4,61,2,48.3,45.2,34.2,79.4,675,1405,1.39,1.03,2.42,1.32,2.34,1.27,0.9,2.17,1.19,2.09,/en/squads/d3fd31cc/2019-2020/Everton-Stats
ENG-Premier League,1920,vs Leicester City,24,26.6,43.0,38,418,3420,38,39,26,65,31,8,10,69,3,45.5,37.7,29.2,66.9,653,1214,1.03,0.68,1.71,0.82,1.5,1.2,0.77,1.97,0.99,1.76,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
ENG-Premier League,1920,vs Liverpool,24,26.3,37.1,38,418,3420,38,32,23,55,31,1,1,47,0,37.7,36.9,29.6,66.5,514,949,0.84,0.61,1.45,0.82,1.42,0.99,0.78,1.77,0.97,1.75,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
ENG-Premier League,1920,vs Manchester City,24,26.5,33.8,38,418,3420,38,34,25,59,31,3,3,53,1,36.2,34.6,23.1,57.8,448,801,0.89,0.66,1.55,0.82,1.47,0.95,0.61,1.56,0.91,1.52,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
ENG-Premier League,1920,vs Manchester Utd,29,26.7,44.2,38,418,3420,38,35,24,59,32,3,3,79,2,37.7,35.3,25.2,60.5,648,1204,0.92,0.63,1.55,0.84,1.47,0.99,0.66,1.65,0.93,1.59,/en/squads/19538871/2019-2020/Manchester-United-Stats
ENG-Premier League,1920,vs Newcastle Utd,28,26.5,61.0,38,418,3420,38,56,38,94,54,2,2,57,2,65.6,64.0,50.4,114.4,808,1882,1.47,1.0,2.47,1.42,2.42,1.73,1.33,3.05,1.69,3.01,/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
ENG-Premier League,1920,vs Norwich City,30,26.5,50.7,38,418,3420,38,72,50,122,68,4,7,58,2,66.5,60.9,46.6,107.6,846,1793,1.89,1.32,3.21,1.79,3.11,1.75,1.23,2.98,1.6,2.83,/en/squads/1c781004/2019-2020/Norwich-City-Stats
ENG-Premier League,1920,vs Sheffield Utd,26,26.7,56.9,38,418,3420,38,39,28,67,38,1,3,46,0,51.0,48.6,38.1,86.7,840,1420,1.03,0.74,1.76,1.0,1.74,1.34,1.0,2.34,1.28,2.28,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
ENG-Premier League,1920,vs Southampton,25,26.5,51.1,38,418,3420,38,59,41,100,56,3,4,67,3,52.8,49.6,38.7,88.4,644,1453,1.55,1.08,2.63,1.47,2.55,1.39,1.02,2.41,1.31,2.33,/en/squads/33c895d4/2019-2020/Southampton-Stats
ENG-Premier League,1920,vs Tottenham,29,26.7,48.0,38,418,3420,38,45,27,72,40,5,7,83,1,54.2,49.1,34.0,83.1,715,1554,1.18,0.71,1.89,1.05,1.76,1.43,0.9,2.32,1.29,2.19,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
ENG-Premier League,1920,vs Watford,26,26.5,57.1,38,418,3420,38,61,37,98,53,8,9,66,1,58.1,51.2,39.4,90.6,844,1654,1.61,0.97,2.58,1.39,2.37,1.53,1.04,2.57,1.35,2.38,/en/squads/2abfe087/2019-2020/Watford-Stats
ENG-Premier League,1920,vs West Ham,29,26.6,55.9,38,418,3420,38,59,49,108,54,5,6,45,0,63.8,59.1,48.7,107.8,855,1724,1.55,1.29,2.84,1.42,2.71,1.68,1.28,2.96,1.55,2.84,/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
ENG-Premier League,1920,vs Wolves,21,26.5,51.7,38,418,3420,38,39,28,67,38,1,3,85,5,38.0,35.5,26.1,61.6,702,1411,1.03,0.74,1.76,1.0,1.74,1.0,0.69,1.69,0.94,1.62,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
ENG-Premier League,2021,vs Arsenal,29,26.7,46.2,38,418,3420,38,35,25,60,33,2,3,74,2,43.0,40.6,31.8,72.4,604,1175,0.92,0.66,1.58,0.87,1.53,1.13,0.84,1.97,1.07,1.91,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
ENG-Premier League,2021,vs Aston Villa,24,26.7,51.9,38,418,3420,38,45,30,75,40,5,6,73,7,51.1,46.4,31.1,77.5,726,1549,1.18,0.79,1.97,1.05,1.84,1.34,0.82,2.16,1.22,2.04,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
ENG-Premier League,2021,vs Brighton,27,26.4,48.7,38,418,3420,38,44,30,74,38,6,7,51,2,35.3,29.8,23.3,53.2,587,1302,1.16,0.79,1.95,1.0,1.79,0.93,0.61,1.54,0.79,1.4,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2021,vs Burnley,25,26.6,58.3,38,418,3420,38,54,47,101,51,3,3,32,2,54.7,52.3,42.5,94.8,884,1665,1.42,1.24,2.66,1.34,2.58,1.44,1.12,2.56,1.38,2.5,/en/squads/943e8050/2020-2021/Burnley-Stats
ENG-Premier League,2021,vs Chelsea,27,26.3,38.6,38,418,3420,38,35,26,61,32,3,4,56,3,30.3,27.1,20.2,47.3,497,1062,0.92,0.68,1.61,0.84,1.53,0.8,0.53,1.33,0.71,1.25,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
ENG-Premier League,2021,vs Crystal Palace,24,26.4,59.9,38,418,3420,38,66,47,113,63,3,4,44,4,58.2,55.1,42.7,97.8,666,1807,1.74,1.24,2.97,1.66,2.89,1.53,1.12,2.66,1.45,2.57,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
ENG-Premier League,2021,vs Everton,29,26.4,53.5,38,418,3420,38,47,33,80,44,3,4,66,1,50.1,46.9,33.8,80.7,794,1664,1.24,0.87,2.11,1.16,2.03,1.32,0.89,2.21,1.24,2.12,/en/squads/d3fd31cc/2020-2021/Everton-Stats
ENG-Premier League,2021,vs Fulham,28,26.6,50.1,38,418,3420,38,52,34,86,45,7,7,40,1,52.6,47.2,37.4,84.5,559,1327,1.37,0.89,2.26,1.18,2.08,1.38,0.98,2.37,1.24,2.22,/en/squads/fd962109/2020-2021/Fulham-Stats
