,,,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
ENG-Premier League,2021,vs Leeds United,23,26.5,42.4,38,418,3420,38,52,36,88,44,8,9,49,2,57.9,50.7,39.3,90.0,720,1201,1.37,0.95,2.32,1.16,2.11,1.52,1.03,2.56,1.33,2.37,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
ENG-Premier League,2021,vs Leicester City,27,26.5,45.4,38,418,3420,38,48,29,77,44,4,4,61,1,46.0,42.9,33.0,75.9,567,1254,1.26,0.76,2.03,1.16,1.92,1.21,0.87,2.08,1.13,2.0,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
ENG-Premier League,2021,vs Liverpool,28,26.6,37.6,38,418,3420,38,42,29,71,38,4,8,56,2,43.0,36.9,27.1,64.0,539,972,1.11,0.76,1.87,1.0,1.76,1.13,0.71,1.84,0.97,1.68,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
ENG-Premier League,2021,vs Manchester City,24,26.4,36.1,38,418,3420,38,31,17,48,23,8,10,61,2,30.2,22.3,15.0,37.4,537,850,0.82,0.45,1.26,0.61,1.05,0.8,0.4,1.19,0.59,0.98,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
ENG-Premier League,2021,vs Manchester Utd,29,26.6,44.2,38,418,3420,38,42,28,70,38,4,4,64,3,41.4,38.4,28.7,67.0,573,1229,1.11,0.74,1.84,1.0,1.74,1.09,0.75,1.84,1.01,1.76,/en/squads/19538871/2020-2021/Manchester-United-Stats
ENG-Premier League,2021,vs Newcastle Utd,27,26.6,61.8,38,418,3420,38,59,41,100,55,4,5,60,3,58.3,54.4,40.5,94.9,851,1771,1.55,1.08,2.63,1.45,2.53,1.54,1.07,2.6,1.43,2.5,/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
ENG-Premier League,2021,vs Sheffield Utd,27,26.7,58.5,38,418,3420,38,60,45,105,57,3,4,39,1,62.2,59.1,45.0,104.1,828,1606,1.58,1.18,2.76,1.5,2.68,1.64,1.18,2.82,1.56,2.74,/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
ENG-Premier League,2021,vs Southampton,29,26.5,47.8,38,418,3420,38,67,44,111,59,8,9,58,3,53.1,46.1,34.6,80.6,555,1407,1.76,1.16,2.92,1.55,2.71,1.4,0.91,2.31,1.21,2.12,/en/squads/33c895d4/2020-2021/Southampton-Stats
ENG-Premier League,2021,vs Tottenham,24,26.5,48.3,38,418,3420,38,42,24,66,32,10,10,77,1,49.1,41.2,31.8,73.1,723,1514,1.11,0.63,1.74,0.84,1.47,1.29,0.84,2.13,1.09,1.92,/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
ENG-Premier League,2021,vs West Brom,30,26.6,62.4,38,418,3420,38,73,52,125,66,7,11,50,1,67.9,59.3,44.1,103.4,931,1802,1.92,1.37,3.29,1.74,3.11,1.79,1.16,2.95,1.56,2.72,/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
ENG-Premier League,2021,vs West Ham,24,26.6,57.1,38,418,3420,38,43,34,77,40,3,5,52,1,48.7,44.8,36.6,81.4,826,1698,1.13,0.89,2.03,1.05,1.95,1.28,0.96,2.24,1.18,2.14,/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
ENG-Premier League,2021,vs Wolves,27,26.6,50.7,38,418,3420,38,49,34,83,42,7,8,62,6,49.5,43.2,31.1,74.3,698,1574,1.29,0.89,2.18,1.11,2.0,1.3,0.82,2.12,1.14,1.96,/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
ENG-Premier League,2122,vs Arsenal,27,26.9,46.8,38,418,3420,38,47,33,80,42,5,6,69,3,45.7,40.9,33.3,74.2,556,1191,1.24,0.87,2.11,1.11,1.97,1.2,0.88,2.08,1.08,1.95,/en/squads/18bb7c10/2021-2022/Arsenal-Stats
ENG-Premier League,2122,vs Aston Villa,31,26.7,53.5,38,418,3420,38,52,35,87,48,4,6,83,1,49.0,44.1,33.7,77.8,741,1514,1.37,0.92,2.29,1.26,2.18,1.29,0.89,2.18,1.16,2.05,/en/squads/8602292d/2021-2022/Aston-Villa-Stats
ENG-Premier League,2122,vs Brentford,29,26.8,55.5,38,418,3420,38,54,41,95,49,5,5,50,3,48.5,44.6,34.7,79.3,734,1523,1.42,1.08,2.5,1.29,2.37,1.28,0.91,2.19,1.17,2.09,/en/squads/cd051869/2021-2022/Brentford-Stats
ENG-Premier League,2122,vs Brighton,26,26.9,45.3,38,418,3420,38,44,34,78,41,3,4,80,0,42.9,39.8,30.0,69.9,642,1263,1.16,0.89,2.05,1.08,1.97,1.13,0.79,1.92,1.05,1.84,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2122,vs Burnley,23,26.7,60.2,38,418,3420,38,51,36,87,46,5,5,44,0,57.1,53.2,40.7,93.9,865,1711,1.34,0.95,2.29,1.21,2.16,1.5,1.07,2.57,1.4,2.47,/en/squads/943e8050/2021-2022/Burnley-Stats
ENG-Premier League,2122,vs Chelsea,26,26.7,37.7,38,418,3420,38,32,20,52,26,6,6,69,4,33.2,28.9,21.7,50.6,495,1004,0.84,0.53,1.37,0.68,1.21,0.87,0.57,1.45,0.76,1.33,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
ENG-Premier League,2122,vs Crystal Palace,24,26.8,49.1,38,418,3420,38,44,30,74,41,3,4,74,3,40.7,37.6,28.3,65.9,563,1402,1.16,0.79,1.95,1.08,1.87,1.07,0.74,1.82,0.99,1.73,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
ENG-Premier League,2122,vs Everton,33,26.8,60.3,38,418,3420,38,61,46,107,59,2,2,72,0,55.4,53.9,41.8,95.8,735,1799,1.61,1.21,2.82,1.55,2.76,1.46,1.1,2.56,1.42,2.52,/en/squads/d3fd31cc/2021-2022/Everton-Stats
ENG-Premier League,2122,vs Leeds United,29,26.9,47.5,38,418,3420,38,78,59,137,73,5,5,74,3,67.8,64.0,48.5,112.4,700,1359,2.05,1.55,3.61,1.92,3.47,1.79,1.28,3.06,1.68,2.96,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
ENG-Premier League,2122,vs Leicester City,28,26.8,47.9,38,418,3420,38,58,36,94,51,7,9,60,0,59.3,52.6,39.8,92.4,732,1496,1.53,0.95,2.47,1.34,2.29,1.56,1.05,2.61,1.38,2.43,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
ENG-Premier League,2122,vs Liverpool,27,26.7,36.7,38,418,3420,38,25,18,43,25,0,0,63,3,33.8,33.8,27.5,61.3,469,912,0.66,0.47,1.13,0.66,1.13,0.89,0.72,1.61,0.89,1.61,/en/squads/822bd0ba/2021-2022/Liverpool-Stats
ENG-Premier League,2122,vs Manchester City,26,26.9,31.5,38,418,3420,38,26,23,49,25,1,1,68,3,24.6,23.9,19.0,42.8,392,757,0.68,0.61,1.29,0.66,1.26,0.65,0.5,1.15,0.63,1.13,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
ENG-Premier League,2122,vs Manchester Utd,29,27.0,47.1,38,418,3420,38,54,41,95,51,3,5,48,1,53.0,49.4,39.0,88.4,672,1404,1.42,1.08,2.5,1.34,2.42,1.39,1.03,2.42,1.3,2.33,/en/squads/19538871/2021-2022/Manchester-United-Stats
ENG-Premier League,2122,vs Newcastle Utd,29,26.8,60.1,38,418,3420,38,60,43,103,55,5,6,75,3,57.1,52.6,42.7,95.3,774,1725,1.58,1.13,2.71,1.45,2.58,1.5,1.12,2.63,1.39,2.51,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
ENG-Premier League,2122,vs Norwich City,28,26.8,57.5,38,418,3420,38,82,57,139,73,9,12,62,2,75.5,66.3,54.4,120.7,822,1773,2.16,1.5,3.66,1.92,3.42,1.99,1.43,3.42,1.75,3.18,/en/squads/1c781004/2021-2022/Norwich-City-Stats
ENG-Premier League,2122,vs Southampton,25,26.8,52.1,38,418,3420,38,65,47,112,63,2,2,64,1,60.0,58.5,45.7,104.3,647,1497,1.71,1.24,2.95,1.66,2.89,1.58,1.2,2.78,1.54,2.74,/en/squads/33c895d4/2021-2022/Southampton-Stats
ENG-Premier League,2122,vs Tottenham,25,26.8,48.0,38,418,3420,38,39,29,68,37,2,2,83,6,39.3,37.7,30.2,67.9,653,1443,1.03,0.76,1.79,0.97,1.74,1.03,0.79,1.83,0.99,1.79,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
ENG-Premier League,2122,vs Watford,30,26.8,59.7,38,418,3420,38,74,56,130,68,6,7,64,1,64.5,59.0,49.3,108.4,744,1742,1.95,1.47,3.42,1.79,3.26,1.7,1.3,3.0,1.55,2.85,/en/squads/2abfe087/2021-2022/Watford-Stats
ENG-Premier League,2122,vs West Ham,25,26.8,52.2,38,418,3420,38,49,38,87,47,2,6,49,3,53.5,48.8,39.9,88.7,845,1536,1.29,1.0,2.29,1.24,2.24,1.41,1.05,2.46,1.28,2.33,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
ENG-Premier League,2122,vs Wolves,26,26.7,50.4,38,418,3420,38,42,23,65,33,9,10,90,3,56.9,49.2,38.6,87.8,780,1520,1.11,0.61,1.71,0.87,1.47,1.5,1.02,2.51,1.3,2.31,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
ENG-Premier League,2223,vs Arsenal,26,26.7,40.1,38,418,3420,38,42,27,69,39,3,5,84,1,42.0,38.0,31.6,69.6,510,907,1.11,0.71,1.82,1.03,1.74,1.1,0.83,1.93,1.0,1.83,/en/squads/18bb7c10/2022-2023/Arsenal-Stats
ENG-Premier League,2223,vs Aston Villa,26,26.5,50.6,38,418,3420,38,42,25,67,37,5,6,85,3,52.5,47.9,36.1,84.0,607,1323,1.11,0.66,1.76,0.97,1.63,1.38,0.95,2.33,1.26,2.21,/en/squads/8602292d/2022-2023/Aston-Villa-Stats
ENG-Premier League,2223,vs Bournemouth,31,26.6,59.9,38,418,3420,38,68,49,117,62,6,7,51,0,63.9,58.4,45.3,103.8,810,1988,1.79,1.29,3.08,1.63,2.92,1.68,1.19,2.87,1.54,2.73,/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
ENG-Premier League,2223,vs Brentford,25,26.6,56.6,38,418,3420,38,43,30,73,41,2,2,61,1,49.9,48.7,36.8,85.5,741,1540,1.13,0.79,1.92,1.08,1.87,1.31,0.97,2.28,1.28,2.25,/en/squads/cd051869/2022-2023/Brentford-Stats
ENG-Premier League,2223,vs Brighton,29,26.5,39.5,38,418,3420,38,47,34,81,41,6,8,92,1,50.2,43.7,33.7,77.4,527,1026,1.24,0.89,2.13,1.08,1.97,1.32,0.89,2.21,1.15,2.04,/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2223,vs Chelsea,32,26.6,41.0,38,418,3420,38,44,32,76,43,1,1,69,1,52.5,51.7,39.9,91.6,593,1203,1.16,0.84,2.0,1.13,1.97,1.38,1.05,2.43,1.36,2.41,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
ENG-Premier League,2223,vs Crystal Palace,26,26.6,53.9,38,418,3420,38,46,32,78,42,4,4,83,3,48.1,44.9,34.5,79.4,590,1592,1.21,0.84,2.05,1.11,1.95,1.26,0.91,2.17,1.18,2.09,/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
ENG-Premier League,2223,vs Everton,28,26.5,57.4,38,418,3420,38,57,36,93,52,5,6,76,1,65.7,61.1,45.7,106.8,752,1678,1.5,0.95,2.45,1.37,2.32,1.73,1.2,2.93,1.61,2.81,/en/squads/d3fd31cc/2022-2023/Everton-Stats
ENG-Premier League,2223,vs Fulham,29,26.7,51.3,38,418,3420,38,51,30,81,44,7,8,57,5,63.8,57.9,43.1,101.0,559,1406,1.34,0.79,2.13,1.16,1.95,1.68,1.13,2.81,1.52,2.66,/en/squads/fd962109/2022-2023/Fulham-Stats
ENG-Premier League,2223,vs Leeds United,29,26.7,53.1,38,418,3420,38,77,50,127,72,5,6,66,3,67.2,62.5,49.9,112.5,596,1469,2.03,1.32,3.34,1.89,3.21,1.77,1.31,3.08,1.65,2.96,/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
ENG-Premier League,2223,vs Leicester City,28,26.6,52.4,38,418,3420,38,63,46,109,59,4,5,64,2,63.4,59.9,48.0,107.9,721,1575,1.66,1.21,2.87,1.55,2.76,1.67,1.26,2.93,1.58,2.84,/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
ENG-Premier League,2223,vs Liverpool,28,26.6,38.9,38,418,3420,38,45,32,77,43,2,4,59,1,50.9,48.1,37.8,85.8,505,1101,1.18,0.84,2.03,1.13,1.97,1.34,0.99,2.33,1.26,2.26,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
ENG-Premier League,2223,vs Manchester City,24,26.6,34.7,38,418,3420,38,32,21,53,29,3,3,80,2,32.1,29.8,23.8,53.5,434,860,0.84,0.55,1.39,0.76,1.32,0.85,0.63,1.47,0.78,1.41,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
ENG-Premier League,2223,vs Manchester Utd,26,26.4,46.0,38,418,3420,38,42,28,70,40,2,3,50,0,50.4,48.0,37.4,85.4,697,1355,1.11,0.74,1.84,1.05,1.79,1.33,0.98,2.31,1.26,2.25,/en/squads/19538871/2022-2023/Manchester-United-Stats
ENG-Premier League,2223,vs Newcastle Utd,27,26.8,47.6,38,418,3420,38,31,23,54,29,2,5,80,2,39.6,35.7,29.7,65.3,600,1201,0.82,0.61,1.42,0.76,1.37,1.04,0.78,1.82,0.94,1.72,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
ENG-Premier League,2223,vs Nott'ham Forest,33,26.8,62.8,38,418,3420,38,68,45,113,62,6,9,65,0,64.2,57.5,45.0,102.5,813,1904,1.79,1.18,2.97,1.63,2.82,1.69,1.18,2.87,1.51,2.7,/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
ENG-Premier League,2223,vs Southampton,36,26.7,55.6,38,418,3420,38,68,55,123,66,2,3,63,2,61.0,58.7,46.4,105.0,653,1735,1.79,1.45,3.24,1.74,3.18,1.61,1.22,2.83,1.54,2.76,/en/squads/33c895d4/2022-2023/Southampton-Stats
ENG-Premier League,2223,vs Tottenham,29,26.7,50.1,38,418,3420,38,62,45,107,59,3,4,79,2,49.7,46.6,36.3,82.8,685,1516,1.63,1.18,2.82,1.55,2.74,1.31,0.95,2.26,1.23,2.18,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
ENG-Premier League,2223,vs West Ham,25,26.6,58.2,38,418,3420,38,54,42,96,50,4,6,54,0,53.0,48.4,39.8,88.2,805,1721,1.42,1.11,2.53,1.32,2.42,1.4,1.05,2.44,1.27,2.32,/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
ENG-Premier League,2223,vs Wolves,32,26.4,49.8,38,418,3420,38,57,44,101,55,2,4,75,0,59.9,56.7,44.2,100.9,702,1596,1.5,1.16,2.66,1.45,2.61,1.58,1.16,2.74,1.49,2.66,/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
