,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,27-076,1997,7.7,10,6,8,1,1,9,21,42.9,12,6,5,1,11,21,23,0
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",23-109,2001,14.1,22,13,5,10,7,9,19,47.4,10,16,0,16,2,24,7,0
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,29-099,1995,17.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,8,4
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25-344,1999,13.3,23,11,7,13,3,8,14,57.1,6,14,8,6,10,33,20,0
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"MF,FW",17-277,2007,1.3,2,1,0,1,1,0,5,0.0,5,4,1,3,0,2,1,0
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27-264,1997,4.0,6,5,4,2,0,3,5,60.0,2,7,1,6,4,10,5,0
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,27-004,1997,14.1,11,7,5,5,1,5,9,55.6,4,28,20,8,8,19,44,2
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23-188,2001,10.5,12,10,2,4,6,5,14,35.7,9,4,0,4,1,13,10,0
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24-312,2000,3.6,4,2,3,1,0,3,5,60.0,2,5,2,3,1,5,16,1
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,33-003,1991,4.4,8,3,1,5,2,5,11,45.5,6,0,0,0,5,13,1,1
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23-189,2001,13.5,22,12,6,12,4,6,13,46.2,7,11,4,7,6,28,23,1
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25-195,1999,15.4,12,8,2,6,4,3,10,30.0,7,16,3,13,6,18,28,1
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,30-019,1994,10.2,14,10,3,8,3,7,17,41.2,10,12,0,12,7,21,10,0
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,26-006,1998,9.1,11,6,4,5,2,2,13,15.4,11,2,0,2,1,12,1,0
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,MF,28-184,1996,5.3,15,10,5,4,6,4,11,36.4,7,12,5,7,8,23,7,1
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18-088,2006,1.6,5,3,3,2,0,2,2,100.0,0,0,0,0,0,5,1,0
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",28-008,1996,2.6,2,0,1,1,0,1,4,25.0,3,5,0,5,3,5,5,0
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,"MF,FW",30-015,1994,1.6,1,1,0,1,0,1,3,33.3,2,1,0,1,0,1,0,0
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,FW,25-013,1999,0.0,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,22-218,2002,6.0,18,14,11,6,1,13,19,68.4,6,10,5,5,6,24,18,0
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26-048,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31-193,1993,14.5,41,28,15,14,12,22,38,57.9,16,11,5,6,18,59,27,2
ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,23-274,2001,15.3,36,22,24,12,0,15,19,78.9,4,10,5,5,11,47,47,3
ENG-Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,23-129,2001,9.0,28,16,16,10,2,9,17,52.9,8,9,5,4,17,45,18,2
ENG-Premier League,2425,Aston Villa,Boubacar Kamara,FRA,MF,25-030,1999,4.8,12,6,6,4,2,7,16,43.8,9,6,3,3,6,18,10,1
ENG-Premier League,2425,Aston Villa,Diego Carlos,BRA,DF,31-283,1993,8.2,7,3,6,1,0,3,5,60.0,2,8,5,3,5,12,32,2
ENG-Premier League,2425,Aston Villa,Emi Buendía,ARG,"MF,FW",27-364,1996,0.5,3,3,2,1,0,0,2,0.0,2,4,0,4,0,3,1,0
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,32-112,1992,16.5,1,1,1,0,0,0,0,,0,0,0,0,0,1,10,4
ENG-Premier League,2425,Aston Villa,Ezri Konsa,ENG,DF,27-061,1997,14.1,19,11,11,4,4,11,13,84.6,2,6,3,3,11,30,45,0
ENG-Premier League,2425,Aston Villa,Ian Maatsen,NED,DF,22-288,2002,3.2,11,7,5,5,1,4,6,66.7,2,2,0,2,3,14,7,1
ENG-Premier League,2425,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23-209,2001,7.0,7,3,3,3,1,3,5,60.0,2,8,2,6,5,12,2,0
ENG-Premier League,2425,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",22-319,2002,3.7,11,5,4,7,0,4,6,66.7,2,5,0,5,3,14,2,1
ENG-Premier League,2425,Aston Villa,Jhon Durán,COL,FW,21-010,2003,6.3,8,7,1,2,5,1,4,25.0,3,5,0,5,0,8,12,0
ENG-Premier League,2425,Aston Villa,John McGinn,SCO,"FW,MF",30-066,1994,11.9,15,10,4,8,3,4,10,40.0,6,9,0,9,4,19,3,0
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,19-007,2005,1.1,7,5,1,3,3,2,3,66.7,1,1,0,1,0,7,3,0
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,NED,DF,20-353,2004,2.4,8,4,2,5,1,5,9,55.6,4,2,0,2,1,9,4,0
ENG-Premier League,2425,Aston Villa,Leon Bailey,JAM,"FW,MF",27-136,1997,8.1,3,1,0,1,2,0,3,0.0,3,6,0,6,2,5,7,0
ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31-156,1993,13.9,33,20,19,8,6,22,34,64.7,12,13,3,10,19,52,42,1
ENG-Premier League,2425,Aston Villa,Matty Cash,POL,"DF,FW",27-138,1997,9.2,24,11,16,7,1,10,17,58.8,7,9,4,5,13,37,24,1
ENG-Premier League,2425,Aston Villa,Morgan Rogers,ENG,"MF,FW",22-150,2002,15.6,15,8,3,7,5,7,20,35.0,13,12,2,10,3,18,10,0
ENG-Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,28-359,1995,12.6,5,3,0,3,2,1,6,16.7,5,7,1,6,2,7,3,0
ENG-Premier League,2425,Aston Villa,Pau Torres,ESP,DF,27-342,1997,16.0,17,12,10,6,1,9,12,75.0,3,11,7,4,6,23,42,2
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34-350,1990,0.5,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
ENG-Premier League,2425,Aston Villa,Ross Barkley,ENG,MF,31-018,1993,5.0,9,2,4,5,0,7,10,70.0,3,7,2,5,5,14,4,0
ENG-Premier League,2425,Aston Villa,Tyrone Mings,ENG,DF,31-285,1993,1.0,1,1,1,0,0,0,0,,0,1,1,0,0,1,6,0
ENG-Premier League,2425,Aston Villa,Youri Tielemans,BEL,MF,27-230,1997,16.3,38,25,15,20,3,18,33,54.5,15,12,6,6,15,53,16,2
ENG-Premier League,2425,Bournemouth,Adam Smith,ENG,DF,33-238,1991,11.5,16,8,8,4,4,9,19,47.4,10,9,2,7,11,27,37,1
ENG-Premier League,2425,Bournemouth,Alex Scott,ENG,MF,21-124,2003,2.9,16,7,8,4,4,12,16,75.0,4,9,1,8,6,22,5,0
ENG-Premier League,2425,Bournemouth,Antoine Semenyo,GHA,FW,24-351,2000,15.4,24,15,9,11,4,5,16,31.3,11,31,4,27,4,28,14,0
ENG-Premier League,2425,Bournemouth,Dango Ouattara,BFA,"FW,DF",22-316,2002,7.8,23,19,9,7,7,13,27,48.1,14,15,4,11,7,30,18,0
ENG-Premier League,2425,Bournemouth,Daniel Jebbison,ENG,FW,21-132,2003,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
ENG-Premier League,2425,Bournemouth,David Brooks,WAL,"FW,MF",27-168,1997,2.0,3,1,0,3,0,1,3,33.3,2,4,1,3,2,5,1,1
ENG-Premier League,2425,Bournemouth,Dean Huijsen,ESP,DF,19-253,2005,6.8,9,6,6,2,1,2,5,40.0,3,9,8,1,14,23,39,2
ENG-Premier League,2425,Bournemouth,Enes Ünal,TUR,"FW,MF",27-227,1997,2.7,1,0,0,0,1,0,2,0.0,2,1,0,1,0,1,4,0
ENG-Premier League,2425,Bournemouth,Evanilson,BRA,FW,25-078,1999,13.1,8,4,1,4,3,3,7,42.9,4,7,1,6,0,8,11,0
ENG-Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,DF,22-113,2002,17.0,26,17,11,15,0,16,23,69.6,7,22,12,10,18,44,78,1
ENG-Premier League,2425,Bournemouth,James Hill,ENG,MF,22-348,2002,0.1,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,2,0
ENG-Premier League,2425,Bournemouth,Julian Araujo,MEX,DF,23-132,2001,3.9,7,3,3,4,0,4,10,40.0,6,3,0,3,4,11,13,0
ENG-Premier League,2425,Bournemouth,Justin Kluivert,NED,"MF,FW",25-232,1999,11.7,13,8,3,6,4,3,9,33.3,6,13,0,13,8,21,13,1
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30-081,1994,12.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,2
ENG-Premier League,2425,Bournemouth,Lewis Cook,ENG,"MF,DF",27-324,1997,14.6,39,22,20,17,2,16,32,50.0,16,18,6,12,25,64,27,0
ENG-Premier League,2425,Bournemouth,Luis Sinisterra,COL,"FW,MF",25-189,1999,2.3,5,1,1,2,2,0,4,0.0,4,3,0,3,0,5,5,0
ENG-Premier League,2425,Bournemouth,Marcos Senesi,ARG,DF,27-227,1997,10.2,33,21,21,10,2,13,26,50.0,13,14,6,8,11,44,42,0
ENG-Premier League,2425,Bournemouth,Marcus Tavernier,ENG,"FW,MF",25-276,1999,12.7,31,18,9,13,9,7,19,36.8,12,8,0,8,3,34,8,0
ENG-Premier League,2425,Bournemouth,Mark Travers,IRL,GK,25-219,1999,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
ENG-Premier League,2425,Bournemouth,Max Aarons,ENG,DF,24-354,2000,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Milos Kerkez,HUN,DF,21-046,2003,16.2,23,12,9,12,2,11,17,64.7,6,14,6,8,17,40,46,0
ENG-Premier League,2425,Bournemouth,Neto,BRA,GK,35-157,1989,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
ENG-Premier League,2425,Bournemouth,Philip Billing,DEN,MF,28-195,1996,0.9,9,2,5,4,0,2,2,100.0,0,1,0,1,3,12,2,0
ENG-Premier League,2425,Bournemouth,Ryan Christie,SCO,MF,29-305,1995,12.6,24,15,10,9,5,12,27,44.4,15,23,7,16,13,37,29,1
ENG-Premier League,2425,Bournemouth,Tyler Adams,USA,MF,25-313,1999,5.1,26,18,10,13,3,11,16,68.8,5,6,3,3,18,44,11,0
ENG-Premier League,2425,Brentford,Ben Mee,ENG,DF,35-093,1989,1.1,2,2,0,2,0,1,1,100.0,0,1,1,0,3,5,3,0
ENG-Premier League,2425,Brentford,Bryan Mbeumo,CMR,FW,25-138,1999,16.9,21,12,7,7,7,9,13,69.2,4,12,2,10,7,28,24,0
ENG-Premier League,2425,Brentford,Christian Nørgaard,DEN,MF,30-288,1994,12.8,42,27,17,21,4,26,36,72.2,10,20,6,14,19,61,29,1
ENG-Premier League,2425,Brentford,Edmond-Paris Maghoma,ENG,MF,23-229,2001,0.6,1,0,0,1,0,1,2,50.0,1,1,1,0,1,2,1,0
ENG-Premier League,2425,Brentford,Ethan Pinnock,JAM,DF,31-208,1993,16.0,29,16,14,12,3,12,17,70.6,5,25,16,9,18,47,105,3
ENG-Premier League,2425,Brentford,Fabio Carvalho,POR,"FW,MF",22-115,2002,4.8,13,9,4,4,5,6,13,46.2,7,6,1,5,3,16,2,0
ENG-Premier League,2425,Brentford,Frank Onyeka,NGA,MF,26-357,1998,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Jayden Meghoma,ENG,DF,18-178,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,FW",23-305,2001,14.3,21,10,8,9,4,11,17,64.7,6,10,4,6,7,28,26,1
ENG-Premier League,2425,Brentford,Kevin Schade,GER,FW,23-026,2001,8.4,19,14,8,5,6,9,12,75.0,3,6,1,5,1,20,9,0
ENG-Premier League,2425,Brentford,Kristoffer Ajer,NOR,DF,26-250,1998,8.0,9,7,7,2,0,4,12,33.3,8,8,1,7,6,15,23,0
ENG-Premier League,2425,Brentford,Mads Roerslev,DEN,DF,25-182,1999,6.3,7,3,5,2,0,3,10,30.0,7,7,3,4,3,10,17,0
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31-193,1993,17.0,2,2,2,0,0,1,6,16.7,5,0,0,0,0,2,16,2
ENG-Premier League,2425,Brentford,Mathias Jensen,DEN,MF,28-357,1996,5.3,4,3,2,1,1,2,6,33.3,4,7,1,6,4,8,6,1
ENG-Premier League,2425,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24-173,2000,13.2,45,26,19,12,14,16,33,48.5,17,18,1,17,15,60,23,1
ENG-Premier League,2425,Brentford,Nathan Collins,IRL,DF,23-237,2001,17.0,21,13,14,5,2,14,18,77.8,4,36,27,9,17,38,88,0
ENG-Premier League,2425,Brentford,Ryan Trevitt,ENG,MF,21-286,2003,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
ENG-Premier League,2425,Brentford,Sepp van den Berg,NED,DF,23-003,2001,13.0,22,13,14,6,2,11,20,55.0,9,23,14,9,10,32,50,2
ENG-Premier League,2425,Brentford,Thiago,BRA,FW,23-180,2001,1.5,2,2,1,0,1,0,1,0.0,1,0,0,0,2,4,2,1
ENG-Premier League,2425,Brentford,Vitaly Janelt,GER,MF,26-227,1998,13.6,17,10,7,6,4,9,18,50.0,9,19,4,15,13,30,32,1
ENG-Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,20-297,2004,4.4,12,9,4,5,3,5,18,27.8,13,15,5,10,6,18,10,0
ENG-Premier League,2425,Brentford,Yoane Wissa,COD,FW,28-111,1996,11.6,3,2,0,1,2,0,5,0.0,5,6,1,5,3,6,4,0
ENG-Premier League,2425,Brentford,Yunus Emre Konak,TUR,"MF,FW",18-348,2006,0.2,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
ENG-Premier League,2425,Brighton,Adam Webster,ENG,DF,29-354,1995,0.9,0,0,0,0,0,0,2,0.0,2,4,3,1,1,1,3,1
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,22-127,2002,15.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,11,3
ENG-Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23-195,2001,1.1,3,3,2,1,0,3,4,75.0,1,1,0,1,0,3,1,0
ENG-Premier League,2425,Brighton,Brajan Gruda,GER,"MF,FW",20-206,2004,1.7,6,1,0,4,2,4,6,66.7,2,5,0,5,0,6,1,0
ENG-Premier League,2425,Brighton,Carlos Baleba,CMR,MF,20-355,2004,11.0,30,16,5,17,8,18,29,62.1,11,17,4,13,23,53,7,0
ENG-Premier League,2425,Brighton,Danny Welbeck,ENG,FW,34-027,1990,12.4,11,6,3,7,1,3,10,30.0,7,11,1,10,4,15,8,0
ENG-Premier League,2425,Brighton,Evan Ferguson,IRL,FW,20-065,2004,2.5,3,2,0,3,0,2,5,40.0,3,3,1,2,0,3,4,0
ENG-Premier League,2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",25-077,1999,4.3,10,6,4,5,1,6,15,40.0,9,2,2,0,8,18,17,0
ENG-Premier League,2425,Brighton,Georginio Rutter,FRA,"FW,MF",22-247,2002,11.0,20,7,9,7,4,8,24,33.3,16,13,2,11,7,27,9,1
ENG-Premier League,2425,Brighton,Igor,BRA,DF,26-320,1998,8.3,3,3,1,1,1,3,6,50.0,3,19,11,8,2,5,38,1
ENG-Premier League,2425,Brighton,Jack Hinshelwood,ENG,"MF,DF",19-256,2005,9.3,12,9,4,6,2,5,11,45.5,6,4,2,2,4,16,14,1
ENG-Premier League,2425,Brighton,Jakub Moder,POL,MF,25-260,1999,0.1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,2,0
ENG-Premier League,2425,Brighton,James Milner,ENG,MF,38-354,1986,1.9,5,2,1,3,1,3,3,100.0,0,4,2,2,2,7,2,1
ENG-Premier League,2425,Brighton,Jan Paul van Hecke,NED,DF,24-198,2000,13.9,20,13,12,8,0,12,20,60.0,8,18,11,7,9,29,51,2
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,34-127,1990,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2425,Brighton,Jeremy Sarmiento,ECU,MF,22-190,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,João Pedro,BRA,"MF,FW",23-088,2001,8.5,7,4,1,4,2,1,4,25.0,3,5,0,5,5,12,6,0
ENG-Premier League,2425,Brighton,Joël Veltman,NED,DF,32-343,1992,11.4,27,19,16,9,2,19,38,50.0,19,12,5,7,11,38,39,0
ENG-Premier League,2425,Brighton,Julio Enciso,PAR,"MF,FW",20-335,2004,1.8,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,1,0
ENG-Premier League,2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",27-217,1997,16.1,24,16,7,9,8,12,32,37.5,20,25,2,23,8,32,3,0
ENG-Premier League,2425,Brighton,Lewis Dunk,ENG,DF,33-032,1991,12.0,8,4,4,3,1,2,3,66.7,1,14,9,5,9,17,34,0
ENG-Premier League,2425,Brighton,Mats Wieffer,NED,MF,25-037,1999,5.2,20,11,4,13,3,7,14,50.0,7,10,1,9,7,27,11,2
ENG-Premier League,2425,Brighton,Matt O'Riley,DEN,MF,24-032,2000,2.5,5,4,1,4,0,2,5,40.0,3,1,0,1,4,9,3,0
ENG-Premier League,2425,Brighton,Pervis Estupiñán,ECU,DF,26-337,1998,11.8,28,19,16,8,4,12,19,63.2,7,5,2,3,15,43,32,0
ENG-Premier League,2425,Brighton,Simon Adingra,CIV,"FW,MF",22-357,2002,3.9,9,4,5,3,1,4,10,40.0,6,5,0,5,4,13,1,0
ENG-Premier League,2425,Brighton,Tariq Lamptey,GHA,DF,24-084,2000,2.9,4,4,2,2,0,2,7,28.6,5,7,1,6,4,8,9,0
ENG-Premier League,2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20-154,2004,5.9,9,5,2,1,6,4,12,33.3,8,10,0,10,3,12,5,0
ENG-Premier League,2425,Brighton,Yasin Ayari,SWE,MF,21-078,2003,9.2,32,15,5,21,6,14,26,53.8,12,9,2,7,8,40,10,0
ENG-Premier League,2425,Chelsea,Axel Disasi,FRA,DF,26-287,1998,3.0,5,4,4,0,1,4,7,57.1,3,3,1,2,1,6,9,0
ENG-Premier League,2425,Chelsea,Benoît Badiashile,FRA,DF,23-272,2001,2.8,6,4,3,3,0,2,2,100.0,0,2,2,0,6,12,6,1
ENG-Premier League,2425,Chelsea,Christopher Nkunku,FRA,FW,27-039,1997,3.6,3,3,0,1,2,2,2,100.0,0,5,1,4,2,5,6,0
ENG-Premier League,2425,Chelsea,Cole Palmer,ENG,MF,22-231,2002,16.4,12,7,6,4,2,4,13,30.8,9,11,1,10,5,17,7,0
ENG-Premier League,2425,Chelsea,Enzo Fernández,ARG,MF,23-341,2001,12.8,38,17,10,17,11,19,45,42.2,26,16,2,14,6,44,10,3
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22-251,2002,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Jadon Sancho,ENG,FW,24-273,2000,7.4,4,3,1,1,2,2,5,40.0,3,2,0,2,0,4,0,0
ENG-Premier League,2425,Chelsea,João Félix,POR,"FW,MF",25-043,1999,3.3,7,3,2,4,1,5,8,62.5,3,2,0,2,3,10,2,0
ENG-Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,ENG,MF,26-108,1998,0.7,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,1
ENG-Premier League,2425,Chelsea,Levi Colwill,ENG,DF,21-301,2003,16.0,13,9,10,3,0,4,9,44.4,5,23,17,6,16,29,50,1
ENG-Premier League,2425,Chelsea,Malo Gusto,FRA,DF,21-218,2003,11.6,31,21,17,12,2,18,32,56.3,14,19,5,14,12,43,24,2
ENG-Premier League,2425,Chelsea,Marc Cucurella,ESP,DF,26-154,1998,13.0,26,18,17,8,1,13,26,50.0,13,21,5,16,13,39,34,2
ENG-Premier League,2425,Chelsea,Marc Guiu,ESP,FW,18-354,2006,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Moisés Caicedo,ECU,MF,23-051,2001,16.7,54,33,24,25,5,28,42,66.7,14,18,5,13,28,82,23,0
ENG-Premier League,2425,Chelsea,Mykhailo Mudryk,UKR,FW,23-353,2001,1.7,2,2,2,0,0,0,0,,0,3,1,2,0,2,1,0
ENG-Premier League,2425,Chelsea,Nicolas Jackson,SEN,FW,23-186,2001,14.0,11,7,2,4,5,1,5,20.0,4,8,1,7,2,13,12,0
ENG-Premier League,2425,Chelsea,Noni Madueke,ENG,FW,22-288,2002,11.5,14,10,6,7,1,9,21,42.9,12,11,0,11,5,19,5,0
ENG-Premier League,2425,Chelsea,Pedro Neto,POR,FW,24-289,2000,9.0,10,5,3,6,1,4,9,44.4,5,7,0,7,5,15,2,0
ENG-Premier League,2425,Chelsea,Reece James,ENG,DF,25-015,1999,2.7,2,2,2,0,0,1,3,33.3,2,4,2,2,3,5,5,1
ENG-Premier League,2425,Chelsea,Renato Veiga,POR,"DF,MF",21-147,2003,2.0,9,6,6,3,0,4,12,33.3,8,3,1,2,1,10,2,0
ENG-Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,27-035,1997,16.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,12,4
ENG-Premier League,2425,Chelsea,Roméo Lavia,BEL,MF,20-352,2004,5.3,15,9,5,7,3,6,13,46.2,7,6,0,6,11,26,5,0
ENG-Premier League,2425,Chelsea,Tosin Adarabioyo,ENG,DF,27-090,1997,4.9,8,7,7,1,0,4,5,80.0,1,4,3,1,3,11,21,0
ENG-Premier League,2425,Chelsea,Wesley Fofana,FRA,DF,24-006,2000,11.3,13,12,6,7,0,6,14,42.9,8,14,9,5,12,25,49,2
ENG-Premier League,2425,Crystal Palace,Adam Wharton,ENG,MF,20-204,2004,6.9,18,10,9,9,0,9,26,34.6,17,5,0,5,10,28,13,0
ENG-Premier League,2425,Crystal Palace,Asher Agbinone,ENG,MF,19-086,2005,0.1,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0
ENG-Premier League,2425,Crystal Palace,Caleb Kporha,ENG,DF,18-161,2006,0.1,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,1,0
ENG-Premier League,2425,Crystal Palace,Chadi Riad,MAR,DF,21-189,2003,1.0,5,2,2,2,1,2,3,66.7,1,0,0,0,2,7,0,0
ENG-Premier League,2425,Crystal Palace,Cheick Doucouré,MLI,MF,24-350,2000,3.0,8,3,1,5,2,3,8,37.5,5,4,0,4,7,15,4,0
ENG-Premier League,2425,Crystal Palace,Chris Richards,USA,DF,24-270,2000,4.9,11,5,6,4,1,7,13,53.8,6,12,2,10,3,14,24,0
ENG-Premier League,2425,Crystal Palace,Daichi Kamada,JPN,MF,28-140,1996,7.9,22,11,7,13,2,6,21,28.6,15,9,2,7,8,30,8,0
ENG-Premier League,2425,Crystal Palace,Daniel Muñoz,COL,DF,28-211,1996,15.0,56,38,26,21,9,25,44,56.8,19,14,2,12,16,72,43,0
ENG-Premier League,2425,Crystal Palace,Dean Henderson,ENG,GK,27-286,1997,17.0,2,1,2,0,0,2,4,50.0,2,0,0,0,0,2,12,0
ENG-Premier League,2425,Crystal Palace,Eberechi Eze,ENG,"MF,FW",26-177,1998,12.0,20,12,9,8,3,9,19,47.4,10,11,0,11,6,26,3,1
ENG-Premier League,2425,Crystal Palace,Eddie Nketiah,ENG,"MF,FW",25-207,1999,6.4,12,5,6,2,4,5,9,55.6,4,6,0,6,1,13,5,0
ENG-Premier League,2425,Crystal Palace,Ismaila Sarr,SEN,"MF,FW",26-302,1998,11.2,9,5,3,5,1,1,9,11.1,8,11,3,8,5,14,9,0
ENG-Premier League,2425,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27-178,1997,13.9,7,6,2,4,1,0,6,0.0,6,7,1,6,1,8,13,0
ENG-Premier League,2425,Crystal Palace,Jefferson Lerma,COL,MF,30-059,1994,9.2,10,3,4,5,1,6,12,50.0,6,16,10,6,15,25,18,0
ENG-Premier League,2425,Crystal Palace,Jeffrey Schlupp,GHA,"MF,DF",32-000,1992,1.1,2,0,1,0,1,0,3,0.0,3,6,0,6,0,2,2,0
ENG-Premier League,2425,Crystal Palace,Joachim Andersen,DEN,DF,28-206,1996,1.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,7,0
ENG-Premier League,2425,Crystal Palace,Jordan Ayew,GHA,"FW,MF",33-103,1991,0.2,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
ENG-Premier League,2425,Crystal Palace,Justin Devenny,NIR,MF,21-073,2003,2.5,10,7,6,3,1,7,11,63.6,4,3,0,3,0,10,5,0
