,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
ENG-Premier League,2425,Manchester Utd,Joshua Zirkzee,NED,"FW,MF",23-215,2001,7.3,4,1,3,1,0,3,3,100.0,0,7,2,5,2,6,2,0
ENG-Premier League,2425,Manchester Utd,Kobbie Mainoo,ENG,MF,19-248,2005,10.1,23,17,13,6,4,14,21,66.7,7,11,2,9,15,38,5,1
ENG-Premier League,2425,Manchester Utd,Leny Yoro,FRA,DF,19-040,2005,1.7,6,1,6,0,0,3,4,75.0,1,1,1,0,2,8,4,0
ENG-Premier League,2425,Manchester Utd,Lisandro Martínez,ARG,DF,26-340,1998,13.8,29,17,18,8,3,15,26,57.7,11,16,5,11,26,55,39,1
ENG-Premier League,2425,Manchester Utd,Luke Shaw,ENG,DF,29-164,1995,0.8,2,2,1,1,0,1,1,100.0,0,1,0,1,1,3,1,0
ENG-Premier League,2425,Manchester Utd,Manuel Ugarte Ribeiro,URU,MF,23-256,2001,7.2,31,17,11,16,4,10,23,43.5,13,9,2,7,11,42,8,1
ENG-Premier League,2425,Manchester Utd,Marcus Rashford,ENG,"FW,MF",27-053,1997,10.9,7,4,2,2,3,3,9,33.3,6,8,0,8,4,11,7,0
ENG-Premier League,2425,Manchester Utd,Mason Mount,ENG,"MF,FW",25-348,1999,2.7,6,2,3,3,0,5,7,71.4,2,4,1,3,0,6,0,0
ENG-Premier League,2425,Manchester Utd,Matthijs de Ligt,NED,DF,25-133,1999,12.7,13,7,9,4,0,10,14,71.4,4,14,11,3,20,33,38,0
ENG-Premier League,2425,Manchester Utd,Noussair Mazraoui,MAR,DF,27-039,1997,13.9,56,33,29,17,10,32,49,65.3,17,18,4,14,14,70,41,0
ENG-Premier League,2425,Manchester Utd,Rasmus Højlund,DEN,FW,21-323,2003,8.0,2,0,0,1,1,0,1,0.0,1,2,0,2,1,3,3,0
ENG-Premier League,2425,Manchester Utd,Scott McTominay,SCO,MF,28-015,1996,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
ENG-Premier League,2425,Manchester Utd,Toby Collyer,ENG,MF,20-355,2004,0.5,4,3,1,3,0,2,2,100.0,0,0,0,0,0,4,1,0
ENG-Premier League,2425,Manchester Utd,Tyrell Malacia,NED,DF,25-128,1999,1.0,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,0,1
ENG-Premier League,2425,Manchester Utd,Victor Lindelöf,SWE,"DF,MF",30-159,1994,0.7,3,0,3,0,0,1,1,100.0,0,1,0,1,2,5,4,0
ENG-Premier League,2425,Newcastle Utd,Alexander Isak,SWE,FW,25-093,1999,13.3,5,3,0,2,3,3,7,42.9,4,10,1,9,1,6,5,1
ENG-Premier League,2425,Newcastle Utd,Anthony Gordon,ENG,FW,23-303,2001,14.1,18,9,7,9,2,6,17,35.3,11,19,1,18,5,23,3,1
ENG-Premier League,2425,Newcastle Utd,Bruno Guimarães,BRA,MF,27-037,1997,16.4,37,21,18,14,5,16,29,55.2,13,15,5,10,15,52,14,2
ENG-Premier League,2425,Newcastle Utd,Callum Wilson,ENG,"FW,MF",32-300,1992,0.7,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
ENG-Premier League,2425,Newcastle Utd,Dan Burn,ENG,DF,32-228,1992,16.0,17,11,11,6,0,11,20,55.0,9,15,11,4,11,28,70,1
ENG-Premier League,2425,Newcastle Utd,Emil Krafth,SWE,DF,30-143,1994,2.7,2,1,0,1,1,1,2,50.0,1,5,4,1,2,4,10,0
ENG-Premier League,2425,Newcastle Utd,Fabian Schär,SUI,DF,33-003,1991,14.3,13,8,4,9,0,3,12,25.0,9,20,12,8,21,34,51,0
ENG-Premier League,2425,Newcastle Utd,Harvey Barnes,ENG,FW,27-014,1997,8.3,9,5,3,4,2,3,5,60.0,2,4,1,3,4,13,5,1
ENG-Premier League,2425,Newcastle Utd,Jacob Murphy,ENG,FW,29-303,1995,8.6,10,7,4,4,2,7,12,58.3,5,14,0,14,3,13,6,0
ENG-Premier League,2425,Newcastle Utd,Joe Willock,ENG,"MF,FW",25-125,1999,5.8,13,9,5,5,3,9,14,64.3,5,11,1,10,3,16,5,0
ENG-Premier League,2425,Newcastle Utd,Joelinton,BRA,"MF,FW",28-131,1996,14.7,33,19,13,13,7,13,24,54.2,11,22,3,19,12,45,26,1
ENG-Premier League,2425,Newcastle Utd,Kieran Trippier,ENG,DF,34-095,1990,3.9,12,7,5,5,2,6,15,40.0,9,2,1,1,2,14,7,0
ENG-Premier League,2425,Newcastle Utd,Lewis Hall,ENG,DF,20-106,2004,14.6,31,22,10,13,8,21,44,47.7,23,23,13,10,14,45,52,2
ENG-Premier League,2425,Newcastle Utd,Lewis Miley,ENG,MF,18-236,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Newcastle Utd,Lloyd Kelly,ENG,DF,26-078,1998,3.3,5,4,4,1,0,1,1,100.0,0,6,4,2,1,6,16,0
ENG-Premier League,2425,Newcastle Utd,Martin Dúbravka,SVK,GK,35-343,1989,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Newcastle Utd,Miguel Almirón,PAR,FW,30-317,1994,1.6,2,1,2,0,0,1,2,50.0,1,1,0,1,0,2,0,0
ENG-Premier League,2425,Newcastle Utd,Nick Pope,ENG,GK,32-248,1992,15.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,16,4
ENG-Premier League,2425,Newcastle Utd,Sandro Tonali,ITA,MF,24-229,2000,9.2,18,12,7,11,0,8,15,53.3,7,12,5,7,17,35,11,1
ENG-Premier League,2425,Newcastle Utd,Sean Longstaff,ENG,MF,27-054,1997,7.9,27,16,10,9,8,18,26,69.2,8,13,2,11,5,32,4,0
ENG-Premier League,2425,Newcastle Utd,Valentino Livramento,ENG,DF,22-041,2002,13.3,21,14,15,5,1,15,24,62.5,9,17,6,11,12,33,48,1
ENG-Premier League,2425,Newcastle Utd,William Osula,DEN,"FW,MF",21-141,2003,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Nott'ham Forest,Anthony Elanga,SWE,"FW,MF",22-240,2002,9.8,8,5,4,3,1,2,6,33.3,4,4,0,4,4,12,16,0
ENG-Premier League,2425,Nott'ham Forest,Callum Hudson-Odoi,ENG,"FW,MF",24-046,2000,13.7,13,8,4,6,3,6,9,66.7,3,4,0,4,9,22,4,1
ENG-Premier League,2425,Nott'ham Forest,Chris Wood,NZL,FW,33-016,1991,14.7,1,1,0,0,1,1,5,20.0,4,5,3,2,4,5,12,0
ENG-Premier League,2425,Nott'ham Forest,Danilo,BRA,MF,23-238,2001,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Nott'ham Forest,Elliot Anderson,ENG,"MF,FW",22-047,2002,10.8,38,28,21,11,6,18,34,52.9,16,21,4,17,9,47,22,1
ENG-Premier League,2425,Nott'ham Forest,Eric da Silva Moreira,GER,"MF,DF",18-234,2006,0.3,2,2,2,0,0,2,6,33.3,4,0,0,0,1,3,0,0
ENG-Premier League,2425,Nott'ham Forest,Harry Toffolo,ENG,DF,29-126,1995,0.4,2,0,1,0,1,0,0,,0,0,0,0,1,3,3,0
ENG-Premier League,2425,Nott'ham Forest,Ibrahim Sangaré,CIV,MF,27-021,1997,2.4,15,9,5,10,0,4,8,50.0,4,4,0,4,2,17,2,0
ENG-Premier League,2425,Nott'ham Forest,James Ward-Prowse,ENG,MF,30-052,1994,4.2,4,1,1,3,0,2,2,100.0,0,3,2,1,5,9,6,0
ENG-Premier League,2425,Nott'ham Forest,Jota Silva,POR,"FW,MF",25-144,1999,5.8,11,5,5,5,1,2,14,14.3,12,4,0,4,10,21,9,0
ENG-Premier League,2425,Nott'ham Forest,Matz Sels,BEL,GK,32-301,1992,17.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,12,0
ENG-Premier League,2425,Nott'ham Forest,Morato,BRA,DF,23-176,2001,2.9,7,5,5,1,1,2,3,66.7,1,5,3,2,5,12,27,2
ENG-Premier League,2425,Nott'ham Forest,Morgan Gibbs-White,ENG,MF,24-331,2000,11.2,23,8,10,10,3,7,11,63.6,4,4,2,2,8,31,11,0
ENG-Premier League,2425,Nott'ham Forest,Murillo,BRA,DF,22-172,2002,16.7,21,12,15,5,1,12,23,52.2,11,31,22,9,13,34,102,1
ENG-Premier League,2425,Nott'ham Forest,Neco Williams,WAL,DF,23-254,2001,8.2,24,14,20,4,0,13,24,54.2,11,12,2,10,5,29,34,0
ENG-Premier League,2425,Nott'ham Forest,Nicolás Domínguez,ARG,"MF,FW",26-178,1998,9.0,29,13,13,11,5,14,29,48.3,15,17,4,13,16,45,15,0
ENG-Premier League,2425,Nott'ham Forest,Nikola Milenković,SRB,DF,27-072,1997,16.0,17,13,11,6,0,5,6,83.3,1,23,12,11,15,32,67,0
ENG-Premier League,2425,Nott'ham Forest,Ola Aina,NGA,DF,28-076,1996,16.3,36,25,27,8,1,23,35,65.7,12,17,5,12,23,59,45,1
ENG-Premier League,2425,Nott'ham Forest,Ramón Sosa,PAR,"FW,MF",25-114,1999,1.7,3,2,2,0,1,1,2,50.0,1,3,0,3,2,5,2,0
ENG-Premier League,2425,Nott'ham Forest,Ryan Yates,ENG,MF,27-032,1997,13.5,28,15,17,8,3,10,19,52.6,9,18,1,17,18,46,36,1
ENG-Premier League,2425,Nott'ham Forest,Taiwo Awoniyi,NGA,FW,27-133,1997,2.3,3,1,0,2,1,2,2,100.0,0,1,0,1,0,3,3,0
ENG-Premier League,2425,Nott'ham Forest,Willy Boly,CIV,DF,33-324,1991,1.0,5,1,4,1,0,4,4,100.0,0,3,1,2,1,6,11,0
ENG-Premier League,2425,Nott'ham Forest,Álex Moreno,ESP,DF,31-198,1993,8.8,24,18,19,5,0,14,34,41.2,20,9,4,5,14,38,32,0
ENG-Premier League,2425,Southampton,Aaron Ramsdale,ENG,GK,26-223,1998,10.0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,7,2
ENG-Premier League,2425,Southampton,Adam Armstrong,ENG,"FW,MF",27-317,1997,10.5,11,2,1,7,3,3,12,25.0,9,4,1,3,3,14,6,0
ENG-Premier League,2425,Southampton,Adam Lallana,ENG,MF,36-227,1988,3.5,6,5,3,3,0,2,8,25.0,6,4,1,3,4,10,5,0
ENG-Premier League,2425,Southampton,Alex McCarthy,ENG,GK,35-020,1989,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,4
ENG-Premier League,2425,Southampton,Ben Brereton,CHI,FW,25-249,1999,5.0,3,2,0,2,1,1,9,11.1,8,2,1,1,0,3,4,0
ENG-Premier League,2425,Southampton,Cameron Archer,ENG,FW,23-155,2001,10.0,8,5,4,2,2,1,4,25.0,3,5,1,4,2,10,5,0
ENG-Premier League,2425,Southampton,Carlos Alcaraz,ARG,MF,22-023,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
ENG-Premier League,2425,Southampton,Charlie Taylor,ENG,DF,31-096,1993,2.5,7,5,4,3,0,5,6,83.3,1,5,3,2,3,10,21,1
ENG-Premier League,2425,Southampton,Flynn Downes,ENG,MF,25-338,1999,14.5,32,17,16,14,2,10,26,38.5,16,17,4,13,20,52,26,3
ENG-Premier League,2425,Southampton,Jack Stephens,ENG,DF,30-331,1994,8.8,15,10,12,3,0,6,16,37.5,10,8,6,2,5,20,32,2
ENG-Premier League,2425,Southampton,James Bree,ENG,DF,27-073,1997,1.6,4,2,1,3,0,2,3,66.7,1,2,1,1,2,6,6,0
ENG-Premier League,2425,Southampton,Jan Bednarek,POL,DF,28-255,1996,12.9,9,4,7,2,0,4,11,36.4,7,21,18,3,22,31,70,2
ENG-Premier League,2425,Southampton,Joe Aribo,NGA,MF,28-155,1996,10.7,20,14,6,9,5,9,19,47.4,10,11,6,5,10,30,14,1
ENG-Premier League,2425,Southampton,Joe Lumley,ENG,GK,29-312,1995,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,3
ENG-Premier League,2425,Southampton,Kamaldeen Sulemana,GHA,"FW,MF",22-312,2002,0.7,4,4,2,1,1,3,4,75.0,1,1,0,1,2,6,1,0
ENG-Premier League,2425,Southampton,Kyle Walker-Peters,ENG,DF,27-254,1997,14.9,20,13,12,5,3,9,19,47.4,10,15,7,8,11,31,43,0
ENG-Premier League,2425,Southampton,Lesley Ugochukwu,FRA,MF,20-272,2004,2.7,5,2,0,4,1,0,6,0.0,6,7,2,5,2,7,2,0
ENG-Premier League,2425,Southampton,Mateus Fernandes,POR,MF,20-166,2004,13.7,39,23,20,12,7,12,30,40.0,18,17,1,16,8,47,18,2
ENG-Premier League,2425,Southampton,Maxwel Cornet,CIV,FW,28-087,1996,0.8,5,5,1,4,0,0,4,0.0,4,0,0,0,0,5,2,0
ENG-Premier League,2425,Southampton,Nathan Wood-Gordon,ENG,DF,22-206,2002,3.8,6,4,5,1,0,3,5,60.0,2,5,4,1,2,8,14,1
ENG-Premier League,2425,Southampton,Paul Onuachu,NGA,FW,30-209,1994,1.3,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0
ENG-Premier League,2425,Southampton,Ronnie Edwards,ENG,DF,21-270,2003,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
ENG-Premier League,2425,Southampton,Ross Stewart,SCO,"FW,MF",28-165,1996,1.5,0,0,0,0,0,0,3,0.0,3,3,0,3,0,0,4,0
ENG-Premier League,2425,Southampton,Ryan Fraser,SCO,"FW,DF",30-303,1994,3.4,6,2,2,4,0,4,6,66.7,2,1,1,0,1,7,9,0
ENG-Premier League,2425,Southampton,Ryan Manning,IRL,DF,28-192,1996,7.3,15,10,7,6,2,8,14,57.1,6,11,7,4,8,23,13,0
ENG-Premier League,2425,Southampton,Samuel Amo-Ameyaw,ENG,"FW,DF",18-158,2006,0.3,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
ENG-Premier League,2425,Southampton,Samuel Edozie,ENG,"DF,FW",21-330,2003,0.7,3,1,0,1,2,2,2,100.0,0,0,0,0,0,3,0,0
ENG-Premier League,2425,Southampton,Taylor Harwood-Bellis,ENG,DF,22-328,2002,14.6,11,7,6,4,1,8,12,66.7,4,35,23,12,17,28,62,3
ENG-Premier League,2425,Southampton,Tyler Dibling,ENG,"FW,MF",18-286,2006,10.8,19,13,7,10,2,9,15,60.0,6,8,2,6,4,23,6,0
ENG-Premier League,2425,Southampton,William Smallbone,IRL,MF,24-306,2000,2.7,7,3,3,3,1,3,5,60.0,2,3,0,3,0,7,2,1
ENG-Premier League,2425,Southampton,Yukinari Sugawara,JPN,DF,24-178,2000,9.7,21,12,11,9,1,12,19,63.2,7,12,5,7,6,27,27,2
ENG-Premier League,2425,Tottenham,Alfie Dorrington,ENG,DF,19-247,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Tottenham,Archie Gray,ENG,"DF,MF",18-286,2006,3.7,7,2,1,3,3,2,6,33.3,4,8,4,4,4,11,7,0
ENG-Premier League,2425,Tottenham,Ben Davies,WAL,DF,31-243,1993,3.0,1,0,0,1,0,1,4,25.0,3,6,5,1,5,6,18,0
ENG-Premier League,2425,Tottenham,Brennan Johnson,WAL,FW,23-214,2001,13.4,26,16,4,14,8,11,22,50.0,11,13,2,11,3,29,8,0
ENG-Premier League,2425,Tottenham,Cristian Romero,ARG,DF,26-240,1998,10.8,27,23,22,5,0,15,22,68.2,7,13,3,10,13,40,32,0
ENG-Premier League,2425,Tottenham,Dejan Kulusevski,SWE,"MF,FW",24-242,2000,14.7,18,10,5,5,8,6,21,28.6,15,17,3,14,8,26,8,0
ENG-Premier League,2425,Tottenham,Destiny Udogie,ITA,DF,22-025,2002,14.5,44,28,25,12,7,23,34,67.6,11,24,2,22,16,60,25,1
ENG-Premier League,2425,Tottenham,Djed Spence,ENG,DF,24-136,2000,2.6,10,9,6,3,1,6,6,100.0,0,4,3,1,4,14,10,0
ENG-Premier League,2425,Tottenham,Dominic Solanke,ENG,FW,27-100,1997,13.8,11,7,1,8,2,2,6,33.3,4,8,2,6,0,11,18,0
ENG-Premier League,2425,Tottenham,Fraser Forster,ENG,GK,36-281,1988,5.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,2
ENG-Premier League,2425,Tottenham,Guglielmo Vicario,ITA,GK,28-077,1996,12.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,2
ENG-Premier League,2425,Tottenham,James Maddison,ENG,MF,28-030,1996,12.0,18,11,5,9,4,8,21,38.1,13,8,3,5,10,28,15,0
ENG-Premier League,2425,Tottenham,Lucas Bergvall,SWE,MF,18-325,2006,2.3,9,5,2,5,2,6,9,66.7,3,1,1,0,5,14,3,0
ENG-Premier League,2425,Tottenham,Micky van de Ven,NED,DF,23-248,2001,8.8,8,5,3,4,1,6,11,54.5,5,8,5,3,9,17,29,1
ENG-Premier League,2425,Tottenham,Mikey Moore,ENG,FW,17-134,2007,0.9,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
ENG-Premier League,2425,Tottenham,Pape Matar Sarr,SEN,MF,22-100,2002,10.1,29,21,11,16,2,6,13,46.2,7,15,3,12,16,45,11,0
ENG-Premier League,2425,Tottenham,Pedro Porro,ESP,DF,25-101,1999,16.0,31,22,11,13,7,20,37,54.1,17,25,9,16,18,49,40,1
ENG-Premier League,2425,Tottenham,Radu Drăgușin,ROU,DF,22-324,2002,9.0,9,5,7,2,0,6,10,60.0,4,13,9,4,12,21,34,4
ENG-Premier League,2425,Tottenham,Richarlison,BRA,FW,27-227,1997,1.0,1,1,0,0,1,0,0,,0,0,0,0,0,1,2,0
ENG-Premier League,2425,Tottenham,Rodrigo Bentancur,URU,MF,27-181,1997,5.9,19,9,9,9,1,11,16,68.8,5,5,0,5,16,35,5,0
ENG-Premier League,2425,Tottenham,Son Heung-min,KOR,FW,32-168,1992,11.8,6,3,1,4,1,2,13,15.4,11,5,0,5,3,9,8,0
ENG-Premier League,2425,Tottenham,Timo Werner,GER,"FW,MF",28-292,1996,4.5,3,2,2,1,0,2,10,20.0,8,10,1,9,1,4,6,0
ENG-Premier League,2425,Tottenham,Will Lankshear,ENG,FW,19-247,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Tottenham,Wilson Odobert,FRA,FW,20-025,2004,1.8,5,2,2,2,1,4,6,66.7,2,1,0,1,0,5,1,1
ENG-Premier League,2425,Tottenham,Yves Bissouma,MLI,MF,28-115,1996,9.2,30,19,13,15,2,15,24,62.5,9,5,2,3,11,41,20,2
ENG-Premier League,2425,West Ham,Aaron Cresswell,ENG,DF,35-008,1989,0.4,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,3,0
ENG-Premier League,2425,West Ham,Aaron Wan-Bissaka,ENG,DF,27-027,1997,15.0,30,22,15,13,2,11,14,78.6,3,13,5,8,27,57,49,0
ENG-Premier League,2425,West Ham,Alphonse Areola,FRA,GK,31-300,1993,7.5,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,5,0
ENG-Premier League,2425,West Ham,Andy Irving,SCO,MF,24-224,2000,0.6,4,3,1,2,1,1,4,25.0,3,1,0,1,0,4,2,0
ENG-Premier League,2425,West Ham,Carlos Soler,ESP,MF,27-356,1997,6.7,6,6,3,3,0,2,13,15.4,11,11,3,8,2,8,6,0
ENG-Premier League,2425,West Ham,Crysencio Summerville,NED,"FW,MF",23-054,2001,7.1,13,7,2,8,3,3,8,37.5,5,10,4,6,0,13,7,0
ENG-Premier League,2425,West Ham,Danny Ings,ENG,FW,32-153,1992,2.0,2,1,2,0,0,1,2,50.0,1,0,0,0,1,3,2,0
ENG-Premier League,2425,West Ham,Edson Álvarez,MEX,MF,27-060,1997,8.8,20,10,11,5,4,11,16,68.8,5,12,5,7,11,31,22,0
ENG-Premier League,2425,West Ham,Emerson Palmieri,ITA,DF,30-142,1994,13.1,38,21,24,12,2,14,25,56.0,11,18,4,14,12,50,31,0
ENG-Premier League,2425,West Ham,Guido Rodríguez,ARG,MF,30-255,1994,9.2,26,13,17,9,0,11,26,42.3,15,15,7,8,10,36,22,1
ENG-Premier League,2425,West Ham,James Ward-Prowse,ENG,MF,30-052,1994,0.2,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0
ENG-Premier League,2425,West Ham,Jarrod Bowen,ENG,"FW,MF",28-003,1996,16.7,25,15,8,6,11,11,26,42.3,15,11,2,9,11,36,17,0
ENG-Premier League,2425,West Ham,Jean-Clair Todibo,FRA,DF,24-359,1999,7.7,16,11,13,3,0,10,12,83.3,2,14,7,7,8,24,40,3
ENG-Premier League,2425,West Ham,Kaelan Casey,ENG,DF,20-056,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2425,West Ham,Konstantinos Mavropanos,GRE,DF,27-012,1997,11.1,21,15,16,4,1,11,15,73.3,4,16,12,4,20,41,50,1
ENG-Premier League,2425,West Ham,Lucas Paquetá,BRA,MF,27-118,1997,13.3,30,18,16,12,2,10,25,40.0,15,20,2,18,9,39,22,3
ENG-Premier League,2425,West Ham,Luis Guilherme,BRA,MF,18-318,2006,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
ENG-Premier League,2425,West Ham,Max Kilman,ENG,DF,27-214,1997,17.0,16,7,7,7,2,11,15,73.3,4,30,20,10,23,39,93,3
ENG-Premier League,2425,West Ham,Michail Antonio,JAM,FW,34-270,1990,9.3,2,2,0,1,1,2,3,66.7,1,6,0,6,0,2,2,0
ENG-Premier League,2425,West Ham,Mohammed Kudus,GHA,"MF,FW",24-143,2000,11.0,18,13,5,9,4,5,14,35.7,9,14,1,13,1,19,1,0
ENG-Premier League,2425,West Ham,Niclas Füllkrug,GER,FW,31-318,1993,1.9,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,3,0
ENG-Premier League,2425,West Ham,Oliver Scarles,ENG,DF,19-011,2005,0.4,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0
ENG-Premier League,2425,West Ham,Tomáš Souček,CZE,MF,29-300,1995,12.9,19,11,7,10,2,10,19,52.6,9,14,6,8,11,30,40,0
ENG-Premier League,2425,West Ham,Vladimír Coufal,CZE,DF,32-123,1992,4.9,6,4,4,2,0,2,9,22.2,7,6,5,1,2,8,15,1
ENG-Premier League,2425,West Ham,Łukasz Fabiański,POL,GK,39-249,1985,9.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0
ENG-Premier League,2425,Wolves,Alfie Pond,ENG,DF,20-297,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Wolves,André,BRA,MF,23-160,2001,9.1,33,24,16,12,5,17,24,70.8,7,21,5,16,6,39,15,1
ENG-Premier League,2425,Wolves,Carlos Forbs,POR,"MF,FW",20-279,2004,2.3,7,5,4,2,1,4,5,80.0,1,3,0,3,1,8,2,1
ENG-Premier League,2425,Wolves,Chiquinho,POR,MF,24-322,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Wolves,Craig Dawson,ENG,DF,34-231,1990,9.9,14,3,8,5,1,11,14,78.6,3,14,11,3,9,23,48,1
ENG-Premier League,2425,Wolves,Daniel Podence,POR,"MF,FW",29-063,1995,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
ENG-Premier League,2425,Wolves,Gonçalo Guedes,POR,"FW,MF",28-024,1996,3.8,11,3,1,3,7,2,8,25.0,6,7,0,7,2,13,2,0
ENG-Premier League,2425,Wolves,Hwang Hee-chan,KOR,"MF,FW",28-332,1996,3.7,3,2,1,1,1,1,2,50.0,1,7,0,7,1,4,3,0
ENG-Premier League,2425,Wolves,Jean-Ricner Bellegarde,FRA,"MF,FW",26-179,1998,8.1,10,6,4,4,2,4,6,66.7,2,9,2,7,6,16,7,0
ENG-Premier League,2425,Wolves,José Sá,POR,GK,31-341,1993,10.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,5,1
ENG-Premier League,2425,Wolves,João Gomes,BRA,MF,23-315,2001,15.1,52,26,29,22,1,14,45,31.1,31,14,1,13,12,64,14,0
ENG-Premier League,2425,Wolves,Jørgen Strand Larsen,NOR,FW,24-321,2000,15.5,4,4,1,2,1,1,18,5.6,17,14,3,11,4,8,16,0
ENG-Premier League,2425,Wolves,Mario Lemina,GAB,"MF,DF",31-113,1993,14.8,49,30,27,18,4,19,28,67.9,9,12,7,5,27,76,49,3
ENG-Premier League,2425,Wolves,Matheus Cunha,BRA,"MF,FW",25-210,1999,15.8,20,12,7,11,2,7,22,31.8,15,13,0,13,11,31,17,0
ENG-Premier League,2425,Wolves,Matt Doherty,IRL,DF,32-342,1992,5.9,11,7,7,4,0,4,6,66.7,2,7,3,4,5,16,16,0
ENG-Premier League,2425,Wolves,Nélson Semedo,POR,DF,31-037,1993,13.6,34,19,23,6,5,17,32,53.1,15,17,6,11,7,41,61,1
ENG-Premier League,2425,Wolves,Pablo Sarabia,ESP,"MF,FW",32-226,1992,2.0,5,3,2,2,1,3,5,60.0,2,3,0,3,2,7,2,1
ENG-Premier League,2425,Wolves,Rayan Aït-Nouri,ALG,DF,23-200,2001,15.2,40,25,28,9,3,19,30,63.3,11,20,4,16,13,53,38,1
ENG-Premier League,2425,Wolves,Rodrigo Gomes,POR,"DF,FW",21-169,2003,3.9,10,5,7,3,0,3,9,33.3,6,5,1,4,3,13,7,1
ENG-Premier League,2425,Wolves,Sam Johnstone,ENG,GK,31-273,1993,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0
ENG-Premier League,2425,Wolves,Santiago Bueno,URU,DF,26-044,1998,8.8,13,7,9,4,0,8,11,72.7,3,16,10,6,4,17,25,0
ENG-Premier League,2425,Wolves,Tommy Doyle,ENG,MF,23-067,2001,3.8,7,3,2,3,2,3,9,33.3,6,5,2,3,3,10,6,0
ENG-Premier League,2425,Wolves,Toti Gomes,POR,DF,25-342,1999,13.0,26,19,18,7,1,12,15,80.0,3,13,9,4,6,32,60,2
ENG-Premier League,2425,Wolves,Yerson Mosquera,COL,DF,23-235,2001,4.9,11,7,9,2,0,9,14,64.3,5,13,10,3,10,21,14,0
