,,,,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,27-076,1997,7.7,8,1.04,8,0,0,0,0,0,1,0.13,1,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",23-109,2001,14.1,89,6.32,52,17,9,8,3,0,21,1.49,12,5,2,1,1,0
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,29-099,1995,17.0,2,0.12,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25-344,1999,13.3,45,3.39,24,16,2,2,1,0,4,0.3,1,2,0,1,0,0
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"MF,FW",17-277,2007,1.3,4,3.05,2,1,1,0,0,0,1,0.76,1,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27-264,1997,4.0,14,3.51,7,0,1,4,1,1,3,0.75,1,0,0,2,0,0
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,27-004,1997,14.1,17,1.21,13,0,0,3,1,0,2,0.14,0,0,0,1,1,0
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23-188,2001,10.5,27,2.57,22,1,3,1,0,0,2,0.19,2,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24-312,2000,3.6,1,0.28,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,33-003,1991,4.4,6,1.37,5,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23-189,2001,13.5,28,2.07,25,0,2,0,1,0,3,0.22,3,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25-195,1999,15.4,37,2.4,30,0,1,6,0,0,2,0.13,1,0,0,1,0,0
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,30-019,1994,10.2,35,3.43,29,1,2,1,1,1,2,0.2,2,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,26-006,1998,9.1,46,5.09,41,2,2,1,0,0,8,0.88,8,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,MF,28-184,1996,5.3,11,2.06,9,0,0,1,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18-088,2006,1.6,2,1.28,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",28-008,1996,2.6,6,2.27,5,0,0,1,0,0,1,0.38,1,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,"MF,FW",30-015,1994,1.6,7,4.26,5,0,2,0,0,0,1,0.61,1,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,FW,25-013,1999,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,22-218,2002,6.0,6,1.0,5,0,0,1,0,0,1,0.17,1,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26-048,1998,0.1,1,12.86,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31-193,1993,14.5,22,1.51,17,2,0,1,1,1,7,0.48,4,2,0,0,1,0
ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,23-274,2001,15.3,11,0.72,10,0,0,0,0,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,23-129,2001,9.0,14,1.55,9,1,0,4,0,0,2,0.22,1,0,0,1,0,0
ENG-Premier League,2425,Aston Villa,Boubacar Kamara,FRA,MF,25-030,1999,4.8,4,0.83,3,0,0,0,0,1,1,0.21,1,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Diego Carlos,BRA,DF,31-283,1993,8.2,3,0.36,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Emi Buendía,ARG,"MF,FW",27-364,1996,0.5,2,4.09,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,32-112,1992,16.5,3,0.18,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Ezri Konsa,ENG,DF,27-061,1997,14.1,10,0.71,7,1,1,1,0,0,2,0.14,2,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Ian Maatsen,NED,DF,22-288,2002,3.2,22,6.8,16,2,1,2,0,1,4,1.24,4,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23-209,2001,7.0,27,3.84,20,0,4,1,2,0,3,0.43,3,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",22-319,2002,3.7,5,1.36,3,0,0,0,1,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Jhon Durán,COL,FW,21-010,2003,6.3,15,2.36,7,0,0,4,2,2,1,0.16,0,0,0,0,0,1
ENG-Premier League,2425,Aston Villa,John McGinn,SCO,"FW,MF",30-066,1994,11.9,39,3.29,31,3,0,3,1,1,4,0.34,4,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,19-007,2005,1.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,NED,DF,20-353,2004,2.4,7,2.96,5,1,0,0,0,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Leon Bailey,JAM,"FW,MF",27-136,1997,8.1,19,2.34,13,1,2,1,2,0,3,0.37,3,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31-156,1993,13.9,36,2.58,21,11,0,3,0,1,3,0.22,3,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Matty Cash,POL,"DF,FW",27-138,1997,9.2,7,0.76,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Morgan Rogers,ENG,"MF,FW",22-150,2002,15.6,54,3.47,41,0,5,6,2,0,6,0.39,6,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,28-359,1995,12.6,30,2.37,18,0,3,5,4,0,5,0.4,2,0,1,1,1,0
ENG-Premier League,2425,Aston Villa,Pau Torres,ESP,DF,27-342,1997,16.0,11,0.69,8,0,0,3,0,0,2,0.12,1,0,0,1,0,0
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34-350,1990,0.5,1,2.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Ross Barkley,ENG,MF,31-018,1993,5.0,13,2.61,12,1,0,0,0,0,3,0.6,3,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Tyrone Mings,ENG,DF,31-285,1993,1.0,1,1.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Youri Tielemans,BEL,MF,27-230,1997,16.3,64,3.93,37,23,0,2,1,1,7,0.43,4,3,0,0,0,0
ENG-Premier League,2425,Bournemouth,Adam Smith,ENG,DF,33-238,1991,11.5,12,1.04,8,1,1,0,1,1,1,0.09,0,0,0,0,1,0
ENG-Premier League,2425,Bournemouth,Alex Scott,ENG,MF,21-124,2003,2.9,11,3.75,8,0,0,0,1,2,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Antoine Semenyo,GHA,FW,24-351,2000,15.4,58,3.77,39,0,8,7,3,1,4,0.26,2,0,1,0,1,0
ENG-Premier League,2425,Bournemouth,Dango Ouattara,BFA,"FW,DF",22-316,2002,7.8,26,3.33,23,0,0,3,0,0,3,0.38,2,0,0,1,0,0
ENG-Premier League,2425,Bournemouth,Daniel Jebbison,ENG,FW,21-132,2003,0.3,2,6.43,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,David Brooks,WAL,"FW,MF",27-168,1997,2.0,12,6.17,10,0,1,1,0,0,1,0.51,0,0,0,1,0,0
ENG-Premier League,2425,Bournemouth,Dean Huijsen,ESP,DF,19-253,2005,6.8,15,2.2,14,0,0,1,0,0,1,0.15,1,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Enes Ünal,TUR,"FW,MF",27-227,1997,2.7,6,2.21,3,0,0,2,1,0,2,0.74,1,0,0,0,1,0
ENG-Premier League,2425,Bournemouth,Evanilson,BRA,FW,25-078,1999,13.1,38,2.9,21,0,3,6,8,0,7,0.53,1,0,1,1,4,0
ENG-Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,DF,22-113,2002,17.0,18,1.06,16,1,0,0,0,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,James Hill,ENG,MF,22-348,2002,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Julian Araujo,MEX,DF,23-132,2001,3.9,2,0.51,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Justin Kluivert,NED,"MF,FW",25-232,1999,11.7,39,3.32,35,0,2,0,1,1,6,0.51,5,0,0,0,1,0
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30-081,1994,12.0,3,0.25,1,2,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Lewis Cook,ENG,"MF,DF",27-324,1997,14.6,45,3.09,34,10,0,1,0,0,4,0.27,2,1,0,1,0,0
ENG-Premier League,2425,Bournemouth,Luis Sinisterra,COL,"FW,MF",25-189,1999,2.3,13,5.57,10,0,1,2,0,0,1,0.43,1,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Marcos Senesi,ARG,DF,27-227,1997,10.2,16,1.57,16,0,0,0,0,0,1,0.1,1,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Marcus Tavernier,ENG,"FW,MF",25-276,1999,12.7,61,4.82,43,10,3,2,3,0,8,0.63,4,3,0,0,1,0
ENG-Premier League,2425,Bournemouth,Mark Travers,IRL,GK,25-219,1999,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Max Aarons,ENG,DF,24-354,2000,0.2,2,11.25,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Milos Kerkez,HUN,DF,21-046,2003,16.2,41,2.53,36,1,1,1,0,2,4,0.25,3,0,1,0,0,0
ENG-Premier League,2425,Bournemouth,Neto,BRA,GK,35-157,1989,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Philip Billing,DEN,MF,28-195,1996,0.9,12,12.86,9,0,0,1,0,2,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Ryan Christie,SCO,MF,29-305,1995,12.6,50,3.97,40,4,0,3,2,1,3,0.24,2,1,0,0,0,0
ENG-Premier League,2425,Bournemouth,Tyler Adams,USA,MF,25-313,1999,5.1,12,2.37,9,0,0,0,0,3,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Ben Mee,ENG,DF,35-093,1989,1.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Bryan Mbeumo,CMR,FW,25-138,1999,16.9,61,3.6,43,10,6,1,1,0,8,0.47,6,0,2,0,0,0
ENG-Premier League,2425,Brentford,Christian Nørgaard,DEN,MF,30-288,1994,12.8,21,1.64,16,0,0,3,2,0,7,0.55,6,0,0,0,1,0
ENG-Premier League,2425,Brentford,Edmond-Paris Maghoma,ENG,MF,23-229,2001,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Ethan Pinnock,JAM,DF,31-208,1993,16.0,19,1.19,12,4,0,2,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Fabio Carvalho,POR,"FW,MF",22-115,2002,4.8,9,1.88,6,0,1,2,0,0,1,0.21,1,0,0,0,0,0
ENG-Premier League,2425,Brentford,Frank Onyeka,NGA,MF,26-357,1998,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Jayden Meghoma,ENG,DF,18-178,2006,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,FW",23-305,2001,14.3,28,1.96,19,0,3,1,4,1,5,0.35,4,0,0,0,1,0
ENG-Premier League,2425,Brentford,Kevin Schade,GER,FW,23-026,2001,8.4,14,1.66,6,0,2,3,2,1,4,0.47,2,0,0,2,0,0
ENG-Premier League,2425,Brentford,Kristoffer Ajer,NOR,DF,26-250,1998,8.0,9,1.13,9,0,0,0,0,0,2,0.25,2,0,0,0,0,0
ENG-Premier League,2425,Brentford,Mads Roerslev,DEN,DF,25-182,1999,6.3,13,2.07,12,0,1,0,0,0,1,0.16,1,0,0,0,0,0
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31-193,1993,17.0,2,0.12,0,2,0,0,0,0,1,0.06,0,1,0,0,0,0
ENG-Premier League,2425,Brentford,Mathias Jensen,DEN,MF,28-357,1996,5.3,21,3.95,14,6,1,0,0,0,3,0.56,1,1,1,0,0,0
ENG-Premier League,2425,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24-173,2000,13.2,45,3.41,31,7,2,2,1,2,10,0.76,7,2,0,0,1,0
ENG-Premier League,2425,Brentford,Nathan Collins,IRL,DF,23-237,2001,17.0,19,1.12,13,2,1,2,1,0,5,0.29,2,1,0,1,1,0
ENG-Premier League,2425,Brentford,Ryan Trevitt,ENG,MF,21-286,2003,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Sepp van den Berg,NED,DF,23-003,2001,13.0,10,0.77,10,0,0,0,0,0,1,0.08,1,0,0,0,0,0
ENG-Premier League,2425,Brentford,Thiago,BRA,FW,23-180,2001,1.5,2,1.36,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Vitaly Janelt,GER,MF,26-227,1998,13.6,18,1.33,17,1,0,0,0,0,3,0.22,3,0,0,0,0,0
ENG-Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,20-297,2004,4.4,8,1.82,7,0,1,0,0,0,2,0.46,2,0,0,0,0,0
ENG-Premier League,2425,Brentford,Yoane Wissa,COD,FW,28-111,1996,11.6,26,2.23,21,0,1,1,3,0,5,0.43,5,0,0,0,0,0
ENG-Premier League,2425,Brentford,Yunus Emre Konak,TUR,"MF,FW",18-348,2006,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,Adam Webster,ENG,DF,29-354,1995,0.9,1,1.14,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,22-127,2002,15.0,2,0.13,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23-195,2001,1.1,3,2.76,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,Brajan Gruda,GER,"MF,FW",20-206,2004,1.7,3,1.75,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,Carlos Baleba,CMR,MF,20-355,2004,11.0,27,2.46,24,0,1,1,0,1,2,0.18,1,0,0,0,0,1
ENG-Premier League,2425,Brighton,Danny Welbeck,ENG,FW,34-027,1990,12.4,29,2.35,19,0,3,1,6,0,4,0.32,4,0,0,0,0,0
ENG-Premier League,2425,Brighton,Evan Ferguson,IRL,FW,20-065,2004,2.5,4,1.59,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",25-077,1999,4.3,13,3.03,11,0,0,0,1,1,2,0.47,2,0,0,0,0,0
ENG-Premier League,2425,Brighton,Georginio Rutter,FRA,"FW,MF",22-247,2002,11.0,37,3.35,20,0,4,7,5,1,4,0.36,2,0,1,1,0,0
ENG-Premier League,2425,Brighton,Igor,BRA,DF,26-320,1998,8.3,9,1.08,8,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,Jack Hinshelwood,ENG,"MF,DF",19-256,2005,9.3,20,2.15,14,4,0,1,1,0,2,0.21,2,0,0,0,0,0
ENG-Premier League,2425,Brighton,Jakub Moder,POL,MF,25-260,1999,0.1,1,18.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,James Milner,ENG,MF,38-354,1986,1.9,8,4.26,5,2,0,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,Jan Paul van Hecke,NED,DF,24-198,2000,13.9,26,1.87,24,0,0,2,0,0,2,0.14,2,0,0,0,0,0
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,34-127,1990,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,Jeremy Sarmiento,ECU,MF,22-190,2002,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,João Pedro,BRA,"MF,FW",23-088,2001,8.5,24,2.81,19,0,2,0,3,0,4,0.47,4,0,0,0,0,0
ENG-Premier League,2425,Brighton,Joël Veltman,NED,DF,32-343,1992,11.4,10,0.88,5,1,1,1,2,0,1,0.09,0,1,0,0,0,0
ENG-Premier League,2425,Brighton,Julio Enciso,PAR,"MF,FW",20-335,2004,1.8,11,6.27,5,1,3,0,2,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",27-217,1997,16.1,59,3.67,48,0,3,3,4,1,6,0.37,5,0,0,0,1,0
ENG-Premier League,2425,Brighton,Lewis Dunk,ENG,DF,33-032,1991,12.0,12,1.0,10,0,0,2,0,0,2,0.17,1,0,0,1,0,0
ENG-Premier League,2425,Brighton,Mats Wieffer,NED,MF,25-037,1999,5.2,13,2.48,13,0,0,0,0,0,2,0.38,2,0,0,0,0,0
ENG-Premier League,2425,Brighton,Matt O'Riley,DEN,MF,24-032,2000,2.5,8,3.27,6,2,0,0,0,0,1,0.41,1,0,0,0,0,0
ENG-Premier League,2425,Brighton,Pervis Estupiñán,ECU,DF,26-337,1998,11.8,32,2.71,21,9,0,2,0,0,3,0.25,3,0,0,0,0,0
ENG-Premier League,2425,Brighton,Simon Adingra,CIV,"FW,MF",22-357,2002,3.9,12,3.09,10,0,1,1,0,0,2,0.52,2,0,0,0,0,0
ENG-Premier League,2425,Brighton,Tariq Lamptey,GHA,DF,24-084,2000,2.9,6,2.08,6,0,0,0,0,0,2,0.69,2,0,0,0,0,0
ENG-Premier League,2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20-154,2004,5.9,20,3.38,9,4,5,1,1,0,4,0.68,1,0,2,1,0,0
ENG-Premier League,2425,Brighton,Yasin Ayari,SWE,MF,21-078,2003,9.2,32,3.46,13,9,3,3,3,1,1,0.11,1,0,0,0,0,0
