,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,27-076,1997,7.7,294,352,83.5,4830,1659,150,164,91.5,123,142,86.6,14,32,43.8,1,0.4,0.4,0.6,3,27,6,1,30
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",23-109,2001,14.1,406,546,74.4,6315,1918,238,265,89.8,119,163,73.0,36,77,46.8,10,5.8,5.6,4.2,42,11,28,9,53
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,29-099,1995,17.0,452,624,72.4,11671,8239,110,112,98.2,228,231,98.7,114,279,40.9,0,0.0,0.0,0.0,0,21,1,0,3
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25-344,1999,13.3,610,733,83.2,10864,2837,289,312,92.6,243,275,88.4,66,121,54.5,3,3.4,2.5,-0.4,24,60,14,1,89
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"MF,FW",17-277,2007,1.3,54,62,87.1,865,280,32,35,91.4,15,16,93.8,6,8,75.0,0,0.2,0.3,-0.2,2,4,2,0,7
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27-264,1997,4.0,89,119,74.8,1127,231,61,75,81.3,21,24,87.5,2,4,50.0,0,0.5,0.2,-0.5,5,7,3,0,11
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,27-004,1997,14.1,788,877,89.9,13854,4066,323,338,95.6,403,431,93.5,53,89,59.6,1,0.5,0.6,0.5,6,63,3,0,59
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23-188,2001,10.5,211,300,70.3,3228,655,126,157,80.3,70,97,72.2,12,22,54.5,2,2.2,2.5,-0.2,17,4,14,8,18
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24-312,2000,3.6,147,175,84.0,2623,792,57,63,90.5,80,88,90.9,9,19,47.4,0,0.1,0.0,-0.1,1,8,0,0,8
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,33-003,1991,4.4,230,264,87.1,3653,789,116,131,88.5,98,105,93.3,11,19,57.9,0,0.2,0.3,-0.2,2,22,8,0,29
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23-189,2001,13.5,522,626,83.4,7601,2219,294,328,89.6,208,249,83.5,12,25,48.0,1,0.6,0.8,0.4,13,44,8,1,60
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25-195,1999,15.4,287,367,78.2,3460,775,200,237,84.4,72,87,82.8,2,8,25.0,2,2.2,1.3,-0.2,13,20,7,1,47
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,30-019,1994,10.2,226,317,71.3,4158,1317,101,128,78.9,94,122,77.0,26,43,60.5,1,2.1,1.2,-1.1,16,17,21,4,43
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,26-006,1998,9.1,403,476,84.7,6135,1699,225,241,93.4,153,176,86.9,16,31,51.6,2,1.7,2.2,0.3,24,44,29,2,91
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,MF,28-184,1996,5.3,161,211,76.3,2372,714,98,111,88.3,53,70,75.7,6,13,46.2,0,0.8,0.5,-0.8,5,17,10,2,22
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18-088,2006,1.6,90,97,92.8,1277,288,56,58,96.6,29,32,90.6,3,3,100.0,0,0.1,0.1,-0.1,1,11,0,0,9
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",28-008,1996,2.6,166,203,81.8,2642,649,92,99,92.9,64,77,83.1,7,17,41.2,0,0.0,0.1,0.0,1,13,1,0,19
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,"MF,FW",30-015,1994,1.6,39,53,73.6,535,118,25,31,80.6,13,18,72.2,1,2,50.0,1,0.2,0.1,0.8,3,1,1,0,6
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,FW,25-013,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,22-218,2002,6.0,256,303,84.5,3927,953,140,154,90.9,98,116,84.5,13,15,86.7,1,0.1,0.5,0.9,3,19,4,1,24
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26-048,1998,0.1,3,4,75.0,42,10,1,1,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31-193,1993,14.5,794,895,88.7,12760,3351,414,439,94.3,318,358,88.8,48,68,70.6,2,1.3,1.0,0.7,9,71,18,1,88
ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,23-274,2001,15.3,1051,1115,94.3,17988,5110,442,457,96.7,551,577,95.5,54,67,80.6,0,0.5,0.7,-0.5,2,71,1,0,53
ENG-Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,23-129,2001,9.0,341,381,89.5,5274,1245,169,178,94.9,146,158,92.4,14,18,77.8,0,0.1,0.2,-0.1,3,23,4,1,24
ENG-Premier League,2425,Aston Villa,Boubacar Kamara,FRA,MF,25-030,1999,4.8,224,241,92.9,3507,980,117,119,98.3,95,104,91.3,9,13,69.2,0,0.1,0.1,-0.1,1,23,2,0,21
ENG-Premier League,2425,Aston Villa,Diego Carlos,BRA,DF,31-283,1993,8.2,476,538,88.5,9850,3775,119,130,91.5,306,325,94.2,50,76,65.8,0,0.0,0.1,0.0,0,22,1,0,34
ENG-Premier League,2425,Aston Villa,Emi Buendía,ARG,"MF,FW",27-364,1996,0.5,31,38,81.6,382,117,21,24,87.5,6,7,85.7,1,4,25.0,0,0.0,0.0,0.0,1,4,0,0,5
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,32-112,1992,16.5,502,609,82.4,13196,7776,78,81,96.3,302,307,98.4,122,219,55.7,0,0.0,0.0,0.0,0,10,0,0,0
ENG-Premier League,2425,Aston Villa,Ezri Konsa,ENG,DF,27-061,1997,14.1,656,715,91.7,11043,3323,272,284,95.8,349,366,95.4,25,44,56.8,0,0.1,0.4,-0.1,2,52,1,0,39
ENG-Premier League,2425,Aston Villa,Ian Maatsen,NED,DF,22-288,2002,3.2,166,205,81.0,2678,767,83,97,85.6,69,80,86.3,10,15,66.7,0,1.1,0.9,-1.1,9,7,7,1,16
ENG-Premier League,2425,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23-209,2001,7.0,223,262,85.1,2863,685,159,173,91.9,52,61,85.2,4,8,50.0,2,1.3,1.2,0.7,8,12,7,0,28
ENG-Premier League,2425,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",22-319,2002,3.7,63,86,73.3,850,161,40,49,81.6,18,21,85.7,2,3,66.7,0,0.3,0.2,-0.3,1,1,3,0,4
ENG-Premier League,2425,Aston Villa,Jhon Durán,COL,FW,21-010,2003,6.3,102,143,71.3,1405,297,58,69,84.1,32,47,68.1,5,11,45.5,0,0.2,0.2,-0.2,4,10,1,0,12
ENG-Premier League,2425,Aston Villa,John McGinn,SCO,"FW,MF",30-066,1994,11.9,264,329,80.2,4681,1442,119,132,90.2,111,137,81.0,31,44,70.5,3,2.4,1.9,0.6,20,24,20,5,51
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,19-007,2005,1.1,31,36,86.1,548,134,16,17,94.1,12,15,80.0,3,4,75.0,0,0.0,0.0,0.0,0,4,0,0,3
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,NED,DF,20-353,2004,2.4,120,138,87.0,1781,639,73,79,92.4,44,48,91.7,2,7,28.6,0,0.1,0.1,-0.1,1,16,1,0,8
ENG-Premier League,2425,Aston Villa,Leon Bailey,JAM,"FW,MF",27-136,1997,8.1,168,241,69.7,2601,670,95,119,79.8,59,72,81.9,10,25,40.0,2,1.3,2.3,0.7,10,8,14,2,21
ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31-156,1993,13.9,518,684,75.7,8518,2668,253,284,89.1,217,275,78.9,36,80,45.0,2,3.0,2.4,-1.0,23,16,19,12,24
ENG-Premier League,2425,Aston Villa,Matty Cash,POL,"DF,FW",27-138,1997,9.2,319,396,80.6,5210,1572,159,175,90.9,138,167,82.6,16,37,43.2,0,0.2,0.6,-0.2,3,18,2,1,18
ENG-Premier League,2425,Aston Villa,Morgan Rogers,ENG,"MF,FW",22-150,2002,15.6,328,431,76.1,4592,1603,187,218,85.8,95,127,74.8,21,27,77.8,3,3.9,2.7,-0.9,26,33,30,0,60
ENG-Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,28-359,1995,12.6,127,167,76.0,1460,246,82,103,79.6,30,34,88.2,2,3,66.7,3,1.6,1.1,1.4,12,7,3,0,12
ENG-Premier League,2425,Aston Villa,Pau Torres,ESP,DF,27-342,1997,16.0,881,1001,88.0,15296,5761,379,404,93.8,437,470,93.0,54,105,51.4,0,0.0,0.3,0.0,1,88,6,0,69
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34-350,1990,0.5,16,21,76.2,358,217,6,6,100.0,8,8,100.0,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Ross Barkley,ENG,MF,31-018,1993,5.0,248,292,84.9,3860,957,129,149,86.6,107,116,92.2,8,12,66.7,1,0.5,0.4,0.5,7,27,5,0,25
ENG-Premier League,2425,Aston Villa,Tyrone Mings,ENG,DF,31-285,1993,1.0,36,40,90.0,645,333,18,21,85.7,15,16,93.8,3,3,100.0,0,0.0,0.0,0.0,0,4,1,0,2
ENG-Premier League,2425,Aston Villa,Youri Tielemans,BEL,MF,27-230,1997,16.3,833,1009,82.6,14451,5214,381,425,89.6,364,409,89.0,76,142,53.5,4,4.2,3.8,-0.2,38,117,19,3,111
ENG-Premier League,2425,Bournemouth,Adam Smith,ENG,DF,33-238,1991,11.5,312,407,76.7,5135,1780,149,171,87.1,137,171,80.1,19,50,38.0,0,0.1,0.1,-0.1,3,31,3,1,31
ENG-Premier League,2425,Bournemouth,Alex Scott,ENG,MF,21-124,2003,2.9,116,132,87.9,2046,749,55,60,91.7,52,55,94.5,9,12,75.0,0,0.2,0.2,-0.2,5,22,4,0,32
ENG-Premier League,2425,Bournemouth,Antoine Semenyo,GHA,FW,24-351,2000,15.4,332,463,71.7,5039,1282,194,231,84.0,112,143,78.3,17,48,35.4,1,2.8,2.2,-1.8,20,28,20,4,42
ENG-Premier League,2425,Bournemouth,Dango Ouattara,BFA,"FW,DF",22-316,2002,7.8,142,245,58.0,2381,733,78,110,70.9,54,84,64.3,10,30,33.3,3,3.8,1.6,-0.8,15,3,8,4,15
ENG-Premier League,2425,Bournemouth,Daniel Jebbison,ENG,FW,21-132,2003,0.3,3,5,60.0,38,6,3,4,75.0,0,0,,0,0,,0,0.0,0.0,0.0,1,1,0,0,0
ENG-Premier League,2425,Bournemouth,David Brooks,WAL,"FW,MF",27-168,1997,2.0,59,89,66.3,1013,259,27,35,77.1,28,36,77.8,3,10,30.0,0,0.6,0.7,-0.6,4,3,7,3,9
ENG-Premier League,2425,Bournemouth,Dean Huijsen,ESP,DF,19-253,2005,6.8,325,394,82.5,6595,2750,100,112,89.3,181,206,87.9,42,68,61.8,0,0.5,0.4,-0.5,8,32,1,0,31
ENG-Premier League,2425,Bournemouth,Enes Ünal,TUR,"FW,MF",27-227,1997,2.7,41,66,62.1,497,136,23,31,74.2,15,25,60.0,0,1,0.0,1,0.2,0.1,0.8,3,3,3,0,8
ENG-Premier League,2425,Bournemouth,Evanilson,BRA,FW,25-078,1999,13.1,111,168,66.1,1357,274,73,102,71.6,22,34,64.7,6,7,85.7,0,1.1,1.1,-1.1,14,6,2,0,10
ENG-Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,DF,22-113,2002,17.0,667,804,83.0,14326,5412,176,191,92.1,390,429,90.9,96,168,57.1,0,0.2,0.2,-0.2,5,67,3,0,62
ENG-Premier League,2425,Bournemouth,James Hill,ENG,MF,22-348,2002,0.1,6,10,60.0,92,20,3,5,60.0,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
ENG-Premier League,2425,Bournemouth,Julian Araujo,MEX,DF,23-132,2001,3.9,131,166,78.9,2297,759,60,67,89.6,61,71,85.9,9,22,40.9,0,0.0,0.0,0.0,0,15,1,0,14
ENG-Premier League,2425,Bournemouth,Justin Kluivert,NED,"MF,FW",25-232,1999,11.7,211,298,70.8,3344,853,116,149,77.9,75,102,73.5,16,24,66.7,2,2.0,1.2,0.0,18,16,9,3,40
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30-081,1994,12.0,279,382,73.0,8098,5847,33,35,94.3,150,154,97.4,95,189,50.3,0,0.0,0.0,0.0,1,4,0,0,0
ENG-Premier League,2425,Bournemouth,Lewis Cook,ENG,"MF,DF",27-324,1997,14.6,532,713,74.6,9291,3047,232,276,84.1,254,299,84.9,41,115,35.7,3,2.3,1.9,0.7,23,72,11,2,83
ENG-Premier League,2425,Bournemouth,Luis Sinisterra,COL,"FW,MF",25-189,1999,2.3,54,70,77.1,789,117,33,35,94.3,17,26,65.4,3,3,100.0,1,1.0,0.9,0.0,9,4,1,1,3
ENG-Premier League,2425,Bournemouth,Marcos Senesi,ARG,DF,27-227,1997,10.2,440,578,76.1,9108,4764,163,187,87.2,204,237,86.1,71,144,49.3,0,0.4,0.5,-0.4,5,66,12,3,45
ENG-Premier League,2425,Bournemouth,Marcus Tavernier,ENG,"FW,MF",25-276,1999,12.7,362,504,71.8,6144,1921,173,197,87.8,153,200,76.5,30,77,39.0,4,2.6,2.1,1.4,30,45,20,7,70
ENG-Premier League,2425,Bournemouth,Mark Travers,IRL,GK,25-219,1999,3.0,51,72,70.8,1990,1697,4,4,100.0,21,22,95.5,26,46,56.5,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Max Aarons,ENG,DF,24-354,2000,0.2,17,20,85.0,278,76,8,9,88.9,7,7,100.0,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,4
ENG-Premier League,2425,Bournemouth,Milos Kerkez,HUN,DF,21-046,2003,16.2,529,685,77.2,8500,3044,292,324,90.1,196,247,79.4,34,85,40.0,2,2.5,1.3,-0.5,17,35,18,9,74
ENG-Premier League,2425,Bournemouth,Neto,BRA,GK,35-157,1989,2.0,40,62,64.5,1183,896,7,7,100.0,21,21,100.0,12,33,36.4,0,0.0,0.0,0.0,0,2,0,0,0
ENG-Premier League,2425,Bournemouth,Philip Billing,DEN,MF,28-195,1996,0.9,38,54,70.4,605,285,22,26,84.6,10,16,62.5,3,8,37.5,0,0.8,0.9,-0.8,7,8,4,1,11
ENG-Premier League,2425,Bournemouth,Ryan Christie,SCO,MF,29-305,1995,12.6,436,533,81.8,7799,2219,191,218,87.6,197,215,91.6,43,80,53.8,1,1.8,1.8,-0.8,22,59,17,1,83
ENG-Premier League,2425,Bournemouth,Tyler Adams,USA,MF,25-313,1999,5.1,169,202,83.7,2663,608,83,94,88.3,76,86,88.4,5,12,41.7,0,0.4,0.1,-0.4,4,11,1,0,19
ENG-Premier League,2425,Brentford,Ben Mee,ENG,DF,35-093,1989,1.1,63,77,81.8,1159,481,23,26,88.5,34,38,89.5,6,11,54.5,0,0.0,0.0,0.0,0,7,0,0,9
ENG-Premier League,2425,Brentford,Bryan Mbeumo,CMR,FW,25-138,1999,16.9,407,592,68.8,6688,1949,214,262,81.7,151,201,75.1,34,87,39.1,2,3.3,4.1,-1.3,30,26,26,9,60
ENG-Premier League,2425,Brentford,Christian Nørgaard,DEN,MF,30-288,1994,12.8,508,610,83.3,8234,2606,258,288,89.6,211,245,86.1,28,49,57.1,2,0.4,0.4,1.6,8,67,7,1,63
ENG-Premier League,2425,Brentford,Edmond-Paris Maghoma,ENG,MF,23-229,2001,0.6,27,29,93.1,466,133,13,13,100.0,10,11,90.9,3,3,100.0,0,0.0,0.0,0.0,0,1,0,0,7
ENG-Premier League,2425,Brentford,Ethan Pinnock,JAM,DF,31-208,1993,16.0,712,845,84.3,13170,4709,270,286,94.4,375,425,88.2,62,114,54.4,0,1.2,0.6,-1.2,8,38,4,1,33
ENG-Premier League,2425,Brentford,Fabio Carvalho,POR,"FW,MF",22-115,2002,4.8,116,164,70.7,1676,419,71,87,81.6,32,42,76.2,7,18,38.9,1,0.5,0.5,0.5,3,11,5,1,16
ENG-Premier League,2425,Brentford,Frank Onyeka,NGA,MF,26-357,1998,0.3,6,7,85.7,71,19,5,5,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1
ENG-Premier League,2425,Brentford,Jayden Meghoma,ENG,DF,18-178,2006,0.1,3,3,100.0,28,7,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,FW",23-305,2001,14.3,360,454,79.3,5658,1286,216,237,91.1,115,147,78.2,24,46,52.2,1,1.1,1.9,-0.1,10,18,17,4,43
ENG-Premier League,2425,Brentford,Kevin Schade,GER,FW,23-026,2001,8.4,101,170,59.4,1420,289,57,82,69.5,37,61,60.7,2,9,22.2,2,1.1,0.6,0.9,4,9,4,0,14
ENG-Premier League,2425,Brentford,Kristoffer Ajer,NOR,DF,26-250,1998,8.0,265,340,77.9,4263,1580,138,158,87.3,102,133,76.7,17,29,58.6,0,0.7,0.3,-0.7,3,22,3,3,27
ENG-Premier League,2425,Brentford,Mads Roerslev,DEN,DF,25-182,1999,6.3,242,304,79.6,4225,1324,108,125,86.4,109,134,81.3,21,32,65.6,1,1.8,0.8,-0.8,9,23,5,3,36
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31-193,1993,17.0,613,813,75.4,17481,11552,80,82,97.6,333,346,96.2,200,381,52.5,1,0.2,0.1,0.8,1,23,1,0,0
ENG-Premier League,2425,Brentford,Mathias Jensen,DEN,MF,28-357,1996,5.3,175,243,72.0,3277,1201,79,95,83.2,71,93,76.3,21,44,47.7,1,0.8,0.6,0.2,8,21,10,2,33
ENG-Premier League,2425,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24-173,2000,13.2,454,629,72.2,7655,2697,236,275,85.8,168,226,74.3,44,95,46.3,4,3.7,2.7,0.3,22,60,19,4,99
ENG-Premier League,2425,Brentford,Nathan Collins,IRL,DF,23-237,2001,17.0,833,979,85.1,15540,5597,302,350,86.3,471,509,92.5,56,101,55.4,1,1.3,1.0,-0.3,5,53,4,1,68
ENG-Premier League,2425,Brentford,Ryan Trevitt,ENG,MF,21-286,2003,0.0,4,7,57.1,73,23,1,2,50.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
ENG-Premier League,2425,Brentford,Sepp van den Berg,NED,DF,23-003,2001,13.0,464,563,82.4,7367,2740,239,276,86.6,200,232,86.2,20,37,54.1,0,0.1,0.4,-0.1,3,31,3,1,38
ENG-Premier League,2425,Brentford,Thiago,BRA,FW,23-180,2001,1.5,28,39,71.8,428,56,14,20,70.0,9,12,75.0,3,4,75.0,0,0.1,0.0,-0.1,2,1,1,0,2
ENG-Premier League,2425,Brentford,Vitaly Janelt,GER,MF,26-227,1998,13.6,500,600,83.3,8783,2603,236,259,91.1,214,244,87.7,43,77,55.8,3,1.9,1.6,1.1,10,47,15,6,47
ENG-Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,20-297,2004,4.4,200,241,83.0,3232,756,109,131,83.2,73,84,86.9,14,17,82.4,0,0.1,0.3,-0.1,3,20,4,2,19
ENG-Premier League,2425,Brentford,Yoane Wissa,COD,FW,28-111,1996,11.6,202,261,77.4,3031,653,124,148,83.8,59,76,77.6,14,24,58.3,1,0.8,0.5,0.2,9,20,3,0,26
ENG-Premier League,2425,Brentford,Yunus Emre Konak,TUR,"MF,FW",18-348,2006,0.2,12,17,70.6,201,62,7,9,77.8,3,4,75.0,2,3,66.7,0,0.0,0.0,0.0,0,1,0,0,2
ENG-Premier League,2425,Brighton,Adam Webster,ENG,DF,29-354,1995,0.9,69,78,88.5,1289,639,23,25,92.0,39,42,92.9,5,6,83.3,0,0.0,0.0,0.0,0,9,0,0,10
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,22-127,2002,15.0,455,567,80.2,10619,7510,146,147,99.3,200,202,99.0,107,212,50.5,0,0.0,0.0,0.0,0,4,0,0,0
ENG-Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23-195,2001,1.1,58,67,86.6,980,346,36,38,94.7,18,22,81.8,4,7,57.1,0,0.0,0.0,0.0,0,12,2,0,11
