,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Aaron Ramsdale,ENG,GK,26-223,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ayden Heaven,ENG,DF,18-092,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,27-076,1997,9,695,77,45.4,7.7,7,90,7,2,33,0,1.44,9,7,2,0.26,-1.47,8.5,9.7,-1.2,-0.16,-1.74
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",23-109,2001,16,1268,79,82.9,14.1,16,79,7,0,,0,2.06,30,13,17,1.21,0.86,25.4,10.7,14.7,1.04,1.46
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,29-099,1995,17,1530,90,100.0,17.0,17,90,17,0,,0,1.94,34,16,18,1.06,,29.3,15.8,13.5,0.79,
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25-344,1999,15,1196,80,78.2,13.3,14,83,10,1,33,1,1.8,27,14,13,0.98,-0.37,24.1,11.4,12.7,0.96,0.75
ENG-Premier League,2425,Arsenal,Eddie Nketiah,ENG,FW,25-207,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"MF,FW",17-277,2007,10,117,12,7.6,1.3,0,,0,10,12,7,1.8,3,0,3,2.31,1.35,2.3,0.8,1.5,1.16,0.4
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27-264,1997,14,358,26,23.4,4.0,3,78,1,11,11,1,1.86,10,3,7,1.76,0.92,7.3,3.8,3.5,0.87,0.1
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,27-004,1997,15,1268,85,82.9,14.1,15,85,13,0,,0,1.93,31,14,17,1.21,0.86,24.9,14.2,10.7,0.76,-0.2
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23-188,2001,15,946,63,61.8,10.5,11,76,2,4,27,2,1.8,18,10,8,0.76,-0.78,15.8,10.7,5.1,0.49,-0.8
ENG-Premier League,2425,Arsenal,Ismeal Kabia,ENG,MF,19-013,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24-312,2000,8,327,41,21.4,3.6,2,90,2,6,25,8,1.88,3,5,-2,-0.55,-2.05,5.6,4.2,1.4,0.39,-0.52
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,33-003,1991,8,393,49,25.7,4.4,5,72,2,3,12,9,2.13,9,4,5,1.15,0.12,9.1,2.9,6.3,1.43,0.86
ENG-Premier League,2425,Arsenal,Josh Nichols,ENG,DF,18-150,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23-189,2001,15,1215,81,79.4,13.5,14,85,7,1,22,0,2.0,30,11,19,1.41,1.69,23.8,11.9,11.9,0.88,0.44
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25-195,1999,16,1390,87,90.8,15.4,16,87,14,0,,1,1.88,29,16,13,0.84,-2.37,27.2,15.4,11.7,0.76,-0.38
ENG-Premier League,2425,Arsenal,Kieran Tierney,SCO,"DF,MF",27-201,1997,0,,,,,0,,0,0,,5,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,30-019,1994,17,917,54,59.9,10.2,10,73,2,7,27,0,1.94,26,10,16,1.57,1.28,20.2,7.6,12.6,1.23,1.1
ENG-Premier League,2425,Arsenal,Maldini Kacurri,ALB,DF,19-080,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,26-006,1998,10,816,82,53.3,9.1,10,82,4,0,,0,2.2,21,6,15,1.65,1.28,16.2,7.5,8.7,0.96,0.36
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,MF,28-184,1996,10,480,48,31.4,5.3,5,78,2,5,18,0,1.6,8,5,3,0.56,-0.72,8.0,4.0,4.0,0.76,-0.05
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18-088,2006,4,141,35,9.2,1.6,2,63,0,2,8,8,1.5,3,3,0,0.0,-1.17,2.8,2.2,0.6,0.37,-0.47
ENG-Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,FW,21-354,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Neto,BRA,GK,35-157,1989,0,,,,,0,,0,0,,13,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",28-008,1996,6,238,40,15.6,2.6,2,69,0,4,25,4,2.17,3,0,3,1.13,0.09,2.7,1.7,0.9,0.36,-0.51
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,"MF,FW",30-015,1994,6,148,25,9.7,1.6,2,48,0,4,13,6,2.5,4,1,3,1.82,0.85,3.1,1.4,1.7,1.04,0.28
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,FW,25-013,1999,1,3,3,0.2,0.0,0,,0,1,3,1,3.0,0,0,0,0.0,-1.06,0.0,0.0,0.0,0.1,-0.69
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,22-218,2002,9,540,60,35.3,6.0,6,77,2,3,26,1,2.22,18,8,10,1.67,0.94,14.5,6.1,8.3,1.39,0.92
ENG-Premier League,2425,Arsenal,Salah Oulad M'Hand,NED,MF,21-125,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26-048,1998,1,7,7,0.5,0.1,0,,0,1,7,0,3.0,1,0,1,12.86,11.85,0.6,0.0,0.5,6.86,6.09
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31-193,1993,16,1309,82,85.6,14.5,14,89,11,2,34,0,1.88,25,14,11,0.76,-2.09,21.8,14.0,7.8,0.53,-1.8
ENG-Premier League,2425,Arsenal,Tommy Setford,ENG,GK,18-285,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,23-274,2001,16,1379,86,90.1,15.3,16,86,15,0,,0,2.0,32,12,20,1.31,2.5,27.7,13.2,14.5,0.95,1.55
ENG-Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,23-129,2001,12,810,68,52.9,9.0,11,72,4,1,17,1,1.67,12,16,-4,-0.44,-0.94,12.7,12.7,0.1,0.01,-0.85
ENG-Premier League,2425,Aston Villa,Benjamin Broggio,ENG,FW,17-329,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Boubacar Kamara,FRA,MF,25-030,1999,8,436,55,28.5,4.8,5,80,2,3,12,1,1.25,7,8,-1,-0.21,-0.29,7.0,5.5,1.6,0.32,-0.11
ENG-Premier League,2425,Aston Villa,Diego Carlos,BRA,DF,31-283,1993,9,740,82,48.4,8.2,7,90,7,2,55,6,1.33,12,13,-1,-0.12,-0.24,12.0,10.7,1.3,0.16,-0.47
ENG-Premier League,2425,Aston Villa,Emi Buendía,ARG,"MF,FW",27-364,1996,8,44,6,2.9,0.5,0,,0,8,6,9,2.13,0,1,-1,-2.05,-2.11,0.8,1.2,-0.3,-0.7,-1.14
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,32-112,1992,17,1485,87,97.1,16.5,17,87,16,0,,0,1.65,26,25,1,0.06,2.06,26.5,19.5,7.1,0.43,0.81
ENG-Premier League,2425,Aston Villa,Ezri Konsa,ENG,DF,27-061,1997,15,1271,85,83.1,14.1,15,85,14,0,,1,1.6,21,23,-2,-0.14,-0.84,22.0,16.8,5.2,0.37,-0.21
ENG-Premier League,2425,Aston Villa,Ian Maatsen,NED,DF,22-288,2002,13,290,22,19.0,3.2,2,63,0,11,15,4,1.69,8,6,2,0.62,0.77,7.6,4.1,3.5,1.09,0.84
ENG-Premier League,2425,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23-209,2001,10,633,63,41.4,7.0,7,74,2,3,39,0,1.7,12,14,-2,-0.28,-0.49,10.2,9.3,1.0,0.14,-0.46
ENG-Premier League,2425,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",22-319,2002,11,332,30,21.7,3.7,2,78,1,9,20,1,1.64,2,5,-3,-0.81,-1.04,4.7,4.7,0.0,-0.01,-0.53
ENG-Premier League,2425,Aston Villa,Jhon Durán,COL,FW,21-010,2003,17,571,34,37.3,6.3,3,70,0,14,26,0,1.65,12,10,2,0.32,0.5,8.8,8.5,0.2,0.04,-0.59
ENG-Premier League,2425,Aston Villa,Joe Gauci,AUS,GK,24-172,2000,0,,,,,0,,0,0,,8,,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,John McGinn,SCO,"FW,MF",30-066,1994,15,1067,71,69.7,11.9,13,78,5,2,27,0,1.73,15,18,-3,-0.25,-0.84,19.9,13.9,6.1,0.51,0.35
ENG-Premier League,2425,Aston Villa,Kadan Young,ENG,MF,18-339,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,19-007,2005,3,96,32,6.3,1.1,0,,0,3,32,7,2.0,0,2,-2,-1.87,-2.0,1.5,1.7,-0.2,-0.22,-0.67
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,NED,DF,20-353,2004,3,213,71,13.9,2.4,3,71,1,0,,8,2.33,6,5,1,0.42,0.49,5.4,2.1,3.3,1.38,1.13
ENG-Premier League,2425,Aston Villa,Leon Bailey,JAM,"FW,MF",27-136,1997,14,731,52,47.8,8.1,10,63,1,4,25,1,1.57,15,12,3,0.37,0.71,14.2,8.7,5.5,0.68,0.53
ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31-156,1993,17,1255,74,82.0,13.9,15,80,6,2,28,0,1.65,18,20,-2,-0.14,-0.8,19.7,16.2,3.5,0.25,-0.86
ENG-Premier League,2425,Aston Villa,Matty Cash,POL,"DF,FW",27-138,1997,11,830,75,54.2,9.2,10,79,7,1,45,1,1.36,14,11,3,0.33,0.71,13.7,10.8,2.9,0.31,-0.2
ENG-Premier League,2425,Aston Villa,Morgan Rogers,ENG,"MF,FW",22-150,2002,17,1400,82,91.5,15.6,17,82,9,0,,0,1.65,25,19,6,0.39,4.54,25.8,16.8,9.0,0.58,2.05
ENG-Premier League,2425,Aston Villa,Oliwier Zych,POL,GK,20-178,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,28-359,1995,17,1137,67,74.3,12.6,14,77,3,3,20,0,1.65,20,21,-1,-0.08,-0.31,21.6,14.6,7.0,0.56,0.6
ENG-Premier League,2425,Aston Villa,Pau Torres,ESP,DF,27-342,1997,16,1440,90,94.1,16.0,16,90,16,0,,1,1.56,23,25,-2,-0.12,-2.12,24.7,19.3,5.4,0.34,-1.13
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34-350,1990,1,45,45,2.9,0.5,0,,0,1,45,8,0.0,0,1,-1,-2.0,-2.06,0.5,0.7,-0.2,-0.38,-0.81
ENG-Premier League,2425,Aston Villa,Ross Barkley,ENG,MF,31-018,1993,13,449,35,29.3,5.0,2,90,2,11,24,2,1.69,9,7,2,0.4,0.57,10.4,4.3,6.0,1.21,1.14
ENG-Premier League,2425,Aston Villa,Sil Swinkels,NED,DF,20-352,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Tyrone Mings,ENG,DF,31-285,1993,1,90,90,5.9,1.0,1,90,1,0,,7,3.0,3,1,2,2.0,2.12,2.4,0.9,1.5,1.47,1.13
ENG-Premier League,2425,Aston Villa,Youri Tielemans,BEL,MF,27-230,1997,17,1464,86,95.7,16.3,17,86,13,0,,0,1.65,26,23,3,0.18,4.28,25.6,19.1,6.5,0.4,-0.07
ENG-Premier League,2425,Bournemouth,Adam Smith,ENG,DF,33-238,1991,17,1035,61,67.6,11.5,12,74,4,5,29,0,1.65,19,13,6,0.52,0.52,23.5,12.7,10.9,0.94,0.74
ENG-Premier League,2425,Bournemouth,Alex Scott,ENG,MF,21-124,2003,8,263,33,17.2,2.9,2,62,0,6,23,0,1.38,3,3,0,0.0,-0.43,5.5,3.7,1.8,0.61,-0.11
ENG-Premier League,2425,Bournemouth,Antoine Semenyo,GHA,FW,24-351,2000,16,1386,87,90.6,15.4,16,87,11,0,,0,1.56,22,18,4,0.26,-0.99,28.6,19.9,8.7,0.57,-1.46
ENG-Premier League,2425,Bournemouth,Ben Winterburn,ENG,MF,20-110,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Dango Ouattara,BFA,"FW,DF",22-316,2002,14,702,50,45.9,7.8,6,77,3,8,30,0,1.79,15,6,9,1.15,1.48,16.6,10.7,5.9,0.76,0.1
ENG-Premier League,2425,Bournemouth,Daniel Jebbison,ENG,FW,21-132,2003,2,28,14,1.8,0.3,0,,0,2,14,0,1.0,1,0,1,3.21,2.91,0.7,0.3,0.4,1.19,0.49
ENG-Premier League,2425,Bournemouth,David Brooks,WAL,"FW,MF",27-168,1997,10,176,18,11.5,2.0,1,63,0,9,13,5,1.7,8,3,5,2.56,2.49,7.5,3.5,4.1,2.09,1.57
ENG-Premier League,2425,Bournemouth,Dean Huijsen,ESP,DF,19-253,2005,11,614,56,40.1,6.8,6,90,6,5,15,6,1.82,12,6,6,0.88,0.88,16.2,11.1,5.1,0.75,0.07
ENG-Premier League,2425,Bournemouth,Enes Ünal,TUR,"FW,MF",27-227,1997,14,245,18,16.0,2.7,1,63,0,13,14,0,1.64,4,3,1,0.37,0.02,6.1,5.6,0.5,0.19,-0.62
ENG-Premier League,2425,Bournemouth,Evanilson,BRA,FW,25-078,1999,16,1179,74,77.1,13.1,15,77,2,1,27,0,1.69,20,16,4,0.31,-0.21,26.2,15.0,11.2,0.85,0.63
ENG-Premier League,2425,Bournemouth,Hamed Junior Traorè,CIV,"FW,MF",24-311,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,DF,22-113,2002,17,1530,90,100.0,17.0,17,90,17,0,,0,1.65,27,21,6,0.35,,34.3,22.3,12.0,0.71,
ENG-Premier League,2425,Bournemouth,Jaidon Anthony,ENG,"FW,MF",25-022,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,James Hill,ENG,MF,22-348,2002,2,7,4,0.5,0.1,0,,0,2,4,13,3.0,2,0,2,25.71,25.48,1.4,0.5,0.9,11.17,10.52
ENG-Premier League,2425,Bournemouth,Julian Araujo,MEX,DF,23-132,2001,8,355,44,23.2,3.9,5,61,0,3,17,3,1.13,2,7,-5,-1.27,-2.11,4.8,6.7,-1.9,-0.49,-1.55
ENG-Premier League,2425,Bournemouth,Justin Kluivert,NED,"MF,FW",25-232,1999,17,1056,62,69.0,11.7,14,69,1,3,29,0,1.65,19,14,5,0.43,0.24,23.0,14.4,8.6,0.74,0.1
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30-081,1994,12,1080,90,70.6,12.0,12,90,12,0,,0,1.83,22,16,6,0.5,0.5,26.7,15.2,11.5,0.96,0.86
ENG-Premier League,2425,Bournemouth,Lewis Cook,ENG,"MF,DF",27-324,1997,16,1312,82,85.8,14.6,14,90,13,2,30,0,1.56,20,19,1,0.07,-2.0,28.2,19.8,8.4,0.58,-0.9
ENG-Premier League,2425,Bournemouth,Luis Sinisterra,COL,"FW,MF",25-189,1999,8,208,26,13.6,2.3,1,62,0,7,21,0,1.38,5,3,2,0.87,0.59,5.7,3.3,2.4,1.04,0.39
ENG-Premier League,2425,Bournemouth,Marcos Senesi,ARG,DF,27-227,1997,11,917,83,59.9,10.2,11,83,7,0,,1,1.55,15,15,0,0.0,-0.88,18.1,11.8,6.3,0.61,-0.23
ENG-Premier League,2425,Bournemouth,Marcus Tavernier,ENG,"FW,MF",25-276,1999,15,1140,76,74.5,12.7,13,84,6,2,26,0,1.6,17,16,1,0.08,-1.07,24.5,14.1,10.4,0.82,0.44
ENG-Premier League,2425,Bournemouth,Mark Travers,IRL,GK,25-219,1999,3,270,90,17.6,3.0,3,90,3,0,,14,1.33,3,3,0,0.0,-0.43,4.1,4.1,0.0,-0.01,-0.87
ENG-Premier League,2425,Bournemouth,Max Aarons,ENG,DF,24-354,2000,1,16,16,1.0,0.2,0,,0,1,16,10,0.0,1,0,1,5.63,5.33,0.9,0.0,0.9,4.96,4.3
ENG-Premier League,2425,Bournemouth,Maxwell Wellings,ENG,DF,19-325,2005,0,,,,,0,,0,0,,6,,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Milos Kerkez,HUN,DF,21-046,2003,17,1457,86,95.2,16.2,17,86,13,0,,0,1.65,22,21,1,0.06,-6.1,30.4,21.9,8.5,0.53,-3.77
ENG-Premier League,2425,Bournemouth,Neto,BRA,GK,35-157,1989,2,180,90,11.8,2.0,2,90,2,0,,0,1.0,2,2,0,0.0,-0.4,3.5,2.9,0.5,0.25,-0.51
ENG-Premier League,2425,Bournemouth,Philip Billing,DEN,MF,28-195,1996,7,84,12,5.5,0.9,0,,0,7,12,3,2.0,4,2,2,2.14,1.89,3.5,2.4,1.1,1.22,0.55
ENG-Premier League,2425,Bournemouth,Ryan Christie,SCO,MF,29-305,1995,16,1134,71,74.1,12.6,14,77,4,2,28,0,1.75,20,15,5,0.4,0.17,23.7,16.1,7.7,0.61,-0.38
ENG-Premier League,2425,Bournemouth,Tyler Adams,USA,MF,25-313,1999,8,456,57,29.8,5.1,5,80,2,3,19,1,1.75,12,9,3,0.59,0.34,13.2,7.0,6.2,1.22,0.73
ENG-Premier League,2425,Bournemouth,Will Dennis,ENG,GK,24-166,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,
ENG-Premier League,2425,Brentford,Ben Mee,ENG,DF,35-093,1989,4,99,25,6.5,1.1,1,90,1,3,3,13,1.5,1,4,-3,-2.73,-2.92,1.8,1.5,0.3,0.25,0.42
ENG-Premier League,2425,Brentford,Bryan Mbeumo,CMR,FW,25-138,1999,17,1524,90,99.6,16.9,17,90,14,0,,0,1.35,32,30,2,0.12,30.12,25.6,27.7,-2.1,-0.12,4.17
ENG-Premier League,2425,Brentford,Christian Nørgaard,DEN,MF,30-288,1994,14,1154,82,75.4,12.8,14,82,9,0,,0,1.57,27,23,4,0.31,1.27,21.9,19.7,2.2,0.17,1.26
ENG-Premier League,2425,Brentford,Edmond-Paris Maghoma,ENG,MF,23-229,2001,3,52,17,3.4,0.6,0,,0,3,17,4,1.0,0,0,0,0.0,0.0,0.4,0.8,-0.4,-0.66,-0.54
ENG-Premier League,2425,Brentford,Ethan Pinnock,JAM,DF,31-208,1993,16,1440,90,94.1,16.0,16,90,16,0,,0,1.44,32,30,2,0.12,2.12,25.4,27.6,-2.2,-0.14,0.06
ENG-Premier League,2425,Brentford,Fabio Carvalho,POR,"FW,MF",22-115,2002,16,428,27,28.0,4.8,3,81,0,13,14,1,1.38,8,13,-5,-1.05,-1.46,5.7,10.9,-5.2,-1.09,-1.33
ENG-Premier League,2425,Brentford,Frank Onyeka,NGA,MF,26-357,1998,2,25,13,1.6,0.3,0,,0,2,13,0,1.5,0,0,0,0.0,0.0,0.0,0.7,-0.7,-2.48,-2.38
ENG-Premier League,2425,Brentford,Hákon Rafn Valdimarsson,ISL,GK,23-071,2001,0,,,,,0,,0,0,,17,,,,,,,,,,,
ENG-Premier League,2425,Brentford,Jayden Meghoma,ENG,DF,18-178,2006,1,5,5,0.3,0.1,0,,0,1,5,10,0.0,1,0,1,18.0,18.06,0.2,0.1,0.1,1.56,1.71
ENG-Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,FW",23-305,2001,17,1289,76,84.2,14.3,15,84,9,2,17,0,1.35,26,27,-1,-0.07,-0.44,21.5,24.8,-3.2,-0.22,-0.54
ENG-Premier League,2425,Brentford,Kevin Schade,GER,FW,23-026,2001,17,758,45,49.5,8.4,8,72,0,9,20,0,1.35,18,17,1,0.12,0.24,14.0,11.9,2.1,0.25,0.77
ENG-Premier League,2425,Brentford,Kim Jisoo,KOR,DF,19-365,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,
ENG-Premier League,2425,Brentford,Kristoffer Ajer,NOR,DF,26-250,1998,10,717,72,46.9,8.0,9,78,4,1,15,1,1.0,12,15,-3,-0.38,-0.71,11.3,12.7,-1.4,-0.18,-0.07
ENG-Premier League,2425,Brentford,Mads Roerslev,DEN,DF,25-182,1999,13,565,43,36.9,6.3,5,87,4,8,16,4,1.15,10,12,-2,-0.32,-0.51,10.1,11.3,-1.1,-0.18,-0.06
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31-193,1993,17,1530,90,100.0,17.0,17,90,17,0,,0,1.35,32,32,0,0.0,,26.1,28.5,-2.4,-0.14,
ENG-Premier League,2425,Brentford,Mathias Jensen,DEN,MF,28-357,1996,8,479,60,31.3,5.3,6,75,2,2,16,0,2.0,11,9,2,0.38,0.55,9.2,8.8,0.4,0.07,0.31
ENG-Premier League,2425,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24-173,2000,17,1190,70,77.8,13.2,14,81,4,3,20,0,1.35,26,21,5,0.38,1.7,21.4,21.7,-0.3,-0.03,0.51
ENG-Premier League,2425,Brentford,Myles Peart-Harris,ENG,MF,22-096,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Brentford,Nathan Collins,IRL,DF,23-237,2001,17,1530,90,100.0,17.0,17,90,17,0,,0,1.35,32,32,0,0.0,,26.1,28.5,-2.4,-0.14,
ENG-Premier League,2425,Brentford,Ryan Trevitt,ENG,MF,21-286,2003,1,4,4,0.3,0.0,0,,0,1,4,11,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
ENG-Premier League,2425,Brentford,Sepp van den Berg,NED,DF,23-003,2001,14,1174,84,76.7,13.0,13,89,11,1,16,1,1.43,27,27,0,0.0,0.0,20.5,22.8,-2.3,-0.18,-0.16
ENG-Premier League,2425,Brentford,Thiago,BRA,FW,23-180,2001,4,132,33,8.6,1.5,1,72,0,3,20,0,1.75,3,2,1,0.68,0.75,0.9,2.5,-1.5,-1.05,-1.0
ENG-Premier League,2425,Brentford,Tony Yogane,ENG,MF,19-090,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,
ENG-Premier League,2425,Brentford,Vitaly Janelt,GER,MF,26-227,1998,16,1220,76,79.7,13.6,14,82,6,2,39,0,1.25,25,26,-1,-0.07,-0.36,21.6,21.5,0.1,0.01,0.73
ENG-Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,20-297,2004,12,397,33,25.9,4.4,4,72,0,8,14,5,1.17,7,10,-3,-0.68,-0.92,5.5,9.7,-4.2,-0.95,-1.1
ENG-Premier League,2425,Brentford,Yoane Wissa,COD,FW,28-111,1996,14,1047,75,68.4,11.6,13,79,5,1,25,0,1.36,22,20,2,0.17,0.54,17.6,17.7,-0.1,-0.01,0.41
