,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
ENG-Premier League,2425,Brentford,Yunus Emre Konak,TUR,"MF,FW",18-348,2006,5,21,4,1.4,0.2,0,,0,5,4,10,1.4,0,2,-2,-8.57,-8.69,0.3,1.2,-0.9,-3.99,-3.9
ENG-Premier League,2425,Brighton,Adam Webster,ENG,DF,29-354,1995,3,79,26,5.2,0.9,2,32,0,1,15,4,2.0,3,4,-1,-1.14,-1.26,0.9,4.0,-3.1,-3.49,-3.5
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,22-127,2002,15,1350,90,88.2,15.0,15,90,15,0,,0,1.27,22,25,-3,-0.2,-2.2,20.4,24.9,-4.5,-0.3,-1.12
ENG-Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23-195,2001,2,98,49,6.4,1.1,1,89,0,1,9,0,3.0,2,1,1,0.92,0.92,1.6,1.3,0.2,0.22,0.42
ENG-Premier League,2425,Brighton,Brajan Gruda,GER,"MF,FW",20-206,2004,7,154,22,10.1,1.7,1,67,0,6,15,3,1.14,5,5,0,0.0,-0.07,2.3,2.8,-0.5,-0.32,-0.17
ENG-Premier League,2425,Brighton,Carl Rushworth,ENG,GK,23-174,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2425,Brighton,Carlos Baleba,CMR,MF,20-355,2004,14,987,71,64.5,11.0,12,77,5,2,32,2,1.5,19,15,4,0.36,0.86,16.3,16.5,-0.2,-0.02,0.42
ENG-Premier League,2425,Brighton,Danny Welbeck,ENG,FW,34-027,1990,14,1112,79,72.7,12.4,13,84,5,1,20,0,1.71,21,16,5,0.4,1.27,18.0,20.5,-2.5,-0.2,-0.11
ENG-Premier League,2425,Brighton,Evan Ferguson,IRL,FW,20-065,2004,12,228,19,14.9,2.5,2,65,0,10,10,2,1.0,4,5,-1,-0.39,-0.53,2.7,4.2,-1.5,-0.59,-0.49
ENG-Premier League,2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",25-077,1999,6,385,64,25.2,4.3,5,72,1,1,23,1,1.33,5,8,-3,-0.7,-1.02,5.2,9.3,-4.1,-0.96,-1.05
ENG-Premier League,2425,Brighton,Georginio Rutter,FRA,"FW,MF",22-247,2002,16,991,62,64.8,11.0,13,74,2,3,10,0,1.38,17,18,-1,-0.09,-0.42,15.1,18.8,-3.7,-0.34,-0.48
ENG-Premier League,2425,Brighton,Igor,BRA,DF,26-320,1998,10,748,75,48.9,8.3,7,90,7,3,39,6,1.5,13,13,0,0.0,-0.12,11.8,12.9,-1.1,-0.14,0.06
ENG-Premier League,2425,Brighton,Imari Samuels,ENG,DF,21-322,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2425,Brighton,Jack Hinshelwood,ENG,"MF,DF",19-256,2005,10,840,84,54.9,9.3,10,84,7,0,,0,1.8,15,13,2,0.21,0.34,13.1,16.6,-3.5,-0.38,-0.46
ENG-Premier League,2425,Brighton,Jacob Slater,ENG,MF,20-079,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Brighton,Jakub Moder,POL,MF,25-260,1999,2,5,3,0.3,0.1,0,,0,2,3,7,1.5,0,0,0,0.0,-0.06,0.1,0.2,0.0,-0.68,-0.51
ENG-Premier League,2425,Brighton,James Milner,ENG,MF,38-354,1986,3,169,56,11.0,1.9,3,56,0,0,,0,2.33,3,1,2,1.07,1.13,2.8,2.0,0.8,0.41,0.66
ENG-Premier League,2425,Brighton,Jan Paul van Hecke,NED,DF,24-198,2000,15,1250,83,81.7,13.9,14,89,13,1,9,0,1.47,21,18,3,0.22,0.86,20.2,19.3,0.9,0.06,1.28
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,34-127,1990,2,180,90,11.8,2.0,2,90,2,0,,15,3.0,5,1,4,2.0,2.2,3.5,1.9,1.6,0.82,1.12
ENG-Premier League,2425,Brighton,Jeremy Sarmiento,ECU,MF,22-190,2002,1,9,9,0.6,0.1,0,,0,1,9,0,3.0,1,0,1,10.0,10.0,0.1,0.0,0.1,0.68,0.85
ENG-Premier League,2425,Brighton,João Pedro,BRA,"MF,FW",23-088,2001,11,769,70,50.3,8.5,9,80,4,2,23,0,1.55,14,9,5,0.59,1.06,12.8,10.6,2.1,0.25,0.84
ENG-Premier League,2425,Brighton,Joël Veltman,NED,DF,32-343,1992,12,1022,85,66.8,11.4,12,85,9,0,,0,1.92,20,13,7,0.62,1.68,15.8,15.1,0.7,0.06,0.71
ENG-Premier League,2425,Brighton,Julio Enciso,PAR,"MF,FW",20-335,2004,9,159,18,10.4,1.8,0,,0,9,18,5,1.44,2,2,0,0.0,-0.07,3.0,2.4,0.6,0.32,0.55
ENG-Premier League,2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",27-217,1997,17,1447,85,94.6,16.1,16,89,8,1,31,0,1.47,25,24,1,0.06,0.06,21.9,24.2,-2.3,-0.15,0.45
ENG-Premier League,2425,Brighton,Killian Cahill,IRL,GK,21-050,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Brighton,Lewis Dunk,ENG,DF,33-032,1991,13,1084,83,70.8,12.0,12,89,11,1,19,0,1.38,18,19,-1,-0.08,-0.49,17.1,19.1,-2.1,-0.17,-0.01
ENG-Premier League,2425,Brighton,Mark O'Mahony,IRL,FW,19-344,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Brighton,Mats Wieffer,NED,MF,25-037,1999,13,471,36,30.8,5.2,4,72,1,9,21,1,1.31,9,12,-3,-0.57,-0.91,6.2,10.0,-3.8,-0.72,-0.8
ENG-Premier League,2425,Brighton,Matt O'Riley,DEN,MF,24-032,2000,5,221,44,14.4,2.5,2,76,0,3,23,1,1.6,5,6,-1,-0.41,-0.54,4.9,4.1,0.7,0.31,0.56
ENG-Premier League,2425,Brighton,Pervis Estupiñán,ECU,DF,26-337,1998,14,1064,76,69.5,11.8,11,89,10,3,28,1,1.29,20,22,-2,-0.17,-0.75,16.5,20.8,-4.2,-0.36,-0.62
ENG-Premier League,2425,Brighton,Ruairi Mcconville,NIR,DF,19-236,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,
ENG-Premier League,2425,Brighton,Simon Adingra,CIV,"FW,MF",22-357,2002,11,349,32,22.8,3.9,3,68,0,8,18,3,1.45,7,6,1,0.26,0.26,5.7,6.2,-0.6,-0.15,0.02
ENG-Premier League,2425,Brighton,Tariq Lamptey,GHA,DF,24-084,2000,6,260,43,17.0,2.9,3,69,1,3,18,6,0.67,4,9,-5,-1.73,-2.16,3.7,4.6,-0.8,-0.28,-0.14
ENG-Premier League,2425,Brighton,Valentín Barco,ARG,DF,20-153,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20-154,2004,12,535,45,35.0,5.9,6,71,0,6,18,0,1.25,7,10,-3,-0.5,-0.87,8.9,7.8,1.1,0.18,0.54
ENG-Premier League,2425,Brighton,Yasin Ayari,SWE,MF,21-078,2003,14,832,59,54.4,9.2,9,76,3,5,29,2,1.5,10,10,0,0.0,-0.13,12.3,13.2,-1.0,-0.11,0.14
ENG-Premier League,2425,Chelsea,Axel Disasi,FRA,DF,26-287,1998,4,274,69,17.9,3.0,3,80,2,1,34,6,2.5,5,1,4,1.31,0.31,7.6,4.4,3.1,1.03,0.46
ENG-Premier League,2425,Chelsea,Benoît Badiashile,FRA,DF,23-272,2001,4,249,62,16.3,2.8,2,90,2,2,35,7,2.25,7,4,3,1.08,0.03,6.6,4.3,2.3,0.83,0.22
ENG-Premier League,2425,Chelsea,Cesare Casadei,ITA,MF,21-348,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Christopher Nkunku,FRA,FW,27-039,1997,16,321,20,21.0,3.6,2,74,1,14,12,1,2.13,8,5,3,0.84,-0.28,10.8,6.8,4.1,1.14,0.62
ENG-Premier League,2425,Chelsea,Cole Palmer,ENG,MF,22-231,2002,17,1477,87,96.5,16.4,17,87,12,0,,0,2.06,36,18,18,1.1,1.1,33.6,23.0,10.6,0.65,-0.04
ENG-Premier League,2425,Chelsea,Enzo Fernández,ARG,MF,23-341,2001,16,1152,72,75.3,12.8,12,88,9,4,25,0,2.0,33,14,19,1.48,1.72,29.2,15.9,13.3,1.04,1.58
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22-251,2002,1,90,90,5.9,1.0,1,90,1,0,,15,3.0,5,1,4,4.0,3.12,5.2,1.6,3.6,3.61,3.15
ENG-Premier League,2425,Chelsea,Jadon Sancho,ENG,FW,24-273,2000,11,670,61,43.8,7.4,8,75,3,3,23,1,2.36,19,9,10,1.34,0.51,16.3,10.8,5.5,0.74,0.15
ENG-Premier League,2425,Chelsea,Joshua Acheampong,ENG,DF,18-232,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2425,Chelsea,João Félix,POR,"FW,MF",25-043,1999,9,298,33,19.5,3.3,2,85,1,7,18,6,2.56,9,2,7,2.11,1.31,11.9,4.0,7.8,2.36,2.13
ENG-Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,ENG,MF,26-108,1998,5,59,12,3.9,0.7,0,,0,5,12,4,2.4,2,2,0,0.0,-1.1,0.9,1.2,-0.3,-0.46,-1.16
ENG-Premier League,2425,Chelsea,Levi Colwill,ENG,DF,21-301,2003,16,1439,90,94.1,16.0,16,90,15,0,,1,2.0,32,18,14,0.88,-3.08,29.7,22.5,7.1,0.45,-3.42
ENG-Premier League,2425,Chelsea,Malo Gusto,FRA,DF,21-218,2003,14,1046,75,68.4,11.6,12,83,8,2,25,0,1.86,26,15,11,0.95,-0.36,26.4,16.0,10.4,0.89,0.77
ENG-Premier League,2425,Chelsea,Marc Cucurella,ESP,DF,26-154,1998,15,1174,78,76.7,13.0,13,86,7,2,29,0,2.27,33,14,19,1.46,1.71,30.4,17.7,12.7,0.98,1.4
ENG-Premier League,2425,Chelsea,Marc Guiu,ESP,FW,18-354,2006,1,24,24,1.6,0.3,0,,0,1,24,4,0.0,0,1,-1,-3.75,-4.89,0.1,0.1,0.0,-0.07,-0.73
ENG-Premier League,2425,Chelsea,Marcus Bettinelli,ENG,GK,32-213,1992,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Moisés Caicedo,ECU,MF,23-051,2001,17,1505,89,98.4,16.7,17,89,15,0,,0,2.06,36,18,18,1.08,1.08,35.0,23.3,11.6,0.7,2.81
ENG-Premier League,2425,Chelsea,Mykhailo Mudryk,UKR,FW,23-353,2001,7,151,22,9.9,1.7,1,45,0,6,18,5,1.86,4,2,2,1.19,0.15,3.0,3.7,-0.7,-0.41,-1.17
ENG-Premier League,2425,Chelsea,Nicolas Jackson,SEN,FW,23-186,2001,16,1256,79,82.1,14.0,16,79,3,0,,1,2.0,28,14,14,1.0,-0.31,25.4,18.5,6.9,0.49,-0.86
ENG-Premier League,2425,Chelsea,Noni Madueke,ENG,FW,22-288,2002,16,1039,65,67.9,11.5,13,77,3,3,13,1,2.19,26,14,12,1.04,-0.06,25.0,17.1,7.9,0.68,0.11
ENG-Premier League,2425,Chelsea,Pedro Neto,POR,FW,24-289,2000,14,808,58,52.8,9.0,8,78,4,6,31,1,1.86,17,8,9,1.0,-0.12,16.0,12.5,3.5,0.39,-0.55
ENG-Premier League,2425,Chelsea,Reece James,ENG,DF,25-015,1999,4,241,60,15.8,2.7,3,77,2,1,9,0,1.25,4,4,0,0.0,-1.26,3.3,6.1,-2.8,-1.04,-2.01
ENG-Premier League,2425,Chelsea,Renato Veiga,POR,"DF,MF",21-147,2003,7,181,26,11.8,2.0,1,90,1,6,15,10,2.14,2,2,0,0.0,-1.2,2.0,3.0,-1.1,-0.52,-1.33
ENG-Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,27-035,1997,16,1440,90,94.1,16.0,16,90,16,0,,1,2.0,32,18,14,0.87,-3.12,30.2,22.8,7.4,0.46,-3.15
ENG-Premier League,2425,Chelsea,Roméo Lavia,BEL,MF,20-352,2004,9,477,53,31.2,5.3,7,65,0,2,11,2,1.89,7,9,-2,-0.38,-2.09,7.0,10.3,-3.4,-0.64,-1.87
ENG-Premier League,2425,Chelsea,Samuel Rak-Sakyi,ENG,MF,19-271,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Tosin Adarabioyo,ENG,DF,27-090,1997,7,443,63,29.0,4.9,5,82,4,2,16,10,2.0,12,4,8,1.63,0.8,12.4,7.3,5.0,1.02,0.53
ENG-Premier League,2425,Chelsea,Tyrique George,ENG,FW,18-323,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Wesley Fofana,FRA,DF,24-006,2000,12,1015,85,66.3,11.3,12,85,10,0,,0,2.08,24,12,12,1.06,0.02,21.4,14.8,6.6,0.59,-0.18
ENG-Premier League,2425,Crystal Palace,Adam Wharton,ENG,MF,20-204,2004,8,622,78,40.7,6.9,8,78,3,0,,1,0.75,6,9,-3,-0.43,0.06,6.8,9.3,-2.5,-0.37,-0.51
ENG-Premier League,2425,Crystal Palace,Asher Agbinone,ENG,MF,19-086,2005,2,6,3,0.4,0.1,0,,0,2,3,8,0.0,0,0,0,0.0,0.47,0.1,0.0,0.1,1.71,1.78
ENG-Premier League,2425,Crystal Palace,Caleb Kporha,ENG,DF,18-161,2006,2,13,7,0.8,0.1,0,,0,2,7,8,0.0,0,1,-1,-6.92,-6.51,0.1,0.1,0.0,0.0,0.06
ENG-Premier League,2425,Crystal Palace,Chadi Riad,MAR,DF,21-189,2003,1,90,90,5.9,1.0,1,90,1,0,,1,0.0,0,2,-2,-2.0,-1.63,1.3,1.4,0.0,-0.01,0.05
ENG-Premier League,2425,Crystal Palace,Cheick Doucouré,MLI,MF,24-350,2000,9,270,30,17.6,3.0,3,51,0,6,20,3,1.11,3,5,-2,-0.67,-0.24,4.3,5.6,-1.3,-0.42,-0.44
ENG-Premier League,2425,Crystal Palace,Chris Richards,USA,DF,24-270,2000,7,445,64,29.1,4.9,5,87,3,2,6,4,0.86,3,10,-7,-1.42,-1.33,5.1,9.1,-4.1,-0.82,-1.07
ENG-Premier League,2425,Crystal Palace,Daichi Kamada,JPN,MF,28-140,1996,13,711,55,46.5,7.9,8,77,2,5,18,1,0.77,8,15,-7,-0.89,-0.78,11.4,12.6,-1.2,-0.15,-0.17
ENG-Premier League,2425,Crystal Palace,Daniel Muñoz,COL,DF,28-211,1996,16,1353,85,88.4,15.0,16,85,13,0,,0,1.0,16,21,-5,-0.33,1.19,20.3,20.9,-0.7,-0.04,0.17
ENG-Premier League,2425,Crystal Palace,Dean Henderson,ENG,GK,27-286,1997,17,1530,90,100.0,17.0,17,90,17,0,,0,0.94,18,26,-8,-0.47,,23.5,24.5,-1.1,-0.06,
ENG-Premier League,2425,Crystal Palace,Eberechi Eze,ENG,"MF,FW",26-177,1998,13,1078,83,70.5,12.0,13,83,8,0,,0,1.08,11,14,-3,-0.25,0.75,14.8,15.2,-0.4,-0.03,0.11
ENG-Premier League,2425,Crystal Palace,Eddie Nketiah,ENG,"MF,FW",25-207,1999,12,579,48,37.8,6.4,6,78,2,6,19,0,1.17,7,10,-3,-0.47,0.01,8.9,8.2,0.7,0.1,0.27
ENG-Premier League,2425,Crystal Palace,Franco Umeh-Chibueze,IRL,MF,19-332,2005,0,,,,,0,,0,0,,6,,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Ismaila Sarr,SEN,"MF,FW",26-302,1998,17,1005,59,65.7,11.2,10,86,3,7,21,0,0.94,14,17,-3,-0.27,0.59,18.5,15.1,3.4,0.3,1.07
ENG-Premier League,2425,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27-178,1997,17,1253,74,81.9,13.9,15,80,10,2,28,0,0.94,16,21,-5,-0.36,0.62,19.6,20.0,-0.4,-0.03,0.2
ENG-Premier League,2425,Crystal Palace,Jefferson Lerma,COL,MF,30-059,1994,13,824,63,53.9,9.2,9,77,6,4,34,1,1.0,9,14,-5,-0.55,-0.16,12.7,11.3,1.4,0.15,0.46
ENG-Premier League,2425,Crystal Palace,Jeffrey Schlupp,GHA,"MF,DF",32-000,1992,11,102,9,6.7,1.1,0,,0,11,9,6,0.55,2,3,-1,-0.88,-0.44,2.1,1.8,0.3,0.25,0.33
ENG-Premier League,2425,Crystal Palace,Joachim Andersen,DEN,DF,28-206,1996,1,90,90,5.9,1.0,1,90,1,0,,0,0.0,1,2,-1,-1.0,-0.56,1.2,1.6,-0.4,-0.42,-0.38
ENG-Premier League,2425,Crystal Palace,Joel Ward,ENG,"DF,MF",35-055,1989,0,,,,,0,,0,0,,14,,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Jordan Ayew,GHA,"FW,MF",33-103,1991,1,21,21,1.4,0.2,0,,0,1,21,0,0.0,0,1,-1,-4.29,-3.87,0.7,1.0,-0.2,-0.99,-0.94
ENG-Premier League,2425,Crystal Palace,Justin Devenny,NIR,MF,21-073,2003,7,229,33,15.0,2.5,2,73,0,5,17,2,1.29,3,3,0,0.0,0.55,3.3,4.6,-1.4,-0.53,-0.55
ENG-Premier League,2425,Crystal Palace,Kaden Rodney,ENG,DF,20-077,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Marc Guéhi,ENG,DF,24-163,2000,17,1530,90,100.0,17.0,17,90,17,0,,0,0.94,18,26,-8,-0.47,,23.5,24.5,-1.1,-0.06,
ENG-Premier League,2425,Crystal Palace,Matt Turner,USA,GK,30-182,1994,0,,,,,0,,0,0,,13,,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Maxence Lacroix,FRA,DF,24-261,2000,14,1260,90,82.4,14.0,14,90,14,0,,0,1.07,16,21,-5,-0.36,0.64,20.4,19.2,1.2,0.08,0.84
ENG-Premier League,2425,Crystal Palace,Naouirou Ahamada,FRA,MF,22-269,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Nathaniel Clyne,ENG,"DF,MF",33-262,1991,8,382,48,25.0,4.2,4,74,1,4,22,9,0.88,3,9,-6,-1.41,-1.26,6.0,8.6,-2.6,-0.62,-0.74
ENG-Premier League,2425,Crystal Palace,Odsonne Édouard,FRA,"MF,FW",26-342,1998,2,115,58,7.5,1.3,1,70,0,1,45,0,0.0,1,2,-1,-0.78,-0.34,1.7,2.1,-0.4,-0.28,-0.24
ENG-Premier League,2425,Crystal Palace,Remi Matthews,ENG,GK,30-317,1994,0,,,,,0,,0,0,,5,,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Rob Holding,ENG,DF,29-094,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Sam Johnstone,ENG,GK,31-273,1993,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Trevoh Chalobah,ENG,DF,25-171,1999,10,880,88,57.5,9.8,10,88,7,0,,2,1.3,11,12,-1,-0.1,0.87,14.2,12.9,1.3,0.13,0.46
ENG-Premier League,2425,Crystal Palace,Tyrick Mitchell,ENG,DF,25-113,1999,17,1474,87,96.3,16.4,17,87,13,0,,0,0.94,17,25,-8,-0.49,-0.49,21.4,23.8,-2.4,-0.15,-2.32
ENG-Premier League,2425,Crystal Palace,Will Hughes,ENG,MF,29-250,1995,15,953,64,62.3,10.6,10,78,2,5,34,0,1.07,15,16,-1,-0.09,1.0,16.3,16.0,0.4,0.04,0.26
ENG-Premier League,2425,Crystal Palace,Zachariah Marsh,ENG,FW,19-078,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Everton,Abdoulaye Doucouré,MLI,MF,31-357,1993,14,1073,77,74.5,11.9,13,82,7,1,8,1,1.14,9,14,-5,-0.42,0.07,10.2,16.3,-6.1,-0.51,-0.68
ENG-Premier League,2425,Everton,Armando Broja,ALB,FW,23-104,2001,2,33,17,2.3,0.4,0,,0,2,17,0,2.0,0,0,0,0.0,0.45,0.4,0.1,0.2,0.67,1.04
ENG-Premier League,2425,Everton,Ashley Young,ENG,DF,39-167,1985,14,1200,86,83.3,13.3,14,86,11,0,,1,1.14,12,13,-1,-0.07,2.18,12.6,16.1,-3.5,-0.27,0.45
ENG-Premier League,2425,Everton,Asmir Begović,BIH,GK,37-186,1987,0,,,,,0,,0,0,,6,,,,,,,,,,,
ENG-Premier League,2425,Everton,Beto,GNB,FW,26-327,1998,10,205,21,14.2,2.3,1,66,0,9,15,6,0.4,1,9,-8,-3.51,-3.59,3.2,3.5,-0.4,-0.16,0.21
ENG-Premier League,2425,Everton,Callum Bates,ENG,MF,19-086,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2425,Everton,Dominic Calvert-Lewin,ENG,FW,27-282,1997,16,1231,77,85.5,13.7,15,80,6,1,24,0,1.0,13,12,1,0.07,3.52,12.9,17.9,-5.0,-0.37,-0.19
ENG-Premier League,2425,Everton,Dwight McNeil,ENG,"MF,FW",25-031,1999,13,1140,88,79.2,12.7,13,88,10,0,,0,1.0,13,21,-8,-0.63,-0.93,12.8,18.1,-5.3,-0.42,-0.37
ENG-Premier League,2425,Everton,Harrison Armstrong,ENG,MF,17-339,2007,2,3,2,0.2,0.0,0,,0,2,2,14,1.5,0,0,0,0.0,0.44,0.2,0.0,0.2,5.07,5.43
ENG-Premier League,2425,Everton,Idrissa Gana Gueye,SEN,MF,35-088,1989,15,1160,77,80.6,12.9,13,86,10,2,21,0,1.0,11,18,-7,-0.54,-0.54,13.3,17.3,-4.0,-0.31,0.16
ENG-Premier League,2425,Everton,Iliman Ndiaye,SEN,FW,24-292,2000,16,1256,79,87.2,14.0,14,85,9,2,31,0,1.0,14,13,1,0.07,3.98,12.5,15.9,-3.4,-0.25,0.73
ENG-Premier League,2425,Everton,Jack Harrison,ENG,FW,28-033,1996,15,804,54,55.8,8.9,9,73,2,6,25,1,1.0,8,12,-4,-0.45,-0.02,9.6,14.6,-5.0,-0.56,-0.49
ENG-Premier League,2425,Everton,Jake O'Brien,IRL,DF,23-222,2001,2,36,18,2.5,0.4,0,,0,2,18,14,0.0,0,1,-1,-2.5,-2.12,0.4,0.8,-0.4,-1.03,-0.71
ENG-Premier League,2425,Everton,James Garner,ENG,"DF,MF",23-285,2001,4,253,63,17.6,2.8,2,90,2,2,37,1,1.25,2,4,-2,-0.71,-0.33,2.7,4.5,-1.8,-0.65,-0.37
ENG-Premier League,2425,Everton,James Tarkowski,ENG,DF,32-034,1992,16,1431,89,99.4,15.9,16,89,15,0,,0,1.0,14,21,-7,-0.44,-0.44,15.7,21.2,-5.5,-0.35,-1.14
ENG-Premier League,2425,Everton,Jarrad Branthwaite,ENG,DF,22-179,2002,9,638,71,44.3,7.1,7,90,7,2,4,0,1.22,7,5,2,0.28,1.29,6.3,7.1,-0.8,-0.11,0.42
ENG-Premier League,2425,Everton,Jenson Metcalfe,ENG,MF,20-108,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2425,Everton,Jesper Lindstrøm,DEN,FW,24-298,2000,12,537,45,37.3,6.0,6,70,1,6,20,3,1.0,2,8,-6,-1.01,-0.91,6.5,5.7,0.8,0.14,0.77
ENG-Premier League,2425,Everton,Jordan Pickford,ENG,GK,30-291,1994,16,1440,90,100.0,16.0,16,90,16,0,,0,1.0,14,21,-7,-0.44,,15.8,21.3,-5.5,-0.34,
ENG-Premier League,2425,Everton,João Virgínia,POR,GK,25-074,1999,0,,,,,0,,0,0,,16,,,,,,,,,,,
ENG-Premier League,2425,Everton,Mason Holgate,ENG,"FW,DF",28-062,1996,1,6,6,0.4,0.1,0,,0,1,6,1,0.0,0,1,-1,-15.0,-14.62,0.0,0.1,-0.1,-1.02,-0.68
ENG-Premier League,2425,Everton,Michael Keane,ENG,DF,31-347,1993,9,810,90,56.3,9.0,9,90,9,0,,5,0.67,8,16,-8,-0.89,-1.03,10.0,14.2,-4.3,-0.48,-0.31
