,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,27-076,1997,9,7,695,7.7,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.6,4,30,15,0.0,0.13,0.13,0.0,0.13,0.02,0.06,0.07,0.02,0.07
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",23-109,2001,16,16,1268,14.1,5,10,15,4,1,1,3,0,4.2,3.4,5.8,9.2,72,53,195,0.35,0.71,1.06,0.28,0.99,0.3,0.41,0.71,0.24,0.65
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,29-099,1995,17,17,1530,17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25-344,1999,15,14,1196,13.3,1,3,4,1,0,0,5,1,1.1,1.1,3.4,4.6,41,89,40,0.08,0.23,0.3,0.08,0.3,0.08,0.26,0.34,0.08,0.34
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"MF,FW",17-277,2007,10,0,117,1.3,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.3,8,7,8,0.77,0.0,0.77,0.77,0.77,0.12,0.13,0.25,0.12,0.25
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27-264,1997,14,3,358,4.0,2,0,2,2,0,0,4,0,1.7,1.7,0.5,2.2,8,11,35,0.5,0.0,0.5,0.5,0.5,0.44,0.12,0.56,0.44,0.56
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,27-004,1997,15,15,1268,14.1,3,1,4,3,0,0,2,0,2.1,2.1,0.5,2.6,5,59,8,0.21,0.07,0.28,0.21,0.28,0.15,0.03,0.18,0.15,0.18
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23-188,2001,15,11,946,10.5,4,2,6,4,0,0,1,0,3.0,3.0,2.2,5.2,57,18,129,0.38,0.19,0.57,0.38,0.57,0.29,0.21,0.5,0.29,0.5
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24-312,2000,8,2,327,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,33-003,1991,8,5,393,4.4,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,8,29,2,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23-189,2001,15,14,1215,13.5,1,1,2,1,0,0,4,0,0.7,0.7,0.6,1.3,23,60,42,0.07,0.07,0.15,0.07,0.15,0.05,0.05,0.1,0.05,0.1
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25-195,1999,16,16,1390,15.4,6,2,8,6,0,0,2,0,6.7,6.7,2.2,8.9,24,47,79,0.39,0.13,0.52,0.39,0.52,0.44,0.14,0.58,0.44,0.58
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,30-019,1994,17,10,917,10.2,3,1,4,3,0,0,2,1,3.0,3.0,2.1,5.1,31,43,75,0.29,0.1,0.39,0.29,0.39,0.29,0.21,0.5,0.29,0.5
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,26-006,1998,10,10,816,9.1,1,2,3,0,1,1,1,0,2.3,1.5,1.7,3.2,27,91,51,0.11,0.22,0.33,0.0,0.22,0.25,0.19,0.44,0.16,0.35
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,MF,28-184,1996,10,5,480,5.3,1,0,1,1,0,0,1,0,1.3,1.3,0.8,2.0,2,22,25,0.19,0.0,0.19,0.19,0.19,0.24,0.15,0.38,0.24,0.38
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18-088,2006,4,2,141,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",28-008,1996,6,2,238,2.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,19,6,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,"MF,FW",30-015,1994,6,2,148,1.6,0,1,1,0,0,0,0,0,0.5,0.5,0.2,0.7,10,6,19,0.0,0.61,0.61,0.0,0.61,0.31,0.1,0.41,0.31,0.41
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,FW,25-013,1999,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,22-218,2002,9,6,540,6.0,1,1,2,1,0,0,1,0,0.5,0.5,0.1,0.7,8,24,13,0.17,0.17,0.33,0.17,0.33,0.09,0.02,0.12,0.09,0.12
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26-048,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,2.37,2.37,2.37
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31-193,1993,16,14,1309,14.5,2,2,4,2,0,0,2,0,1.2,1.2,1.3,2.6,8,88,13,0.14,0.14,0.28,0.14,0.28,0.09,0.09,0.18,0.09,0.18
ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,23-274,2001,16,16,1379,15.3,2,0,2,2,0,0,2,1,1.9,1.9,0.5,2.3,8,53,2,0.13,0.0,0.13,0.13,0.13,0.12,0.03,0.15,0.12,0.15
ENG-Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,23-129,2001,12,11,810,9.0,2,0,2,2,0,0,3,0,1.8,1.8,0.1,1.9,9,24,9,0.22,0.0,0.22,0.22,0.22,0.2,0.02,0.22,0.2,0.22
ENG-Premier League,2425,Aston Villa,Boubacar Kamara,FRA,MF,25-030,1999,8,5,436,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,4,21,2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
ENG-Premier League,2425,Aston Villa,Diego Carlos,BRA,DF,31-283,1993,9,7,740,8.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,3,34,0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08
ENG-Premier League,2425,Aston Villa,Emi Buendía,ARG,"MF,FW",27-364,1996,8,0,44,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,5,5,0.0,0.0,0.0,0.0,0.0,0.18,0.04,0.22,0.18,0.22
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,32-112,1992,17,17,1485,16.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Aston Villa,Ezri Konsa,ENG,DF,27-061,1997,15,15,1271,14.1,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,11,39,7,0.07,0.0,0.07,0.07,0.07,0.04,0.01,0.05,0.04,0.05
ENG-Premier League,2425,Aston Villa,Ian Maatsen,NED,DF,22-288,2002,13,2,290,3.2,0,0,0,0,0,0,1,0,0.1,0.1,1.1,1.2,8,16,26,0.0,0.0,0.0,0.0,0.0,0.02,0.34,0.37,0.02,0.37
ENG-Premier League,2425,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23-209,2001,10,7,633,7.0,0,2,2,0,0,0,1,0,0.7,0.7,1.3,2.0,28,28,54,0.0,0.28,0.28,0.0,0.28,0.1,0.18,0.28,0.1,0.28
ENG-Premier League,2425,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",22-319,2002,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,0.0,0.0,0.0,0.0,0.0,0.13,0.08,0.2,0.13,0.2
ENG-Premier League,2425,Aston Villa,Jhon Durán,COL,FW,21-010,2003,17,3,571,6.3,7,0,7,7,0,0,3,0,4.8,4.8,0.2,5.0,7,12,36,1.1,0.0,1.1,1.1,1.1,0.75,0.03,0.78,0.75,0.78
ENG-Premier League,2425,Aston Villa,John McGinn,SCO,"FW,MF",30-066,1994,15,13,1067,11.9,0,3,3,0,0,0,3,0,1.8,1.8,2.4,4.3,19,51,49,0.0,0.25,0.25,0.0,0.25,0.16,0.21,0.36,0.16,0.36
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,19-007,2005,3,0,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,NED,DF,20-353,2004,3,3,213,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,7,8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
ENG-Premier League,2425,Aston Villa,Leon Bailey,JAM,"FW,MF",27-136,1997,14,10,731,8.1,0,2,2,0,0,0,2,0,0.6,0.6,1.3,1.8,35,21,67,0.0,0.25,0.25,0.0,0.25,0.07,0.16,0.23,0.07,0.23
ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31-156,1993,17,15,1255,13.9,0,2,2,0,0,0,3,0,0.5,0.5,3.0,3.5,12,24,85,0.0,0.14,0.14,0.0,0.14,0.04,0.21,0.25,0.04,0.25
ENG-Premier League,2425,Aston Villa,Matty Cash,POL,"DF,FW",27-138,1997,11,10,830,9.2,1,0,1,1,0,0,4,0,0.1,0.1,0.2,0.3,16,18,25,0.11,0.0,0.11,0.11,0.11,0.01,0.02,0.04,0.01,0.04
ENG-Premier League,2425,Aston Villa,Morgan Rogers,ENG,"MF,FW",22-150,2002,17,17,1400,15.6,5,3,8,5,0,0,4,0,3.5,3.5,3.9,7.4,54,60,85,0.32,0.19,0.51,0.32,0.51,0.23,0.25,0.48,0.23,0.48
ENG-Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,28-359,1995,17,14,1137,12.6,7,3,10,6,1,1,0,0,8.8,8.0,1.6,9.6,24,12,80,0.55,0.24,0.79,0.47,0.71,0.7,0.13,0.82,0.63,0.76
ENG-Premier League,2425,Aston Villa,Pau Torres,ESP,DF,27-342,1997,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.4,30,69,4,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34-350,1990,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Aston Villa,Ross Barkley,ENG,MF,31-018,1993,13,2,449,5.0,2,1,3,2,0,0,3,0,1.5,1.5,0.5,2.1,11,25,8,0.4,0.2,0.6,0.4,0.6,0.31,0.11,0.42,0.31,0.42
ENG-Premier League,2425,Aston Villa,Tyrone Mings,ENG,DF,31-285,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16
ENG-Premier League,2425,Aston Villa,Youri Tielemans,BEL,MF,27-230,1997,17,17,1464,16.3,0,4,4,0,0,1,3,0,1.4,0.6,4.2,4.8,20,111,17,0.0,0.25,0.25,0.0,0.25,0.08,0.26,0.34,0.03,0.29
ENG-Premier League,2425,Bournemouth,Adam Smith,ENG,DF,33-238,1991,17,12,1035,11.5,0,0,0,0,0,0,4,0,0.6,0.6,0.1,0.7,7,31,16,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06
ENG-Premier League,2425,Bournemouth,Alex Scott,ENG,MF,21-124,2003,8,2,263,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,5,32,14,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.12,0.05,0.12
ENG-Premier League,2425,Bournemouth,Antoine Semenyo,GHA,FW,24-351,2000,16,16,1386,15.4,5,1,6,5,0,0,5,0,5.6,5.6,2.8,8.4,68,42,131,0.32,0.06,0.39,0.32,0.39,0.36,0.18,0.55,0.36,0.55
ENG-Premier League,2425,Bournemouth,Dango Ouattara,BFA,"FW,DF",22-316,2002,14,6,702,7.8,2,3,5,2,0,0,0,0,3.3,3.3,3.8,7.1,31,15,79,0.26,0.38,0.64,0.26,0.64,0.42,0.49,0.91,0.42,0.91
ENG-Premier League,2425,Bournemouth,Daniel Jebbison,ENG,FW,21-132,2003,2,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07
ENG-Premier League,2425,Bournemouth,David Brooks,WAL,"FW,MF",27-168,1997,10,1,176,2.0,1,0,1,1,0,0,1,0,0.5,0.5,0.6,1.2,7,9,33,0.51,0.0,0.51,0.51,0.51,0.27,0.33,0.6,0.27,0.6
ENG-Premier League,2425,Bournemouth,Dean Huijsen,ESP,DF,19-253,2005,11,6,614,6.8,2,0,2,2,0,0,2,0,1.0,1.0,0.5,1.5,7,31,1,0.29,0.0,0.29,0.29,0.29,0.15,0.07,0.21,0.15,0.21
ENG-Premier League,2425,Bournemouth,Enes Ünal,TUR,"FW,MF",27-227,1997,14,1,245,2.7,2,1,3,2,0,0,1,0,2.3,2.3,0.2,2.5,4,8,14,0.73,0.37,1.1,0.73,1.1,0.83,0.08,0.92,0.83,0.92
ENG-Premier League,2425,Bournemouth,Evanilson,BRA,FW,25-078,1999,16,15,1179,13.1,4,0,4,4,0,1,0,0,6.0,5.2,1.1,6.2,16,10,47,0.31,0.0,0.31,0.31,0.31,0.46,0.08,0.54,0.4,0.48
ENG-Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,DF,22-113,2002,17,17,1530,17.0,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,10,62,3,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04
ENG-Premier League,2425,Bournemouth,James Hill,ENG,MF,22-348,2002,2,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Bournemouth,Julian Araujo,MEX,DF,23-132,2001,8,5,355,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,14,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Bournemouth,Justin Kluivert,NED,"MF,FW",25-232,1999,17,14,1056,11.7,6,2,8,1,5,5,4,0,6.1,2.2,2.0,4.2,25,40,81,0.51,0.17,0.68,0.09,0.26,0.52,0.17,0.69,0.18,0.36
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30-081,1994,12,12,1080,12.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Bournemouth,Lewis Cook,ENG,"MF,DF",27-324,1997,16,14,1312,14.6,1,3,4,1,0,0,4,0,0.6,0.6,2.3,2.8,17,83,21,0.07,0.21,0.27,0.07,0.27,0.04,0.16,0.19,0.04,0.19
ENG-Premier League,2425,Bournemouth,Luis Sinisterra,COL,"FW,MF",25-189,1999,8,1,208,2.3,1,1,2,1,0,0,0,0,1.1,1.1,1.0,2.1,14,3,29,0.43,0.43,0.87,0.43,0.87,0.48,0.44,0.92,0.48,0.92
ENG-Premier League,2425,Bournemouth,Marcos Senesi,ARG,DF,27-227,1997,11,11,917,10.2,0,0,0,0,0,0,4,0,0.8,0.8,0.4,1.2,11,45,3,0.0,0.0,0.0,0.0,0.0,0.08,0.04,0.12,0.08,0.12
ENG-Premier League,2425,Bournemouth,Marcus Tavernier,ENG,"FW,MF",25-276,1999,15,13,1140,12.7,1,4,5,1,0,0,2,0,4.1,4.1,2.6,6.7,26,70,83,0.08,0.32,0.39,0.08,0.39,0.32,0.2,0.53,0.32,0.53
ENG-Premier League,2425,Bournemouth,Mark Travers,IRL,GK,25-219,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Bournemouth,Max Aarons,ENG,DF,24-354,2000,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Bournemouth,Milos Kerkez,HUN,DF,21-046,2003,17,17,1457,16.2,1,2,3,1,0,0,2,0,0.3,0.3,2.5,2.7,41,74,74,0.06,0.12,0.19,0.06,0.19,0.02,0.15,0.17,0.02,0.17
ENG-Premier League,2425,Bournemouth,Neto,BRA,GK,35-157,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Bournemouth,Philip Billing,DEN,MF,28-195,1996,7,0,84,0.9,0,0,0,0,0,0,0,0,0.3,0.3,0.8,1.2,2,11,8,0.0,0.0,0.0,0.0,0.0,0.36,0.88,1.24,0.36,1.24
ENG-Premier League,2425,Bournemouth,Ryan Christie,SCO,MF,29-305,1995,16,14,1134,12.6,1,1,2,1,0,0,5,0,0.8,0.8,1.8,2.6,19,83,27,0.08,0.08,0.16,0.08,0.16,0.06,0.14,0.21,0.06,0.21
ENG-Premier League,2425,Bournemouth,Tyler Adams,USA,MF,25-313,1999,8,5,456,5.1,0,0,0,0,0,0,2,0,1.1,1.1,0.4,1.5,2,19,0,0.0,0.0,0.0,0.0,0.0,0.21,0.09,0.3,0.21,0.3
ENG-Premier League,2425,Brentford,Ben Mee,ENG,DF,35-093,1989,4,1,99,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brentford,Bryan Mbeumo,CMR,FW,25-138,1999,17,17,1524,16.9,10,2,12,8,2,2,2,0,4.9,3.3,3.3,6.6,51,60,179,0.59,0.12,0.71,0.47,0.59,0.29,0.19,0.48,0.19,0.39
ENG-Premier League,2425,Brentford,Christian Nørgaard,DEN,MF,30-288,1994,14,14,1154,12.8,1,2,3,1,0,0,2,1,1.8,1.8,0.4,2.2,6,63,19,0.08,0.16,0.23,0.08,0.23,0.14,0.03,0.17,0.14,0.17
ENG-Premier League,2425,Brentford,Edmond-Paris Maghoma,ENG,MF,23-229,2001,3,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brentford,Ethan Pinnock,JAM,DF,31-208,1993,16,16,1440,16.0,2,0,2,2,0,0,2,0,0.9,0.9,1.2,2.0,2,33,8,0.12,0.0,0.12,0.12,0.12,0.05,0.07,0.13,0.05,0.13
ENG-Premier League,2425,Brentford,Fabio Carvalho,POR,"FW,MF",22-115,2002,16,3,428,4.8,1,1,2,1,0,0,1,0,2.1,2.1,0.5,2.7,8,16,21,0.21,0.21,0.42,0.21,0.42,0.45,0.11,0.56,0.45,0.56
ENG-Premier League,2425,Brentford,Frank Onyeka,NGA,MF,26-357,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brentford,Jayden Meghoma,ENG,DF,18-178,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,FW",23-305,2001,17,15,1289,14.3,0,1,1,0,0,0,3,0,0.9,0.9,1.1,2.0,45,43,82,0.0,0.07,0.07,0.0,0.07,0.07,0.08,0.14,0.07,0.14
ENG-Premier League,2425,Brentford,Kevin Schade,GER,FW,23-026,2001,17,8,758,8.4,4,2,6,4,0,0,2,0,3.6,3.6,1.1,4.6,24,14,64,0.47,0.24,0.71,0.47,0.71,0.42,0.13,0.55,0.42,0.55
ENG-Premier League,2425,Brentford,Kristoffer Ajer,NOR,DF,26-250,1998,10,9,717,8.0,0,0,0,0,0,0,3,0,0.5,0.5,0.7,1.2,15,27,16,0.0,0.0,0.0,0.0,0.0,0.06,0.09,0.15,0.06,0.15
ENG-Premier League,2425,Brentford,Mads Roerslev,DEN,DF,25-182,1999,13,5,565,6.3,0,1,1,0,0,0,1,0,0.0,0.0,1.8,1.8,10,36,35,0.0,0.16,0.16,0.0,0.16,0.0,0.29,0.29,0.0,0.29
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31-193,1993,17,17,1530,17.0,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,0,0,0,0.0,0.06,0.06,0.0,0.06,0.0,0.01,0.01,0.0,0.01
ENG-Premier League,2425,Brentford,Mathias Jensen,DEN,MF,28-357,1996,8,6,479,5.3,0,1,1,0,0,0,1,0,0.2,0.2,0.8,1.0,5,33,15,0.0,0.19,0.19,0.0,0.19,0.04,0.15,0.19,0.04,0.19
ENG-Premier League,2425,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24-173,2000,17,14,1190,13.2,2,4,6,2,0,0,1,0,1.6,1.6,3.7,5.4,31,99,54,0.15,0.3,0.45,0.15,0.45,0.12,0.28,0.41,0.12,0.41
ENG-Premier League,2425,Brentford,Nathan Collins,IRL,DF,23-237,2001,17,17,1530,17.0,2,1,3,2,0,0,2,0,2.0,2.0,1.3,3.2,14,68,8,0.12,0.06,0.18,0.12,0.18,0.11,0.08,0.19,0.11,0.19
ENG-Premier League,2425,Brentford,Ryan Trevitt,ENG,MF,21-286,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brentford,Sepp van den Berg,NED,DF,23-003,2001,14,13,1174,13.0,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.8,5,38,21,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06
ENG-Premier League,2425,Brentford,Thiago,BRA,FW,23-180,2001,4,1,132,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,2,4,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.11,0.07,0.11
ENG-Premier League,2425,Brentford,Vitaly Janelt,GER,MF,26-227,1998,16,14,1220,13.6,1,3,4,1,0,0,2,0,0.6,0.6,1.9,2.5,8,47,23,0.07,0.22,0.3,0.07,0.3,0.04,0.14,0.18,0.04,0.18
ENG-Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,20-297,2004,12,4,397,4.4,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,5,19,21,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.12,0.09,0.12
ENG-Premier League,2425,Brentford,Yoane Wissa,COD,FW,28-111,1996,14,13,1047,11.6,9,1,10,9,0,0,2,0,6.4,6.4,0.8,7.2,20,26,61,0.77,0.09,0.86,0.77,0.86,0.55,0.07,0.62,0.55,0.62
ENG-Premier League,2425,Brentford,Yunus Emre Konak,TUR,"MF,FW",18-348,2006,5,0,21,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,2,1,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.66,0.66,0.66
ENG-Premier League,2425,Brighton,Adam Webster,ENG,DF,29-354,1995,3,2,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
