,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
ENG-Premier League,2425,Fulham,Adama Traoré,ESP,"FW,MF",28-333,1996,16,10,850,9.4,1,3,4,1,0,0,2,0,2.9,2.9,2.6,5.5,47,31,74,0.11,0.32,0.42,0.11,0.42,0.31,0.28,0.58,0.31,0.58
ENG-Premier League,2425,Fulham,Alex Iwobi,NGA,"FW,MF",28-234,1996,17,17,1479,16.4,5,3,8,5,0,0,1,0,2.7,2.7,3.5,6.2,65,104,122,0.3,0.18,0.49,0.3,0.49,0.16,0.21,0.38,0.16,0.38
ENG-Premier League,2425,Fulham,Andreas Pereira,BRA,MF,28-357,1996,15,13,1011,11.2,2,0,2,2,0,1,5,0,2.8,2.0,2.0,4.1,11,57,46,0.18,0.0,0.18,0.18,0.18,0.25,0.18,0.43,0.18,0.36
ENG-Premier League,2425,Fulham,Antonee Robinson,USA,DF,27-137,1997,17,17,1530,17.0,0,6,6,0,0,0,3,0,0.3,0.3,2.7,3.0,53,62,124,0.0,0.35,0.35,0.0,0.35,0.02,0.16,0.18,0.02,0.18
ENG-Premier League,2425,Fulham,Bernd Leno,GER,GK,32-294,1992,17,17,1530,17.0,0,1,1,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.06,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Fulham,Calvin Bassey,NGA,DF,24-358,1999,16,16,1440,16.0,0,0,0,0,0,0,5,0,0.3,0.3,0.1,0.3,9,44,6,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
ENG-Premier League,2425,Fulham,Carlos Vinícius,BRA,MF,29-273,1995,1,0,4,0.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,1,0.0,0.0,0.0,0.0,0.0,1.36,0.0,1.36,1.36,1.36
ENG-Premier League,2425,Fulham,Emile Smith Rowe,ENG,MF,24-148,2000,16,14,1090,12.1,3,2,5,3,0,0,1,0,2.2,2.2,1.0,3.1,35,74,63,0.25,0.17,0.41,0.25,0.41,0.18,0.08,0.26,0.18,0.26
ENG-Premier League,2425,Fulham,Harrison Reed,ENG,MF,29-331,1995,8,0,61,0.7,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,3,7,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.13,0.02,0.13
ENG-Premier League,2425,Fulham,Harry Wilson,WAL,"FW,MF",27-276,1997,13,3,423,4.7,3,0,3,3,0,0,2,0,1.8,1.8,0.0,1.8,7,20,38,0.64,0.0,0.64,0.64,0.64,0.38,0.01,0.39,0.38,0.39
ENG-Premier League,2425,Fulham,Issa Diop,FRA,DF,27-349,1997,12,9,843,9.4,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,0,17,1,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.06,0.06,0.06
ENG-Premier League,2425,Fulham,Jay Stansfield,ENG,MF,22-029,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Fulham,Joachim Andersen,DEN,DF,28-206,1996,8,8,693,7.7,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.5,3,35,1,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06
ENG-Premier League,2425,Fulham,Jorge Cuenca,ESP,DF,25-036,1999,4,1,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Fulham,Joshua King,ENG,MF,17-355,2007,2,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07
ENG-Premier League,2425,Fulham,Kenny Tete,NED,DF,29-075,1995,15,15,1262,14.0,0,2,2,0,0,0,3,0,1.0,1.0,0.7,1.8,33,42,39,0.0,0.14,0.14,0.0,0.14,0.07,0.05,0.13,0.07,0.13
ENG-Premier League,2425,Fulham,Martial Godo,ENG,FW,21-284,2003,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Fulham,Raúl Jiménez,MEX,FW,33-232,1991,17,12,997,11.1,5,2,7,4,1,1,2,0,5.0,4.3,2.2,6.4,12,23,45,0.45,0.18,0.63,0.36,0.54,0.46,0.2,0.65,0.38,0.58
ENG-Premier League,2425,Fulham,Reiss Nelson,ENG,FW,25-013,1999,11,5,487,5.4,1,1,2,1,0,0,1,0,1.1,1.1,1.0,2.1,45,35,63,0.18,0.18,0.37,0.18,0.37,0.2,0.18,0.39,0.2,0.39
ENG-Premier League,2425,Fulham,Rodrigo Muniz,BRA,FW,23-233,2001,16,5,533,5.9,2,1,3,2,0,0,1,0,2.0,2.0,0.6,2.6,3,13,19,0.34,0.17,0.51,0.34,0.51,0.34,0.1,0.44,0.34,0.44
ENG-Premier League,2425,Fulham,Ryan Sessegnon,ENG,MF,24-219,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Fulham,Sander Berge,NOR,MF,26-313,1998,14,10,957,10.6,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,7,45,1,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05
ENG-Premier League,2425,Fulham,Saša Lukić,SRB,MF,28-132,1996,12,11,893,9.9,0,0,0,0,0,0,6,0,0.0,0.0,0.5,0.5,15,40,6,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05
ENG-Premier League,2425,Fulham,Timothy Castagne,BEL,DF,29-018,1995,7,2,273,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,2,10,10,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05
ENG-Premier League,2425,Fulham,Tom Cairney,SCO,MF,33-338,1991,11,1,253,2.8,1,0,1,1,0,0,2,1,0.1,0.1,0.5,0.6,5,34,12,0.36,0.0,0.36,0.36,0.36,0.02,0.19,0.21,0.02,0.21
ENG-Premier League,2425,Ipswich Town,Ali Al Hamadi,IRQ,FW,22-297,2002,8,0,119,1.3,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.4,4,3,12,0.0,0.0,0.0,0.0,0.0,0.27,0.05,0.32,0.27,0.32
ENG-Premier League,2425,Ipswich Town,Arijanet Muric,KVX,GK,26-046,1998,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Ipswich Town,Axel Tuanzebe,COD,DF,27-039,1997,9,9,770,8.6,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.4,4,20,3,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05
ENG-Premier League,2425,Ipswich Town,Ben Johnson,ENG,"DF,FW",24-334,2000,9,5,513,5.7,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,8,13,11,0.0,0.18,0.18,0.0,0.18,0.01,0.07,0.07,0.01,0.07
ENG-Premier League,2425,Ipswich Town,Cameron Burgess,AUS,DF,29-063,1995,9,9,810,9.0,0,1,1,0,0,0,0,0,0.6,0.6,0.3,0.9,2,25,3,0.0,0.11,0.11,0.0,0.11,0.07,0.04,0.1,0.07,0.1
ENG-Premier League,2425,Ipswich Town,Chiedozie Ogbene,IRL,FW,27-236,1997,5,3,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
ENG-Premier League,2425,Ipswich Town,Christian Walton,ENG,GK,29-044,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Ipswich Town,Conor Chaplin,ENG,"MF,FW",27-311,1997,15,7,614,6.8,1,1,2,1,0,0,1,0,1.2,1.2,0.6,1.8,10,25,20,0.15,0.15,0.29,0.15,0.29,0.17,0.09,0.26,0.17,0.26
ENG-Premier League,2425,Ipswich Town,Conor Townsend,ENG,MF,31-294,1993,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.0,1.6
ENG-Premier League,2425,Ipswich Town,Dara O'Shea,IRL,DF,25-294,1999,14,14,1232,13.7,0,0,0,0,0,0,3,0,0.6,0.6,0.0,0.6,2,38,1,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
ENG-Premier League,2425,Ipswich Town,George Edmundson,ENG,DF,27-114,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Ipswich Town,George Hirst,ENG,FW,25-312,1999,8,1,180,2.0,1,1,2,1,0,0,1,0,0.8,0.8,0.3,1.0,3,7,14,0.5,0.5,1.0,0.5,1.0,0.38,0.13,0.51,0.38,0.51
ENG-Premier League,2425,Ipswich Town,Harry Clarke,ENG,DF,23-296,2001,6,4,378,4.2,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,5,13,2,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
ENG-Premier League,2425,Ipswich Town,Jack Clarke,ENG,FW,24-030,2000,14,4,504,5.6,0,2,2,0,0,0,1,0,0.8,0.8,1.1,1.9,11,15,26,0.0,0.36,0.36,0.0,0.36,0.14,0.2,0.34,0.14,0.34
ENG-Premier League,2425,Ipswich Town,Jack Taylor,IRL,MF,26-183,1998,12,1,336,3.7,1,0,1,1,0,0,3,0,0.5,0.5,0.5,1.1,8,28,9,0.27,0.0,0.27,0.27,0.27,0.14,0.15,0.29,0.14,0.29
ENG-Premier League,2425,Ipswich Town,Jacob Greaves,ENG,DF,24-102,2000,8,8,720,8.0,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,1,17,3,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
ENG-Premier League,2425,Ipswich Town,Jens Cajuste,SWE,MF,25-135,1999,11,8,606,6.7,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,13,17,6,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05
ENG-Premier League,2425,Ipswich Town,Kalvin Phillips,ENG,MF,29-021,1995,8,7,566,6.3,0,0,0,0,0,0,3,1,0.3,0.3,0.1,0.4,4,28,1,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.06,0.05,0.06
ENG-Premier League,2425,Ipswich Town,Leif Davis,ENG,DF,24-346,2000,17,17,1530,17.0,1,2,3,1,0,0,2,0,0.6,0.6,3.2,3.8,28,35,73,0.06,0.12,0.18,0.06,0.18,0.04,0.19,0.23,0.04,0.23
ENG-Premier League,2425,Ipswich Town,Liam Delap,ENG,FW,21-319,2003,16,15,1186,13.2,6,1,7,6,0,0,4,0,4.4,4.4,1.3,5.7,25,15,52,0.46,0.08,0.53,0.46,0.53,0.33,0.1,0.44,0.33,0.44
ENG-Premier League,2425,Ipswich Town,Luke Woolfenden,ENG,DF,26-063,1998,5,4,378,4.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,9,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
ENG-Premier League,2425,Ipswich Town,Marcus Harness,ENG,MF,28-303,1996,2,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Ipswich Town,Massimo Luongo,AUS,MF,32-089,1992,5,2,143,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Ipswich Town,Nathan Broadhead,WAL,"FW,MF",26-262,1998,3,0,50,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,2,3,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.12,0.04,0.12
ENG-Premier League,2425,Ipswich Town,Omari Hutchinson,ENG,"MF,FW",21-054,2003,16,16,1356,15.1,1,1,2,1,0,0,4,0,1.3,1.3,1.5,2.8,46,40,77,0.07,0.07,0.13,0.07,0.13,0.09,0.1,0.19,0.09,0.19
ENG-Premier League,2425,Ipswich Town,Sam Morsy,EGY,MF,33-104,1991,16,16,1433,15.9,1,1,2,1,0,0,5,0,0.3,0.3,0.6,0.8,7,72,7,0.06,0.06,0.13,0.06,0.13,0.02,0.03,0.05,0.02,0.05
ENG-Premier League,2425,Ipswich Town,Sammie Szmodics,IRL,FW,29-090,1995,15,11,822,9.1,3,0,3,3,0,0,2,0,3.1,3.1,0.2,3.3,14,16,46,0.33,0.0,0.33,0.33,0.33,0.34,0.02,0.36,0.34,0.36
ENG-Premier League,2425,Ipswich Town,Wes Burns,WAL,FW,30-030,1994,14,9,732,8.1,0,1,1,0,0,0,1,0,0.4,0.4,1.6,2.0,31,5,59,0.0,0.12,0.12,0.0,0.12,0.05,0.19,0.24,0.05,0.24
ENG-Premier League,2425,Leicester City,Abdul Fatawu Issahaku,GHA,FW,20-290,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.0,0.31,0.31,0.0,0.31,0.06,0.24,0.31,0.06,0.31
ENG-Premier League,2425,Leicester City,Bilal El Khannouss,MAR,"MF,FW",20-227,2004,12,7,567,6.3,1,1,2,1,0,0,0,0,0.2,0.2,1.5,1.8,12,42,22,0.16,0.16,0.32,0.16,0.32,0.04,0.25,0.28,0.04,0.28
ENG-Premier League,2425,Leicester City,Bobby Reid,JAM,"FW,MF",31-325,1993,12,2,277,3.1,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.8,6,9,16,0.32,0.0,0.32,0.32,0.32,0.23,0.04,0.27,0.23,0.27
ENG-Premier League,2425,Leicester City,Boubakary Soumaré,FRA,MF,25-300,1999,10,6,565,6.3,0,0,0,0,0,0,6,0,0.1,0.1,0.1,0.2,6,25,7,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03
ENG-Premier League,2425,Leicester City,Caleb Okoli,ITA,DF,23-163,2001,10,9,784,8.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,3,21,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
ENG-Premier League,2425,Leicester City,Conor Coady,ENG,DF,31-302,1993,6,5,458,5.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
ENG-Premier League,2425,Leicester City,Danny Ward,WAL,GK,31-184,1993,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Leicester City,Facundo Buonanotte,ARG,"MF,FW",20-000,2004,14,10,922,10.2,4,2,6,4,0,0,5,0,3.2,3.2,2.6,5.8,27,33,41,0.39,0.2,0.59,0.39,0.59,0.31,0.26,0.56,0.31,0.56
ENG-Premier League,2425,Leicester City,Hamza Choudhury,ENG,"MF,DF",27-083,1997,3,1,111,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,2,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.32
ENG-Premier League,2425,Leicester City,Harry Winks,ENG,MF,28-325,1996,12,10,910,10.1,0,2,2,0,0,0,3,0,0.2,0.2,1.1,1.3,12,65,8,0.0,0.2,0.2,0.0,0.2,0.01,0.11,0.13,0.01,0.13
ENG-Premier League,2425,Leicester City,James Justin,ENG,DF,26-304,1998,16,16,1394,15.5,2,1,3,2,0,0,2,0,0.7,0.7,0.3,1.0,18,39,38,0.13,0.06,0.19,0.13,0.19,0.04,0.02,0.07,0.04,0.07
ENG-Premier League,2425,Leicester City,Jamie Vardy,ENG,FW,37-347,1987,16,16,1281,14.2,6,3,9,5,1,1,4,0,5.4,4.6,2.0,6.6,15,13,54,0.42,0.21,0.63,0.35,0.56,0.38,0.14,0.52,0.32,0.46
ENG-Premier League,2425,Leicester City,Jannik Vestergaard,DEN,DF,32-142,1992,9,8,690,7.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,1,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Leicester City,Jordan Ayew,GHA,"FW,MF",33-103,1991,15,8,741,8.2,3,0,3,2,1,1,3,0,2.2,1.4,0.2,1.6,15,16,40,0.36,0.0,0.36,0.24,0.24,0.26,0.02,0.29,0.17,0.19
ENG-Premier League,2425,Leicester City,Kasey McAteer,IRL,"FW,MF",23-031,2001,9,4,334,3.7,0,1,1,0,0,0,0,0,0.6,0.6,0.1,0.7,12,4,30,0.0,0.27,0.27,0.0,0.27,0.15,0.04,0.19,0.15,0.19
ENG-Premier League,2425,Leicester City,Luke Thomas,ENG,DF,23-196,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,5,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07
ENG-Premier League,2425,Leicester City,Mads Hermansen,DEN,GK,24-165,2000,16,16,1395,15.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Leicester City,Odsonne Édouard,FRA,FW,26-342,1998,4,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13
ENG-Premier League,2425,Leicester City,Oliver Skipp,ENG,MF,24-098,2000,11,7,682,7.6,0,0,0,0,0,0,4,0,0.1,0.1,0.2,0.3,12,19,10,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04
ENG-Premier League,2425,Leicester City,Patson Daka,ZAM,"FW,MF",26-075,1998,5,0,112,1.2,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,3,0,5,0.8,0.0,0.8,0.8,0.8,0.17,0.0,0.17,0.17,0.17
ENG-Premier League,2425,Leicester City,Ricardo Pereira,POR,DF,31-078,1993,2,2,146,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Leicester City,Stephy Mavididi,ENG,FW,26-206,1998,16,9,850,9.4,2,0,2,2,0,0,2,0,1.1,1.1,1.0,2.1,45,39,71,0.21,0.0,0.21,0.21,0.21,0.11,0.11,0.22,0.11,0.22
ENG-Premier League,2425,Leicester City,Victor Bernth Kristiansen,DEN,DF,22-007,2002,15,15,1307,14.5,0,1,1,0,0,0,1,0,0.0,0.0,1.0,1.0,19,37,39,0.0,0.07,0.07,0.0,0.07,0.0,0.07,0.07,0.0,0.07
ENG-Premier League,2425,Leicester City,Wilfred Ndidi,NGA,MF,28-007,1996,15,15,1215,13.5,0,4,4,0,0,0,4,0,1.4,1.4,1.4,2.8,9,37,49,0.0,0.3,0.3,0.0,0.3,0.1,0.1,0.2,0.1,0.2
ENG-Premier League,2425,Leicester City,Wout Faes,BEL,DF,26-264,1998,16,13,1256,14.0,1,0,1,1,0,0,2,0,0.9,0.9,0.0,1.0,5,48,1,0.07,0.0,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.07
ENG-Premier League,2425,Liverpool,Alexis Mac Allister,ARG,MF,25-365,1998,15,13,1053,11.7,1,0,1,1,0,0,5,0,1.0,1.0,1.4,2.4,14,67,31,0.09,0.0,0.09,0.09,0.09,0.09,0.12,0.21,0.09,0.21
ENG-Premier League,2425,Liverpool,Alisson,BRA,GK,32-082,1992,8,8,708,7.9,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05
ENG-Premier League,2425,Liverpool,Andrew Robertson,SCO,DF,30-287,1994,15,14,1131,12.6,0,0,0,0,0,0,1,1,0.5,0.5,2.3,2.7,25,75,35,0.0,0.0,0.0,0.0,0.0,0.04,0.18,0.22,0.04,0.22
ENG-Premier League,2425,Liverpool,Caoimhín Kelleher,IRL,GK,26-030,1998,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Liverpool,Cody Gakpo,NED,FW,25-230,1999,16,8,758,8.4,3,1,4,3,0,0,4,0,2.9,2.9,1.4,4.4,21,23,115,0.36,0.12,0.47,0.36,0.47,0.35,0.17,0.52,0.35,0.52
ENG-Premier League,2425,Liverpool,Conor Bradley,NIR,DF,21-167,2003,7,1,236,2.6,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,10,10,15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15
ENG-Premier League,2425,Liverpool,Curtis Jones,ENG,MF,23-328,2001,13,7,660,7.3,2,1,3,2,0,0,1,0,1.9,1.9,0.2,2.1,9,40,26,0.27,0.14,0.41,0.27,0.41,0.26,0.03,0.29,0.26,0.29
ENG-Premier League,2425,Liverpool,Darwin Núñez,URU,FW,25-182,1999,13,6,649,7.2,2,2,4,2,0,0,4,0,2.2,2.2,0.9,3.1,16,14,45,0.28,0.28,0.55,0.28,0.55,0.3,0.13,0.43,0.3,0.43
ENG-Premier League,2425,Liverpool,Diogo Jota,POR,FW,28-019,1996,9,7,527,5.9,3,2,5,3,0,0,1,0,3.2,3.2,1.1,4.4,18,12,41,0.51,0.34,0.85,0.51,0.85,0.55,0.2,0.75,0.55,0.75
ENG-Premier League,2425,Liverpool,Dominik Szoboszlai,HUN,MF,24-059,2000,16,12,1118,12.4,2,2,4,2,0,0,4,0,3.7,3.7,2.7,6.4,37,55,46,0.16,0.16,0.32,0.16,0.32,0.3,0.22,0.51,0.3,0.51
ENG-Premier League,2425,Liverpool,Federico Chiesa,ITA,FW,27-059,1997,1,0,19,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,0,2,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.76,0.76,0.76
ENG-Premier League,2425,Liverpool,Harvey Elliott,ENG,"FW,DF",21-263,2003,4,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,2,4,4,0.0,0.0,0.0,0.0,0.0,0.13,0.43,0.56,0.13,0.56
ENG-Premier League,2425,Liverpool,Ibrahima Konaté,FRA,DF,25-212,1999,12,11,974,10.8,1,1,2,1,0,0,4,0,0.8,0.8,0.2,1.0,5,35,1,0.09,0.09,0.18,0.09,0.18,0.08,0.02,0.1,0.08,0.1
ENG-Premier League,2425,Liverpool,Jarell Quansah,ENG,DF,21-329,2003,4,2,174,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Liverpool,Joe Gomez,ENG,DF,27-214,1997,7,4,393,4.4,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,17,1,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08
ENG-Premier League,2425,Liverpool,Kostas Tsimikas,GRE,DF,28-225,1996,6,2,232,2.6,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,5,28,6,0.0,0.0,0.0,0.0,0.0,0.03,0.2,0.23,0.03,0.23
ENG-Premier League,2425,Liverpool,Luis Díaz,COL,FW,27-345,1997,16,11,966,10.7,7,2,9,7,0,0,1,0,4.5,4.5,1.8,6.2,43,44,97,0.65,0.19,0.84,0.65,0.84,0.41,0.16,0.58,0.41,0.58
ENG-Premier League,2425,Liverpool,Mohamed Salah,EGY,FW,32-191,1992,16,16,1402,15.6,15,11,26,11,4,4,1,0,12.6,9.4,6.6,16.1,57,56,163,0.96,0.71,1.67,0.71,1.41,0.81,0.42,1.23,0.61,1.03
ENG-Premier League,2425,Liverpool,Ryan Gravenberch,NED,MF,22-221,2002,16,16,1415,15.7,0,1,1,0,0,0,4,0,0.6,0.6,1.3,1.9,33,82,21,0.0,0.06,0.06,0.0,0.06,0.04,0.08,0.12,0.04,0.12
ENG-Premier League,2425,Liverpool,Trent Alexander-Arnold,ENG,DF,26-077,1998,15,14,1130,12.6,0,4,4,0,0,0,3,0,0.5,0.5,4.0,4.6,25,74,41,0.0,0.32,0.32,0.0,0.32,0.04,0.32,0.36,0.04,0.36
ENG-Premier League,2425,Liverpool,Virgil van Dijk,NED,DF,33-168,1991,16,16,1440,16.0,1,1,2,1,0,0,1,0,0.9,0.9,0.3,1.2,4,62,3,0.06,0.06,0.12,0.06,0.12,0.06,0.02,0.08,0.06,0.08
