playerid,footed,Id,Name
/en/players/17d4507a/Enda-Stevens,Left Foot,17d4507a,Enda-Stevens
/en/players/4d0eb7d2/Percy-Tau,Left Foot,4d0eb7d2,Percy-Tau
/en/players/3add8ed8/Sidnei-Tavares,Right Foot,3add8ed8,Sidnei-Tavares
/en/players/c2f9d19f/Neil-Taylor,Left Foot,c2f9d19f,Neil-Taylor
/en/players/ab7d7882/Allan-Tchaptchet,Right Foot,ab7d7882,Allan-Tchaptchet
/en/players/b2ee9d2c/William-Thomas-Fish,Right Foot,b2ee9d2c,William-Thomas-Fish
/en/players/7edfbb8a/Fikayo-Tomori,Right Foot,7edfbb8a,Fikayo-Tomori
/en/players/4dc4f138/Conor-Townsend,Left Foot,4dc4f138,Conor-Townsend
/en/players/1880614f/Cengiz-Under,Left Foot,1880614f,Cengiz-Under
/en/players/728e9b2e/Joao-Virginia,Right Foot,728e9b2e,Joao-Virginia
/en/players/3b029691/Vitinha,Right Foot,3b029691,Vitinha
/en/players/d484c261/Jake-Vokins,Left Foot,d484c261,Jake-Vokins
/en/players/c7170b46/Caleb-Watts,Right Foot,c7170b46,Caleb-Watts
/en/players/eb58eef0/Georginio-Wijnaldum,Right Foot,eb58eef0,Georginio-Wijnaldum
/en/players/012c975a/Rhys-Williams,Right Foot,012c975a,Rhys-Williams
/en/players/ae0a7ddf/DeAndre-Yedlin,Right Foot,ae0a7ddf,DeAndre-Yedlin
/en/players/e49ce451/Okay-Yokuslu,Right Foot,e49ce451,Okay-Yokuslu
/en/players/6bb2c084/Andre-Frank-Zambo-Anguissa,Right Foot,6bb2c084,Andre-Frank-Zambo-Anguissa
/en/players/d01231f0/Andi-Zeqiri,Left Foot,d01231f0,Andi-Zeqiri
/en/players/2b1c4abd/Albian-Ajeti,Right Foot,2b1c4abd,Albian-Ajeti
/en/players/9260926b/Ibrahim-Amadou,Right Foot,9260926b,Ibrahim-Amadou
/en/players/dc008610/Florin-Andone,Right Foot,dc008610,Florin-Andone
/en/players/30941e96/Angelino,Left Foot,3.09E+100,Angelino
/en/players/b105919e/Faustino-Anjorin,Right Foot,b105919e,Faustino-Anjorin
/en/players/8816329f/Christian-Atsu,Left Foot,8816329f,Christian-Atsu
/en/players/b18095b6/Leighton-Baines,Left Foot,b18095b6,Leighton-Baines
/en/players/8c44e37b/Borja-Baston,Right Foot,8c44e37b,Borja-Baston
/en/players/0bad4516/Ryan-Bennett,Right Foot,0bad4516,Ryan-Bennett
/en/players/3189f61a/Nabil-Bentaleb,Left Foot,3189f61a,Nabil-Bentaleb
/en/players/7ca9f0f0/Muhamed-Besic,Right Foot,7ca9f0f0,Muhamed-Besic
/en/players/cfd5e123/Gaetan-Bong,Left Foot,cfd5e123,Gaetan-Bong
/en/players/b0c71810/Sofiane-Boufal,Right Foot,b0c71810,Sofiane-Boufal
/en/players/10072610/Claudio-Bravo,Right Foot,10072610,Claudio-Bravo
/en/players/dc4cae05/David-Brooks,Left Foot,dc4cae05,David-Brooks
/en/players/b2d03887/Victor-Camarasa,Right Foot,b2d03887,Victor-Camarasa
/en/players/5acc4a10/Etienne-Capoue,Right Foot,5acc4a10,Etienne-Capoue
/en/players/2696b6a9/Tahith-Chong,Left Foot,2696b6a9,Tahith-Chong
/en/players/91c975a0/Leon-Clarke,Right Foot,91c975a0,Leon-Clarke
/en/players/9d107085/Charlie-Daniels,Left Foot,9d107085,Charlie-Daniels
/en/players/6e33125f/Kevin-Danso,Right Foot,6e33125f,Kevin-Danso
/en/players/39583cfd/Gerard-Deulofeu,Right Foot,39583cfd,Gerard-Deulofeu
/en/players/5526deb1/Thomas-Doyle,Right Foot,5526deb1,Thomas-Doyle
/en/players/2649ff32/Danny-Drinkwater,Right Foot,2649ff32,Danny-Drinkwater
/en/players/15ea94de/Josip-Drmic,Right Foot,15ea94de,Josip-Drmic
/en/players/79ca3e23/Ondrej-Duda,Right Foot,79ca3e23,Ondrej-Duda
/en/players/4fdf1fd9/Bjorn-Engels,Right Foot,4fdf1fd9,Bjorn-Engels
/en/players/1e43fad8/Ralf-Fahrmann,Right Foot,1e43fad8,Ralf-Fahrmann
/en/players/9d9a71c1/Akin-Famewo,Right Foot,9d9a71c1,Akin-Famewo
/en/players/e2dde94c/Gedson-Fernandes,Right Foot,e2dde94c,Gedson-Fernandes
/en/players/45e17712/Dimitri-Foulquier,Right Foot,45e17712,Dimitri-Foulquier
/en/players/6c7762c3/Juan-Foyth,Right Foot,6c7762c3,Juan-Foyth
/en/players/1e0b6a73/Simon-Francis,Right Foot,1e0b6a73,Simon-Francis
/en/players/c13c24c8/Kieron-Freeman,Right Foot,c13c24c8,Kieron-Freeman
/en/players/636b64cd/Luke-Freeman,Left Foot,636b64cd,Luke-Freeman
/en/players/63d17038/Paulo-Gazzaniga,Right Foot,63d17038,Paulo-Gazzaniga
/en/players/645a3363/Angel-Gomes,Right Foot,645a3363,Angel-Gomes
/en/players/c24dba2a/Andre-Gray,Right Foot,c24dba2a,Andre-Gray
/en/players/f08490a6/Arnaut-Groeneveld,Right Foot,f08490a6,Arnaut-Groeneveld
/en/players/5ea8ef20/Matteo-Guendouzi,Right Foot,5ea8ef20,Matteo-Guendouzi
/en/players/5d8d7454/Frederic-Guilbert,Right Foot,5d8d7454,Frederic-Guilbert
/en/players/a6de6361/Tom-Heaton,Right Foot,a6de6361,Tom-Heaton
/en/players/189cee7b/Javier-Hernandez,Right Foot,189cee7b,Javier-Hernandez
/en/players/007b39a5/Onel-Hernandez,Right Foot,007b39a5,Onel-Hernandez
/en/players/78e87179/George-Hirst,Right Foot,78e87179,George-Hirst
/en/players/12aa7661/Jose-Holebas,Left Foot,12aa7661,Jose-Holebas
/en/players/45ab2170/Nathan-Holland,Left Foot,45ab2170,Nathan-Holland
/en/players/9f736ed2/Jordon-Ibe,Right Foot,9f736ed2,Jordon-Ibe
/en/players/ebd0a048/Matty-James,Right Foot,ebd0a048,Matty-James
/en/players/45da6694/Daryl-Janmaat,Right Foot,45da6694,Daryl-Janmaat
/en/players/41ff002d/Bruno-Jordao,Right Foot,41ff002d,Bruno-Jordao
/en/players/9f351459/Jota,Left Foot,9f351459,Jota
/en/players/5f1d07f6/Timm-Klose,Right Foot,5f1d07f6,Timm-Klose
/en/players/ecf44e09/Jonathan-Kodjia,Right Foot,ecf44e09,Jonathan-Kodjia
/en/players/fe8e6fa1/Henri-Lansbury,Right Foot,fe8e6fa1,Henri-Lansbury
/en/players/016ff750/Valentino-Lazaro,Right Foot,016ff750,Valentino-Lazaro
/en/players/9460aaed/Moritz-Leitner,Right Foot,9460aaed,Moritz-Leitner
/en/players/6eaed4eb/Florian-Lejeune,Right Foot,6eaed4eb,Florian-Lejeune
/en/players/1a2935f6/Dejan-Lovren,Right Foot,1a2935f6,Dejan-Lovren
/en/players/8aa5f52c/Adrian-Mariappa,Right Foot,8aa5f52c,Adrian-Mariappa
/en/players/07666c20/David-Martin,Right Foot,07666c20,David-Martin
/en/players/3f072a68/Josh-Martin,No Data,3f072a68,Josh-Martin
/en/players/51a19d04/Michael-McGovern,Right Foot,51a19d04,Michael-McGovern
/en/players/eba42d2b/Max-Meyer,Right Foot,eba42d2b,Max-Meyer
/en/players/dd0daf32/Henrikh-Mkhitaryan,Right Foot,dd0daf32,Henrikh-Mkhitaryan
/en/players/d4cb83cc/Nacho-Monreal,Left Foot,d4cb83cc,Nacho-Monreal
/en/players/5cec2487/Martin-Montoya,Right Foot,5cec2487,Martin-Montoya
/en/players/e7434f04/Simon-Moore,Right Foot,e7434f04,Simon-Moore
/en/players/47b7e3af/Aaron-Mooy,Right Foot,47b7e3af,Aaron-Mooy
/en/players/bf59c794/Ravel-Morrison,Right Foot,bf59c794,Ravel-Morrison
/en/players/f2f29dda/Glenn-Murray,Right Foot,f2f29dda,Glenn-Murray
/en/players/5343eb4e/Yoshinori-Muto,Right Foot,5343eb4e,Yoshinori-Muto
/en/players/76c131da/Georges-Kevin-NKoudou,Right Foot,76c131da,Georges-Kevin-NKoudou
/en/players/af721f98/Oumar-Niasse,Right Foot,af721f98,Oumar-Niasse
/en/players/bdedffac/Orjan-Nyland,Right Foot,bdedffac,Orjan-Nyland
/en/players/0d267745/Nicolas-Otamendi,Right Foot,0d267745,Nicolas-Otamendi
/en/players/16380240/Mesut-Ozil,Left Foot,16380240,Mesut-Ozil
/en/players/b682dcf6/Sokratis-Papastathopoulos,Right Foot,b682dcf6,Sokratis-Papastathopoulos
/en/players/4357f557/Troy-Parrott,Right Foot,4357f557,Troy-Parrott
/en/players/3ca7254a/Pedro,Right Foot,3ca7254a,Pedro
/en/players/75f2c59f/Roberto-Pereyra,Right Foot,75f2c59f,Roberto-Pereyra
/en/players/9a526299/Brandon-Pierrick,Right Foot,9a526299,Brandon-Pierrick
/en/players/f5e6d08d/Sebastian-Prodl,Right Foot,f5e6d08d,Sebastian-Prodl
/en/players/62437b4f/Ignacio-Pussetto,Right Foot,62437b4f,Ignacio-Pussetto
/en/players/41fb0f4e/Domingos-Quina,Right Foot,41fb0f4e,Domingos-Quina
/en/players/e358587b/Pepe-Reina,Right Foot,e358587b,Pepe-Reina
/en/players/d9ba39fc/Diego-Rico,Left Foot,d9ba39fc,Diego-Rico
/en/players/ba3ca78f/Roberto,Right Foot,ba3ca78f,Roberto
/en/players/59d93937/Patrick-Roberts,Left Foot,59d93937,Patrick-Roberts
/en/players/a07579ee/Jack-Rodwell,Right Foot,a07579ee,Jack-Rodwell
/en/players/e0991c04/Marcos-Rojo,Left Foot,e0991c04,Marcos-Rojo
/en/players/dae8623e/Mbwana-Samatta,Right Foot,dae8623e,Mbwana-Samatta
/en/players/50b51fac/Carlos-Sanchez,Right Foot,50b51fac,Carlos-Sanchez
/en/players/2b114be3/Leroy-Sane,Left Foot,2b114be3,Leroy-Sane
/en/players/a6e316c1/Ezequiel-Schelotto,Right Foot,a6e316c1,Ezequiel-Schelotto
/en/players/51b41c5c/Morgan-Schneiderlin,Right Foot,51b41c5c,Morgan-Schneiderlin
/en/players/4c5b714f/Djibril-Sidibe,Right Foot,4c5b714f,Djibril-Sidibe
/en/players/e2716bd0/David-Silva,Left Foot,e2716bd0,David-Silva
/en/players/76fa5f80/Jack-Simpson,Left Foot,76fa5f80,Jack-Simpson
/en/players/1fdec858/Dennis-Srbeny,Right Foot,1fdec858,Dennis-Srbeny
/en/players/b606638c/Marco-Stiepermann,Left Foot,b606638c,Marco-Stiepermann
/en/players/f573a8bf/Isaac-Success,Right Foot,f573a8bf,Isaac-Success
/en/players/1d8c99b0/Ki-Sung-yueng,Right Foot,1d8c99b0,Ki-Sung-yueng
/en/players/7d41b619/Andrew-Surman,Left Foot,7d41b619,Andrew-Surman
/en/players/75566759/Alexander-Tettey,Right Foot,75566759,Alexander-Tettey
/en/players/b547f08c/Jordan-Thomas,No Data,b547f08c,Jordan-Thomas
/en/players/fa38722f/Max-Thompson,Right Foot,fa38722f,Max-Thompson
/en/players/52611641/Lucas-Torreira,Right Foot,52611641,Lucas-Torreira
/en/players/552aa16c/Tom-Trybull,Right Foot,552aa16c,Tom-Trybull
/en/players/c2111b45/Jesus-Vallejo,Right Foot,c2111b45,Jesus-Vallejo
/en/players/04e195ee/Indiana-Vassilev,Left Foot,04e195ee,Indiana-Vassilev
/en/players/ba23a904/Jan-Vertonghen,Left Foot,ba23a904,Jan-Vertonghen
/en/players/16fa6881/Mario-Vrancic,Left Foot,16fa6881,Mario-Vrancic
/en/players/e0900238/Victor-Wanyama,Right Foot,e0900238,Victor-Wanyama
/en/players/603e4f0b/Kelland-Watts,No Data,603e4f0b,Kelland-Watts
/en/players/41cc19c2/Connor-Wickham,Right Foot,41cc19c2,Connor-Wickham
/en/players/9050ddc4/Jetro-Willems,Left Foot,9050ddc4,Jetro-Willems
/en/players/9c318325/Jack-Wilshere,Left Foot,9c318325,Jack-Wilshere
/en/players/caffaf5a/Maya-Yoshida,Right Foot,caffaf5a,Maya-Yoshida
/en/players/6813ac34/Pablo-Zabaleta,Right Foot,6813ac34,Pablo-Zabaleta
/en/players/d2d74d9c/Richairo-Zivkovic,Right Foot,d2d74d9c,Richairo-Zivkovic
/en/players/77128f7e/Luke-Amos,Both,77128f7e,Luke-Amos
/en/players/00459419/Marko-Arnautovic,Right Foot,459419,Marko-Arnautovic
/en/players/2f4c5a52/Harry-Arter,Both,2f4c5a52,Harry-Arter
/en/players/fd5888a0/Floyd-Ayite,Right Foot,fd5888a0,Floyd-Ayite
/en/players/6438d426/Ryan-Babel,Right Foot,6438d426,Ryan-Babel
/en/players/aaf1bf05/Juninho-Bacuna,Right Foot,aaf1bf05,Juninho-Bacuna
/en/players/9dc69d38/Leandro-Bacuna,Right Foot,9dc69d38,Leandro-Bacuna
/en/players/78e68b4d/Leon-Balogun,Right Foot,78e68b4d,Leon-Balogun
/en/players/5534217d/Sol-Bamba,Right Foot,5534217d,Sol-Bamba
/en/players/6a189491/Antonio-Barreca,Left Foot,6a189491,Antonio-Barreca
/en/players/dc936144/Joe-Bennett,Left Foot,dc936144,Joe-Bennett
/en/players/0d85a4e8/Marcus-Bettinelli,Right Foot,0d85a4e8,Marcus-Bettinelli
/en/players/da23d58d/Leo-Bonatini,Right Foot,da23d58d,Leo-Bonatini
/en/players/34ccf6fa/Artur-Boruc,Right Foot,34ccf6fa,Artur-Boruc
/en/players/356a9a62/Miguel-Britos,Left Foot,356a9a62,Miguel-Britos
/en/players/78803d03/Bruno,Right Foot,78803d03,Bruno
/en/players/91b43c98/Rafael-Camacho,Right Foot,91b43c98,Rafael-Camacho
/en/players/71672fa0/Petr-Cech,Left Foot,71672fa0,Petr-Cech
/en/players/7eb67dad/Cyrus-Christie,Right Foot,7eb67dad,Cyrus-Christie
/en/players/be4fede9/Ibrahima-Cisse,No Data,be4fede9,Ibrahima-Cisse
/en/players/b73e459a/Joel-Coleman,Right Foot,b73e459a,Joel-Coleman
/en/players/73d9bdc7/Peter-Crouch,Right Foot,73d9bdc7,Peter-Crouch
/en/players/dc10b26c/Greg-Cunningham,Right Foot,dc10b26c,Greg-Cunningham
/en/players/03e48abb/Matty-Daly,No Data,03e48abb,Matty-Daly
/en/players/074d8166/Loic-Damour,Right Foot,074d8166,Loic-Damour
/en/players/94b2001f/Danilo,Right Foot,94b2001f,Danilo
/en/players/96e0490d/Matteo-Darmian,Right Foot,96e0490d,Matteo-Darmian
/en/players/cf15bbb1/Steven-Davis,Right Foot,cf15bbb1,Steven-Davis
/en/players/f1e8372d/Jermain-Defoe,Right Foot,f1e8372d,Jermain-Defoe
/en/players/73489527/Steven-Defour,Right Foot,73489527,Steven-Defour
/en/players/f7ee69fb/Mousa-Dembele,Left Foot,f7ee69fb,Mousa-Dembele
/en/players/aa5859cb/Laurent-Depoitre,Right Foot,aa5859cb,Laurent-Depoitre
/en/players/d07e3b41/Fousseni-Diabate,Left Foot,d07e3b41,Fousseni-Diabate
/en/players/65585e3a/Adama-Diakhaby,Left Foot,65585e3a,Adama-Diakhaby
/en/players/b7d082af/Mohamed-Diame,Right Foot,b7d082af,Mohamed-Diame
/en/players/d1c509d9/Luke-Dreher,Right Foot,d1c509d9,Luke-Dreher
/en/players/5ef608f7/Demeaco-Duhaney,Right Foot,5ef608f7,Demeaco-Duhaney
/en/players/cf623c78/Erik-Durm,Right Foot,cf623c78,Erik-Durm
/en/players/72a0fb65/Bruno-Ecuele-Manga,Right Foot,72a0fb65,Bruno-Ecuele-Manga
/en/players/2642bf6c/Neil-Etheridge,Right Foot,2642bf6c,Neil-Etheridge
/en/players/33508c78/Cesc-Fabregas,Right Foot,33508c78,Cesc-Fabregas
/en/players/af245161/Fabricio,Right Foot,af245161,Fabricio
/en/players/87575fd9/Marouane-Fellaini,Right Foot,87575fd9,Marouane-Fellaini
/en/players/8f866fe8/Manolo-Gabbiadini,Left Foot,8f866fe8,Manolo-Gabbiadini
/en/players/44361ade/Sam-Gallagher,Right Foot,44361ade,Sam-Gallagher
/en/players/dc3a9a0d/Rachid-Ghezzal,Left Foot,dc3a9a0d,Rachid-Ghezzal
/en/players/9c74fa25/Jon-Gorenc-Stankovic,Right Foot,9c74fa25,Jon-Gorenc-Stankovic
/en/players/e2533c20/Aron-Gunnarsson,Right Foot,e2533c20,Aron-Gunnarsson
/en/players/9aa186b2/Florent-Hadergjonaj,Right Foot,9aa186b2,Florent-Hadergjonaj
/en/players/d822a850/Ben-Hamer,Right Foot,d822a850,Ben-Hamer
/en/players/24396398/Kadeem-Harris,Both,24396398,Kadeem-Harris
/en/players/cb4f24c6/Joe-Hart,Right Foot,cb4f24c6,Joe-Hart
/en/players/a39bb753/Eden-Hazard,Right Foot,a39bb753,Eden-Hazard
/en/players/07ace8c3/Rhys-Healey,Right Foot,07ace8c3,Rhys-Healey
/en/players/436a9dd0/Ander-Herrera,Right Foot,436a9dd0,Ander-Herrera
/en/players/8a08491a/Gonzalo-Higuain,Right Foot,8a08491a,Gonzalo-Higuain
/en/players/875898c7/Wesley-Hoedt,Left Foot,875898c7,Wesley-Hoedt
/en/players/9306d5ea/Jonathan-Hogg,Right Foot,9306d5ea,Jonathan-Hogg
/en/players/33af5b9e/Junior-Hoilett,Right Foot,33af5b9e,Junior-Hoilett
/en/players/3be1a627/Emerson-Hyndman,Right Foot,3be1a627,Emerson-Hyndman
/en/players/ad1ffcfd/Vicente-Iborra,Right Foot,ad1ffcfd,Vicente-Iborra
/en/players/31dce0c8/Vincent-Janssen,Right Foot,31dce0c8,Vincent-Janssen
/en/players/874125a3/Carl-Jenkinson,Right Foot,874125a3,Carl-Jenkinson
/en/players/a48da055/Stefan-Johansen,Left Foot,a48da055,Stefan-Johansen
/en/players/4701e130/Tyreke-Johnson,Right Foot,4.70E+133,Tyreke-Johnson
/en/players/6265208f/Joselu,Right Foot,6265208f,Joselu
/en/players/5bddccc9/Elias-Kachunga,Right Foot,5bddccc9,Elias-Kachunga
/en/players/26679cdf/Beram-Kayal,Right Foot,26679cdf,Beram-Kayal
/en/players/6c679c6d/Anthony-Knockaert,Left Foot,6c679c6d,Anthony-Knockaert
/en/players/d2bff301/Vincent-Kompany,Right Foot,d2bff301,Vincent-Kompany
/en/players/f5efb153/Laurent-Koscielny,Right Foot,f5efb153,Laurent-Koscielny
/en/players/1931bde9/Rajiv-van-La-Parra,Right Foot,1931bde9,Rajiv-van-La-Parra
/en/players/99b1d0e6/Stephan-Lichtsteiner,Right Foot,99b1d0e6,Stephan-Lichtsteiner
/en/players/82dbf623/Fernando-Llorente,Right Foot,82dbf623,Fernando-Llorente
/en/players/c6896eab/Chris-Lowe,Left Foot,c6896eab,Chris-Lowe
/en/players/e3e6502a/Gary-Madine,Right Foot,e3e6502a,Gary-Madine
/en/players/723ba189/Lazar-Markovic,Right Foot,723ba189,Lazar-Markovic
/en/players/00963611/Konstantinos-Mavropanos,Right Foot,963611,Konstantinos-Mavropanos
/en/players/d368feb8/Alfie-Mawson,Right Foot,d368feb8,Alfie-Mawson
/en/players/aa1a8c7e/Isaac-Mbenza,Right Foot,aa1a8c7e,Isaac-Mbenza
/en/players/71a08f97/Kevin-McDonald,Right Foot,71a08f97,Kevin-McDonald
/en/players/b4b2f632/Nathaniel-Mendez-Laing,Right Foot,b4b2f632,Nathaniel-Mendez-Laing
/en/players/129af0db/Alvaro-Morata,Right Foot,129af0db,Alvaro-Morata
/en/players/11b9265b/Alberto-Moreno,Left Foot,11b9265b,Alberto-Moreno
/en/players/09fec029/Sean-Morrison,Right Foot,09fec029,Sean-Morrison
/en/players/e726e11e/Victor-Moses,Right Foot,e726e11e,Victor-Moses
/en/players/19ba6c6d/Steve-Mounie,Right Foot,19ba6c6d,Steve-Mounie
/en/players/b30c7426/Josh-Murphy,Right Foot,b30c7426,Josh-Murphy
/en/players/165bed61/Samir-Nasri,Right Foot,165bed61,Samir-Nasri
/en/players/c2846353/Marc-Navarro,Right Foot,c2846353,Marc-Navarro
/en/players/6cafd68d/Havard-Nordtveit,Right Foot,6cafd68d,Havard-Nordtveit
/en/players/ba1e04b3/Pedro-Obiang,Right Foot,ba1e04b3,Pedro-Obiang
/en/players/601ef102/Stefano-Okaka,Right Foot,601ef102,Stefano-Okaka
/en/players/68796d61/Shinji-Okazaki,Right Foot,68796d61,Shinji-Okazaki
/en/players/d2583bce/Callum-Paterson,Right Foot,d2583bce,Callum-Paterson
/en/players/a300ac7e/Lucas-Perez,Left Foot,a300ac7e,Lucas-Perez
/en/players/ff9fcd4d/Alex-Pritchard,Right Foot,ff9fcd4d,Alex-Pritchard
/en/players/fd3f57ce/Jason-Puncheon,Left Foot,fd3f57ce,Jason-Puncheon
/en/players/19b8b0b9/Collin-Quaner,Right Foot,19b8b0b9,Collin-Quaner
/en/players/3730fcbc/Joe-Ralls,Left Foot,3730fcbc,Joe-Ralls
/en/players/ef619b0b/Aaron-Ramsey,Right Foot,ef619b0b,Aaron-Ramsey
/en/players/afef14da/Jazz-Richards,Right Foot,afef14da,Jazz-Richards
/en/players/5f0241b2/Sergio-Rico,Right Foot,5f0241b2,Sergio-Rico
/en/players/4b6bcb0d/Aaron-Rowe,No Data,4b6bcb0d,Aaron-Rowe
/en/players/4830e0af/Abdelhamid-Sabiri,Right Foot,4830e0af,Abdelhamid-Sabiri
/en/players/381d7d54/Bakary-Sako,Left Foot,381d7d54,Bakary-Sako
/en/players/2c0f8e9e/Alexis-Sanchez,Right Foot,2c0f8e9e,Alexis-Sanchez
/en/players/8ae9869d/Christopher-Schindler,Right Foot,8ae9869d,Christopher-Schindler
/en/players/ecbb3fdf/Andre-Schurrle,Right Foot,ecbb3fdf,Andre-Schurrle
/en/players/10efd0e1/Jean-Seri,Right Foot,10efd0e1,Jean-Seri
/en/players/d6f88a1d/Adrien-Silva,Right Foot,d6f88a1d,Adrien-Silva
/en/players/15d561fa/Xande-Silva,Right Foot,15d561fa,Xande-Silva
/en/players/3201b03d/Danny-Simpson,Right Foot,3201b03d,Danny-Simpson
/en/players/6d6f09dc/Josh-Sims,Right Foot,6d6f09dc,Josh-Sims
/en/players/059948df/Callum-Slattery,No Data,059948df,Callum-Slattery
/en/players/b6964eb6/Chris-Smalling,Right Foot,b6964eb6,Chris-Smalling
/en/players/e9208654/Tommy-Smith,Right Foot,e9208654,Tommy-Smith
/en/players/98be0d02/Ramadan-Sobhi,Right Foot,98be0d02,Ramadan-Sobhi
/en/players/46b5375e/Pape-Souare,Left Foot,46b5375e,Pape-Souare
/en/players/8e65a5e5/Julian-Speroni,Right Foot,8e65a5e5,Julian-Speroni
/en/players/1b7ec703/Daniel-Sturridge,Left Foot,1b7ec703,Daniel-Sturridge
/en/players/12c50af5/Denis-Suarez,Right Foot,12c50af5,Denis-Suarez
/en/players/e92cd3f7/Alexander-Sorloth,Left Foot,e92cd3f7,Alexander-Sorloth
/en/players/08aa17d0/Antonio-Valencia,Right Foot,08aa17d0,Antonio-Valencia
/en/players/2513a588/Luciano-Vietto,Right Foot,2513a588,Luciano-Vietto
/en/players/1d6ac165/Sam-Vokes,Right Foot,1d6ac165,Sam-Vokes
/en/players/1bebde9d/Michel-Vorm,Right Foot,1bebde9d,Michel-Vorm
/en/players/cfb29823/Danny-Ward,Right Foot,cfb29823,Danny-Ward
/en/players/3831b9fe/Stephen-Ward,Left Foot,3831b9fe,Stephen-Ward
/en/players/ec9a28ce/Danny-Williams,Right Foot,ec9a28ce,Danny-Williams
/en/players/2876eaa3/Ben-Wilmot,Right Foot,2876eaa3,Ben-Wilmot
/en/players/7fe90ccd/Davide-Zappacosta,Right Foot,7fe90ccd,Davide-Zappacosta
/en/players/5e508d0d/Kenneth-Zohore,Right Foot,5e508d0d,Kenneth-Zohore
